,ENSLACT00000013392_ENSLACG00000011707,ENSCMIT00000008259_ENSCMIG00000004323,ENSCMIT00000034880_ENSCMIG00000014589,ENSCMIT00000034882_ENSCMIG00000014591,ENSCMIT00000034884_ENSCMIG00000014591,ENSCMIT00000034849_ENSCMIG00000014576,ENSCMIT00000034859_ENSCMIG00000014583,ENSCMIT00000034866_ENSCMIG00000014583,ENSCMIT00000034871_ENSCMIG00000014583,ENSCMIT00000034876_ENSCMIG00000014583,ENSCMIT00000034830_ENSCMIG00000014551,ENSCMIT00000034834_ENSCMIG00000014551,ENSCMIT00000034835_ENSCMIG00000014551,ENSCMIT00000034710_ENSCMIG00000014515,ENSCMIT00000034714_ENSCMIG00000014515,ENSCMIT00000034720_ENSCMIG00000014515,ENSCMIT00000034724_ENSCMIG00000014515,ENSCMIT00000000338_ENSCMIG00000000244,ENSCMIT00000034758_ENSCMIG00000014536,ENSCMIT00000034843_ENSCMIG00000014570,ENSLACT00000010645_ENSLACG00000009311,ENSDCDT00000030152_ENSDCDG00000017056,ENSDCDT00000030155_ENSDCDG00000017056,ENSCHAT00000050916_ENSCHAG00000021756,ENSCHAT00000050923_ENSCHAG00000021756
ENSLACT00000013392_ENSLACG00000011707,1.0,0.47,0.44,0.33,0.34,0.42,0.39,0.42,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.41,0.44,0.36,0.38,0.4,0.36,0.41,0.41,0.42,0.43
ENSCMIT00000008259_ENSCMIG00000004323,0.47,1.0,0.41,0.36,0.37,0.43,0.39,0.44,0.41,0.42,0.43,0.43,0.42,0.43,0.45,0.43,0.45,0.27,0.39,0.39,0.36,0.43,0.41,0.41,0.42
ENSCMIT00000034880_ENSCMIG00000014589,0.44,0.41,1.0,1e-18,1e-18,0.66,0.63,0.62,0.64,0.63,0.61,0.65,0.64,0.64,0.63,0.63,0.61,0.73,0.54,0.48,0.46,0.4,0.41,0.42,0.43
ENSCMIT00000034882_ENSCMIG00000014591,0.33,0.36,1e-18,1.0,0.86,0.49,0.49,0.49,0.47,0.46,0.41,0.47,0.46,0.49,0.48,0.51,0.49,1e-18,0.46,0.46,0.36,0.33,0.33,0.32,0.32
ENSCMIT00000034884_ENSCMIG00000014591,0.34,0.37,1e-18,0.86,1.0,0.49,0.49,0.49,0.48,0.47,0.41,0.48,0.46,0.51,0.49,0.51,0.49,1e-18,0.46,0.46,0.36,0.35,0.35,0.34,0.34
ENSCMIT00000034849_ENSCMIG00000014576,0.42,0.43,0.66,0.49,0.49,1.0,0.69,0.71,0.71,0.71,0.55,0.61,0.6,0.63,0.63,0.63,0.63,0.73,0.52,0.52,0.42,0.42,0.42,0.4,0.41
ENSCMIT00000034859_ENSCMIG00000014583,0.39,0.39,0.63,0.49,0.49,0.69,1.0,0.85,0.85,0.87,0.55,0.57,0.56,0.58,0.59,0.59,0.57,0.73,0.48,0.46,0.42,0.38,0.38,0.36,0.36
ENSCMIT00000034866_ENSCMIG00000014583,0.42,0.44,0.62,0.49,0.49,0.71,0.85,1.0,0.88,0.89,0.57,0.59,0.59,0.59,0.6,0.6,0.62,0.72,0.5,0.5,0.44,0.42,0.42,0.4,0.4
ENSCMIT00000034871_ENSCMIG00000014583,0.41,0.41,0.64,0.47,0.48,0.71,0.85,0.88,1.0,0.88,0.57,0.6,0.6,0.61,0.59,0.61,0.58,0.73,0.51,0.48,0.42,0.4,0.4,0.38,0.38
ENSCMIT00000034876_ENSCMIG00000014583,0.42,0.42,0.63,0.46,0.47,0.71,0.87,0.89,0.88,1.0,0.56,0.59,0.59,0.59,0.6,0.6,0.59,0.73,0.5,0.5,0.42,0.41,0.41,0.39,0.39
