,ENSPNYT00000017547_ENSPNYG00000012943,ENSACLT00000025733_ENSACLG00000017091,ENSMZET00005008939_ENSMZEG00005006544,ENSNBRT00000012850_ENSNBRG00000009752,ENSMZET00005010022_ENSMZEG00005007322,ENSNBRT00000004635_ENSNBRG00000003580,ENSHBUT00000023763_ENSHBUG00000017397,ENSMZET00005009241_ENSMZEG00005006733,ENSNBRT00000012726_ENSNBRG00000009650,ENSNBRT00000012818_ENSNBRG00000009723,ENSONIT00000023178_ENSONIG00000018395
ENSPNYT00000017547_ENSPNYG00000012943,1.0,0.94,0.87,0.89,0.78,0.76,0.71,0.71,0.68,0.81,0.82
ENSACLT00000025733_ENSACLG00000017091,0.94,1.0,0.88,0.88,0.79,0.76,0.71,0.72,0.68,0.81,0.82
ENSMZET00005008939_ENSMZEG00005006544,0.87,0.88,1.0,0.91,0.8,0.75,0.72,0.72,0.69,0.8,0.81
ENSNBRT00000012850_ENSNBRG00000009752,0.89,0.88,0.91,1.0,0.78,0.78,0.72,0.72,0.69,0.82,0.84
ENSMZET00005010022_ENSMZEG00005007322,0.78,0.79,0.8,0.78,1.0,0.76,0.78,0.8,0.79,0.79,0.77
ENSNBRT00000004635_ENSNBRG00000003580,0.76,0.76,0.75,0.78,0.76,1.0,0.77,0.77,0.77,0.77,0.77
ENSHBUT00000023763_ENSHBUG00000017397,0.71,0.71,0.72,0.72,0.78,0.77,1.0,0.88,0.84,0.69,0.69
ENSMZET00005009241_ENSMZEG00005006733,0.71,0.72,0.72,0.72,0.8,0.77,0.88,1.0,0.83,0.67,0.69
ENSNBRT00000012726_ENSNBRG00000009650,0.68,0.68,0.69,0.69,0.79,0.77,0.84,0.83,1.0,0.65,0.68
ENSNBRT00000012818_ENSNBRG00000009723,0.81,0.81,0.8,0.82,0.79,0.77,0.69,0.67,0.65,1.0,0.79
ENSONIT00000023178_ENSONIG00000018395,0.82,0.82,0.81,0.84,0.77,0.77,0.69,0.69,0.68,0.79,1.0
