,ENSGACT00000012699_ENSGACG00000009610,ENSGACT00000012707_ENSGACG00000009610,ENSCINT00000018712_ENSCING00000009206,ENSCSAVT00000015131_ENSCSAVG00000008765,ENSCSAVT00000015132_ENSCSAVG00000008765,ENSCSAVT00000015133_ENSCSAVG00000008765,ENSCSAVT00000015135_ENSCSAVG00000008765,ENSCSAVT00000015136_ENSCSAVG00000008765,ENSCSAVT00000015137_ENSCSAVG00000008765,ENSCINT00000013539_ENSCING00000006595
ENSGACT00000012699_ENSGACG00000009610,1.0,0.79,0.31,0.22,0.27,0.21,0.5,0.25,0.25,0.26
ENSGACT00000012707_ENSGACG00000009610,0.79,1.0,0.18,0.31,0.31,1e-18,0.31,0.31,0.31,1e-18
ENSCINT00000018712_ENSCING00000009206,0.31,0.18,1.0,0.48,0.22,0.34,0.19,0.52,0.52,0.19
ENSCSAVT00000015131_ENSCSAVG00000008765,0.22,0.31,0.48,1.0,0.74,0.8,0.4,0.95,0.95,0.37
ENSCSAVT00000015132_ENSCSAVG00000008765,0.27,0.31,0.22,0.74,1.0,0.9,0.9,0.42,0.42,0.46
ENSCSAVT00000015133_ENSCSAVG00000008765,0.21,1e-18,0.34,0.8,0.9,1.0,0.9,1e-18,1e-18,0.41
ENSCSAVT00000015135_ENSCSAVG00000008765,0.5,0.31,0.19,0.4,0.9,0.9,1.0,0.42,0.42,0.45
ENSCSAVT00000015136_ENSCSAVG00000008765,0.25,0.31,0.52,0.95,0.42,1e-18,0.42,1.0,0.95,0.34
ENSCSAVT00000015137_ENSCSAVG00000008765,0.25,0.31,0.52,0.95,0.42,1e-18,0.42,0.95,1.0,0.34
ENSCINT00000013539_ENSCING00000006595,0.26,1e-18,0.19,0.37,0.46,0.41,0.45,0.34,0.34,1.0
