,ENSHHUT00000069936_ENSHHUG00000039862,ENSELUT00000004751_ENSELUG00000009508,ENSGWIT00000052729_ENSGWIG00000023859,ENSHCOT00000022003_ENSHCOG00000017754,ENSHCOT00000027667_ENSHCOG00000017754,ENSSMAT00000016488_ENSSMAG00000009981,ENSTRUT00000026877_ENSTRUG00000010603,ENSTNIT00000014998_ENSTNIG00000011842,ENSMMOT00000003157_ENSMMOG00000001606,ENSMMOT00000003333_ENSMMOG00000001606,ENSGACT00000005455_ENSGACG00000004139,ENSGACT00000005462_ENSGACG00000004139,ENSLCRT00005021303_ENSLCRG00005008496,ENSLCRT00005021306_ENSLCRG00005008496,ENSLBET00000002454_ENSLBEG00000001832,ENSSDUT00000011961_ENSSDUG00000008563
ENSHHUT00000069936_ENSHHUG00000039862,1.0,0.79,0.53,0.46,0.46,0.6,0.56,0.54,0.53,0.51,0.58,0.6,0.61,0.6,0.6,0.62
ENSELUT00000004751_ENSELUG00000009508,0.79,1.0,0.52,0.46,0.46,0.58,0.55,0.54,0.51,0.49,0.56,0.58,0.59,0.57,0.59,0.59
ENSGWIT00000052729_ENSGWIG00000023859,0.53,0.52,1.0,0.49,0.49,0.58,0.54,0.53,0.5,0.49,0.55,0.58,0.6,0.58,0.59,0.59
ENSHCOT00000022003_ENSHCOG00000017754,0.46,0.46,0.49,1.0,0.97,0.55,0.51,0.51,0.46,0.45,0.51,0.54,0.55,0.54,0.53,0.54
ENSHCOT00000027667_ENSHCOG00000017754,0.46,0.46,0.49,0.97,1.0,0.55,0.51,0.51,0.46,0.45,0.51,0.54,0.55,0.54,0.53,0.54
ENSSMAT00000016488_ENSSMAG00000009981,0.6,0.58,0.58,0.55,0.55,1.0,0.64,0.65,0.64,0.62,0.71,0.73,0.75,0.74,0.72,0.77
ENSTRUT00000026877_ENSTRUG00000010603,0.56,0.55,0.54,0.51,0.51,0.64,1.0,0.79,0.66,0.65,0.62,0.65,0.68,0.67,0.65,0.67
ENSTNIT00000014998_ENSTNIG00000011842,0.54,0.54,0.53,0.51,0.51,0.65,0.79,1.0,0.65,0.64,0.62,0.64,0.67,0.66,0.65,0.67
ENSMMOT00000003157_ENSMMOG00000001606,0.53,0.51,0.5,0.46,0.46,0.64,0.66,0.65,1.0,0.92,0.63,0.65,0.68,0.67,0.63,0.67
ENSMMOT00000003333_ENSMMOG00000001606,0.51,0.49,0.49,0.45,0.45,0.62,0.65,0.64,0.92,1.0,0.63,0.63,0.66,0.66,0.61,0.65
ENSGACT00000005455_ENSGACG00000004139,0.58,0.56,0.55,0.51,0.51,0.71,0.62,0.62,0.63,0.63,1.0,0.94,0.72,0.71,0.71,0.73
ENSGACT00000005462_ENSGACG00000004139,0.6,0.58,0.58,0.54,0.54,0.73,0.65,0.64,0.65,0.63,0.94,1.0,0.75,0.74,0.73,0.75
ENSLCRT00005021303_ENSLCRG00005008496,0.61,0.59,0.6,0.55,0.55,0.75,0.68,0.67,0.68,0.66,0.72,0.75,1.0,0.97,0.76,0.78
ENSLCRT00005021306_ENSLCRG00005008496,0.6,0.57,0.58,0.54,0.54,0.74,0.67,0.66,0.67,0.66,0.71,0.74,0.97,1.0,0.75,0.77
ENSLBET00000002454_ENSLBEG00000001832,0.6,0.59,0.59,0.53,0.53,0.72,0.65,0.65,0.63,0.61,0.71,0.73,0.76,0.75,1.0,0.75
ENSSDUT00000011961_ENSSDUG00000008563,0.62,0.59,0.59,0.54,0.54,0.77,0.67,0.67,0.67,0.65,0.73,0.75,0.78,0.77,0.75,1.0
