,ENSTRUT00000051579_ENSTRUG00000014598,ENSTRUT00000057225_ENSTRUG00000014598,ENSTRUT00000037431_ENSTRUG00000014598,ENSLCRT00005027857_ENSLCRG00005010889,ENSLCRT00005027866_ENSLCRG00005010889,ENSKMAT00000009482_ENSKMAG00000006984,ENSKMAT00000009499_ENSKMAG00000006984,ENSMALT00000007258_ENSMALG00000005059,ENSMZET00005004973_ENSMZEG00005003698,ENSPNYT00000015953_ENSPNYG00000011791,ENSPNYT00000015957_ENSPNYG00000011791,ENSHBUT00000013853_ENSHBUG00000002577,ENSONIT00000003289_ENSONIG00000002626,ENSACIT00000020615_ENSACIG00000015569,ENSACIT00000020617_ENSACIG00000015569,ENSGWIT00000003909_ENSGWIG00000001967,ENSCSET00000027863_ENSCSEG00000017570,ENSCSET00000027867_ENSCSEG00000017570,ENSCSET00000027876_ENSCSEG00000017570,ENSBSLT00000038178_ENSBSLG00000016797,ENSBSLT00000038215_ENSBSLG00000016797,ENSBSLT00000038271_ENSBSLG00000016797,ENSBSLT00000038311_ENSBSLG00000016797,ENSAOCT00000019367_ENSAOCG00000015656,ENSAOCT00000030216_ENSAOCG00000015656,ENSAOCT00000030217_ENSAOCG00000015656,ENSAPET00000016521_ENSAPEG00000011482,ENSAPET00000016530_ENSAPEG00000011482,ENSAPET00000016544_ENSAPEG00000011482,ENSAPOT00000024831_ENSAPOG00000018990,ENSSPAT00000026850_ENSSPAG00000019934
ENSTRUT00000051579_ENSTRUG00000014598,1.0,0.85,0.86,0.69,0.69,0.65,0.66,0.62,0.63,0.62,0.62,0.62,0.64,0.64,0.64,0.57,0.66,0.66,0.66,0.63,0.63,0.65,0.65,0.64,0.66,0.64,0.63,0.63,0.65,0.63,0.66
ENSTRUT00000057225_ENSTRUG00000014598,0.85,1.0,0.85,0.68,0.68,0.63,0.65,0.53,0.56,0.55,0.55,0.56,0.63,0.56,0.57,0.51,0.56,0.58,0.59,0.54,0.54,0.58,0.6,0.55,0.59,0.56,0.54,0.55,0.59,0.55,0.57
ENSTRUT00000037431_ENSTRUG00000014598,0.86,0.85,1.0,0.69,0.69,0.65,0.66,0.62,0.63,0.62,0.62,0.62,0.65,0.64,0.64,0.57,0.66,0.66,0.66,0.63,0.63,0.65,0.65,0.64,0.66,0.64,0.63,0.63,0.65,0.63,0.66
ENSLCRT00005027857_ENSLCRG00005010889,0.69,0.68,0.69,1.0,0.84,0.63,0.64,0.67,0.63,0.62,0.62,0.62,0.69,0.63,0.63,0.58,0.62,0.62,0.67,0.66,0.66,0.71,0.72,0.67,0.72,0.68,0.66,0.66,0.72,0.68,0.66
ENSLCRT00005027866_ENSLCRG00005010889,0.69,0.68,0.69,0.84,1.0,0.64,0.65,0.64,0.64,0.64,0.64,0.64,0.7,0.63,0.63,0.55,0.61,0.61,0.66,0.62,0.62,0.69,0.69,0.64,0.7,0.64,0.63,0.64,0.7,0.64,0.64
ENSKMAT00000009482_ENSKMAG00000006984,0.65,0.63,0.65,0.63,0.64,1.0,0.93,0.71,0.7,0.7,0.66,0.69,0.68,0.68,0.67,0.64,0.7,0.69,0.65,0.7,0.71,0.67,0.67,0.76,0.72,0.75,0.75,0.74,0.71,0.75,0.75
ENSKMAT00000009499_ENSKMAG00000006984,0.66,0.65,0.66,0.64,0.65,0.93,1.0,0.71,0.72,0.72,0.67,0.7,0.68,0.67,0.68,0.65,0.69,0.71,0.65,0.7,0.71,0.67,0.68,0.75,0.71,0.76,0.74,0.76,0.7,0.76,0.77
ENSMALT00000007258_ENSMALG00000005059,0.62,0.53,0.62,0.67,0.64,0.71,0.71,1.0,0.73,0.72,0.68,0.71,0.69,0.7,0.68,0.66,0.74,0.73,0.7,0.73,0.75,0.71,0.7,0.76,0.72,0.75,0.76,0.74,0.72,0.75,0.75
ENSMZET00005004973_ENSMZEG00005003698,0.63,0.56,0.63,0.63,0.64,0.7,0.72,0.73,1.0,0.92,0.87,0.91,0.84,0.79,0.8,0.7,0.7,0.72,0.66,0.72,0.73,0.69,0.7,0.77,0.73,0.79,0.76,0.78,0.72,0.79,0.77
ENSPNYT00000015953_ENSPNYG00000011791,0.62,0.55,0.62,0.62,0.64,0.7,0.72,0.72,0.92,1.0,0.89,0.9,0.83,0.79,0.81,0.69,0.7,0.72,0.67,0.71,0.72,0.68,0.69,0.77,0.73,0.79,0.76,0.78,0.73,0.79,0.77
ENSPNYT00000015957_ENSPNYG00000011791,0.62,0.55,0.62,0.62,0.64,0.66,0.67,0.68,0.87,0.89,1.0,0.87,0.83,0.79,0.81,0.64,0.67,0.68,0.67,0.67,0.68,0.68,0.69,0.73,0.73,0.74,0.73,0.74,0.73,0.74,0.72
ENSHBUT00000013853_ENSHBUG00000002577,0.62,0.56,0.62,0.62,0.64,0.69,0.7,0.71,0.91,0.9,0.87,1.0,0.83,0.78,0.79,0.68,0.69,0.7,0.66,0.7,0.71,0.68,0.69,0.75,0.72,0.77,0.75,0.76,0.72,0.77,0.75
ENSONIT00000003289_ENSONIG00000002626,0.64,0.63,0.65,0.69,0.7,0.68,0.68,0.69,0.84,0.83,0.83,0.83,1.0,0.78,0.79,0.65,0.67,0.67,0.71,0.7,0.7,0.73,0.74,0.72,0.76,0.73,0.71,0.72,0.75,0.73,0.72
ENSACIT00000020615_ENSACIG00000015569,0.64,0.56,0.64,0.63,0.63,0.68,0.67,0.7,0.79,0.79,0.79,0.78,0.78,1.0,0.9,0.63,0.67,0.66,0.67,0.67,0.68,0.68,0.67,0.73,0.73,0.72,0.73,0.71,0.73,0.72,0.7
ENSACIT00000020617_ENSACIG00000015569,0.64,0.57,0.64,0.63,0.63,0.67,0.68,0.68,0.8,0.81,0.81,0.79,0.79,0.9,1.0,0.65,0.66,0.67,0.66,0.66,0.67,0.67,0.68,0.72,0.72,0.73,0.71,0.73,0.71,0.73,0.71
ENSGWIT00000003909_ENSGWIG00000001967,0.57,0.51,0.57,0.58,0.55,0.64,0.65,0.66,0.7,0.69,0.64,0.68,0.65,0.63,0.65,1.0,0.63,0.65,0.59,0.62,0.63,0.59,0.6,0.67,0.63,0.69,0.67,0.69,0.63,0.7,0.7
ENSCSET00000027863_ENSCSEG00000017570,0.66,0.56,0.66,0.62,0.61,0.7,0.69,0.74,0.7,0.7,0.67,0.69,0.67,0.67,0.66,0.63,1.0,0.91,0.89,0.69,0.71,0.67,0.65,0.73,0.69,0.71,0.72,0.71,0.68,0.71,0.72
ENSCSET00000027867_ENSCSEG00000017570,0.66,0.58,0.66,0.62,0.61,0.69,0.71,0.73,0.72,0.72,0.68,0.7,0.67,0.66,0.67,0.65,0.91,1.0,0.88,0.67,0.69,0.65,0.66,0.71,0.67,0.73,0.71,0.73,0.67,0.73,0.74
ENSCSET00000027876_ENSCSEG00000017570,0.66,0.59,0.66,0.67,0.66,0.65,0.65,0.7,0.66,0.67,0.67,0.66,0.71,0.67,0.66,0.59,0.89,0.88,1.0,0.66,0.67,0.71,0.69,0.69,0.73,0.67,0.68,0.67,0.73,0.67,0.68
ENSBSLT00000038178_ENSBSLG00000016797,0.63,0.54,0.63,0.66,0.62,0.7,0.7,0.73,0.72,0.71,0.67,0.7,0.7,0.67,0.66,0.62,0.69,0.67,0.66,1.0,0.91,0.88,0.87,0.72,0.69,0.71,0.72,0.7,0.68,0.72,0.7
ENSBSLT00000038215_ENSBSLG00000016797,0.63,0.54,0.63,0.66,0.62,0.71,0.71,0.75,0.73,0.72,0.68,0.71,0.7,0.68,0.67,0.63,0.71,0.69,0.67,0.91,1.0,0.89,0.88,0.74,0.7,0.72,0.73,0.72,0.69,0.73,0.72
ENSBSLT00000038271_ENSBSLG00000016797,0.65,0.58,0.65,0.71,0.69,0.67,0.67,0.71,0.69,0.68,0.68,0.68,0.73,0.68,0.67,0.59,0.67,0.65,0.71,0.88,0.89,1.0,0.9,0.7,0.75,0.68,0.69,0.68,0.74,0.69,0.68
ENSBSLT00000038311_ENSBSLG00000016797,0.65,0.6,0.65,0.72,0.69,0.67,0.68,0.7,0.7,0.69,0.69,0.69,0.74,0.67,0.68,0.6,0.65,0.66,0.69,0.87,0.88,0.9,1.0,0.68,0.73,0.69,0.68,0.69,0.73,0.7,0.69
ENSAOCT00000019367_ENSAOCG00000015656,0.64,0.55,0.64,0.67,0.64,0.76,0.75,0.76,0.77,0.77,0.73,0.75,0.72,0.73,0.72,0.67,0.73,0.71,0.69,0.72,0.74,0.7,0.68,1.0,0.89,0.91,0.92,0.91,0.88,0.89,0.85
ENSAOCT00000030216_ENSAOCG00000015656,0.66,0.59,0.66,0.72,0.7,0.72,0.71,0.72,0.73,0.73,0.73,0.72,0.76,0.73,0.72,0.63,0.69,0.67,0.73,0.69,0.7,0.75,0.73,0.89,1.0,0.88,0.88,0.87,0.9,0.85,0.81
ENSAOCT00000030217_ENSAOCG00000015656,0.64,0.56,0.64,0.68,0.64,0.75,0.76,0.75,0.79,0.79,0.74,0.77,0.73,0.72,0.73,0.69,0.71,0.73,0.67,0.71,0.72,0.68,0.69,0.91,0.88,1.0,0.91,0.93,0.87,0.91,0.87
ENSAPET00000016521_ENSAPEG00000011482,0.63,0.54,0.63,0.66,0.63,0.75,0.74,0.76,0.76,0.76,0.73,0.75,0.71,0.73,0.71,0.67,0.72,0.71,0.68,0.72,0.73,0.69,0.68,0.92,0.88,0.91,1.0,0.91,0.89,0.88,0.85
ENSAPET00000016530_ENSAPEG00000011482,0.63,0.55,0.63,0.66,0.64,0.74,0.76,0.74,0.78,0.78,0.74,0.76,0.72,0.71,0.73,0.69,0.71,0.73,0.67,0.7,0.72,0.68,0.69,0.91,0.87,0.93,0.91,1.0,0.88,0.9,0.87
