,FBtr0084975_FBgn0039403,Y113G7B.24a.1_WBGene00013768,Y113G7B.24b.1_WBGene00013768,Y113G7B.24b.2_WBGene00013768,Y113G7B.24b.3_WBGene00013768,Y113G7B.24c.1_WBGene00013768,ENSPVIT00000033325_ENSPVIG00000020164,ENSSMRT00000029008_ENSSMRG00000019149,ENSSPUT00000011479_ENSSPUG00000008237,ENSCABT00000020680_ENSCABG00000013947,ENSGAGT00000040762_ENSGAGG00000025529
FBtr0084975_FBgn0039403,1.0,0.27,1e-18,1e-18,1e-18,1e-18,0.37,0.37,0.35,0.34,0.35
Y113G7B.24a.1_WBGene00013768,0.27,1.0,0.9,0.9,0.9,0.8,0.22,0.21,0.24,0.2,0.21
Y113G7B.24b.1_WBGene00013768,1e-18,0.9,1.0,1.0,1.0,0.8,0.31,0.31,0.3,0.36,0.36
Y113G7B.24b.2_WBGene00013768,1e-18,0.9,1.0,1.0,1.0,0.8,0.31,0.31,0.3,0.36,0.36
Y113G7B.24b.3_WBGene00013768,1e-18,0.9,1.0,1.0,1.0,0.8,0.31,0.31,0.3,0.36,0.36
Y113G7B.24c.1_WBGene00013768,1e-18,0.8,0.8,0.8,0.8,1.0,1e-18,1e-18,1e-18,1e-18,1e-18
ENSPVIT00000033325_ENSPVIG00000020164,0.37,0.22,0.31,0.31,0.31,1e-18,1.0,0.8,0.76,0.76,0.79
ENSSMRT00000029008_ENSSMRG00000019149,0.37,0.21,0.31,0.31,0.31,1e-18,0.8,1.0,0.75,0.74,0.78
ENSSPUT00000011479_ENSSPUG00000008237,0.35,0.24,0.3,0.3,0.3,1e-18,0.76,0.75,1.0,0.75,0.79
ENSCABT00000020680_ENSCABG00000013947,0.34,0.2,0.36,0.36,0.36,1e-18,0.76,0.74,0.75,1.0,0.91
ENSGAGT00000040762_ENSGAGG00000025529,0.35,0.21,0.36,0.36,0.36,1e-18,0.79,0.78,0.79,0.91,1.0
