,ENSCSAVT00000013921_ENSCSAVG00000008073,ENSCSAVT00000013922_ENSCSAVG00000008073,ENSCSAVT00000013923_ENSCSAVG00000008073,ENSCSAVT00000013924_ENSCSAVG00000008073,ENSCSAVT00000013925_ENSCSAVG00000008073,ENSCSAVT00000013926_ENSCSAVG00000008073,ENSCSAVT00000013927_ENSCSAVG00000008073,FBtr0306679_FBgn0031170,FBtr0332489_FBgn0031170,FBtr0332488_FBgn0031170,FBtr0075195_FBgn0036747,FBtr0332307_FBgn0031169,FBtr0332306_FBgn0031169,Y39D8C.1.1_WBGene00000022
ENSCSAVT00000013921_ENSCSAVG00000008073,1.0,0.93,0.9,0.94,0.94,0.93,0.92,0.32,0.32,0.32,0.29,0.3,0.3,0.33
ENSCSAVT00000013922_ENSCSAVG00000008073,0.93,1.0,0.9,0.94,0.93,0.94,0.93,0.32,0.32,0.32,0.28,0.3,0.3,0.33
ENSCSAVT00000013923_ENSCSAVG00000008073,0.9,0.9,1.0,0.92,0.91,0.9,0.9,0.33,0.33,0.32,0.29,0.3,0.3,0.34
ENSCSAVT00000013924_ENSCSAVG00000008073,0.94,0.94,0.92,1.0,0.94,0.93,0.93,0.32,0.32,0.32,0.29,0.3,0.3,0.33
ENSCSAVT00000013925_ENSCSAVG00000008073,0.94,0.93,0.91,0.94,1.0,0.95,0.93,0.33,0.33,0.32,0.29,0.3,0.3,0.33
ENSCSAVT00000013926_ENSCSAVG00000008073,0.93,0.94,0.9,0.93,0.95,1.0,0.93,0.33,0.33,0.33,0.29,0.3,0.3,0.33
ENSCSAVT00000013927_ENSCSAVG00000008073,0.92,0.93,0.9,0.93,0.93,0.93,1.0,0.32,0.33,0.32,0.29,0.3,0.3,0.33
FBtr0306679_FBgn0031170,0.32,0.32,0.33,0.32,0.33,0.33,0.32,1.0,0.92,0.91,0.4,0.34,0.34,0.31
FBtr0332489_FBgn0031170,0.32,0.32,0.33,0.32,0.33,0.33,0.33,0.92,1.0,0.92,0.4,0.35,0.35,0.31
FBtr0332488_FBgn0031170,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.91,0.92,1.0,0.4,0.34,0.34,0.3
FBtr0075195_FBgn0036747,0.29,0.28,0.29,0.29,0.29,0.29,0.29,0.4,0.4,0.4,1.0,0.25,0.25,1e-18
FBtr0332307_FBgn0031169,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.34,0.35,0.34,0.25,1.0,0.91,0.29
FBtr0332306_FBgn0031169,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.34,0.35,0.34,0.25,0.91,1.0,0.29
Y39D8C.1.1_WBGene00000022,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.31,0.31,0.3,1e-18,0.29,0.29,1.0
