,ENSELUT00000004730_ENSELUG00000009521,ENSHHUT00000026309_ENSHHUG00000015965,ENSHHUT00000015663_ENSHHUG00000009408,ENSACLT00000000073_ENSACLG00000000058,ENSPNYT00000032841_ENSPNYG00000024213,ENSPNYT00000019831_ENSPNYG00000014632,ENSMZET00005017745_ENSMZEG00005012925,ENSPLAT00000006375_ENSPLAG00000008474,ENSPMET00000010110_ENSPMEG00000005088,ENSCGOT00000026893_ENSCGOG00000011825,ENSLBET00000038330_ENSLBEG00000027503
ENSELUT00000004730_ENSELUG00000009521,1.0,0.34,0.32,0.33,0.3,0.29,0.28,0.33,0.29,0.4,0.34
ENSHHUT00000026309_ENSHHUG00000015965,0.34,1.0,0.81,0.28,0.25,0.25,0.25,0.24,0.21,0.32,0.25
ENSHHUT00000015663_ENSHHUG00000009408,0.32,0.81,1.0,0.28,0.27,0.28,0.28,0.24,0.22,0.29,0.23
ENSACLT00000000073_ENSACLG00000000058,0.33,0.28,0.28,1.0,0.76,0.52,0.77,0.39,0.34,0.46,0.41
ENSPNYT00000032841_ENSPNYG00000024213,0.3,0.25,0.27,0.76,1.0,0.73,0.77,0.37,0.43,0.43,0.49
ENSPNYT00000019831_ENSPNYG00000014632,0.29,0.25,0.28,0.52,0.73,1.0,0.85,0.38,0.32,0.44,0.39
ENSMZET00005017745_ENSMZEG00005012925,0.28,0.25,0.28,0.77,0.77,0.85,1.0,0.37,0.36,0.43,0.38
ENSPLAT00000006375_ENSPLAG00000008474,0.33,0.24,0.24,0.39,0.37,0.38,0.37,1.0,0.79,0.39,0.3
ENSPMET00000010110_ENSPMEG00000005088,0.29,0.21,0.22,0.34,0.43,0.32,0.36,0.79,1.0,0.36,0.41
ENSCGOT00000026893_ENSCGOG00000011825,0.4,0.32,0.29,0.46,0.43,0.44,0.43,0.39,0.36,1.0,0.54
ENSLBET00000038330_ENSLBEG00000027503,0.34,0.25,0.23,0.41,0.49,0.39,0.38,0.3,0.41,0.54,1.0
