,T04C10.2a.1_WBGene00001329,T04C10.2b.1_WBGene00001329,FBtr0076797_FBgn0028582,FBtr0076794_FBgn0028582,FBtr0331837_FBgn0028582,FBtr0331833_FBgn0028582,FBtr0076798_FBgn0028582,FBtr0331834_FBgn0028582,FBtr0112941_FBgn0028582,FBtr0076796_FBgn0028582,FBtr0331838_FBgn0028582,FBtr0331835_FBgn0028582,FBtr0331836_FBgn0028582,FBtr0076795_FBgn0028582,YDL161W_mRNA_YDL161W,YLR206W_mRNA_YLR206W
T04C10.2a.1_WBGene00001329,1.0,0.98,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.29,0.28
T04C10.2b.1_WBGene00001329,0.98,1.0,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.29,0.28
FBtr0076797_FBgn0028582,0.38,0.38,1.0,0.97,0.99,0.91,0.96,0.99,0.96,0.97,0.91,0.9,0.97,0.96,0.28,0.3
FBtr0076794_FBgn0028582,0.38,0.38,0.97,1.0,0.97,0.91,0.97,0.97,0.96,0.99,0.91,0.9,0.96,0.97,0.28,0.3
FBtr0331837_FBgn0028582,0.38,0.38,0.99,0.97,1.0,0.91,0.96,0.99,0.96,0.97,0.91,0.9,0.97,0.96,0.28,0.3
FBtr0331833_FBgn0028582,0.38,0.38,0.91,0.91,0.91,1.0,0.9,0.91,0.93,0.91,0.98,0.97,0.9,0.9,0.28,0.3
FBtr0076798_FBgn0028582,0.37,0.37,0.96,0.97,0.96,0.9,1.0,0.96,0.94,0.97,0.9,0.92,0.99,1.0,0.26,0.28
FBtr0331834_FBgn0028582,0.38,0.38,0.99,0.97,0.99,0.91,0.96,1.0,0.96,0.97,0.91,0.9,0.97,0.96,0.28,0.3
FBtr0112941_FBgn0028582,0.38,0.38,0.96,0.96,0.96,0.93,0.94,0.96,1.0,0.96,0.93,0.91,0.94,0.94,0.28,0.3
FBtr0076796_FBgn0028582,0.38,0.38,0.97,0.99,0.97,0.91,0.97,0.97,0.96,1.0,0.91,0.9,0.96,0.97,0.28,0.3
FBtr0331838_FBgn0028582,0.38,0.38,0.91,0.91,0.91,0.98,0.9,0.91,0.93,0.91,1.0,0.97,0.9,0.9,0.28,0.3
FBtr0331835_FBgn0028582,0.37,0.37,0.9,0.9,0.9,0.97,0.92,0.9,0.91,0.9,0.97,1.0,0.92,0.92,0.26,0.28
FBtr0331836_FBgn0028582,0.37,0.37,0.97,0.96,0.97,0.9,0.99,0.97,0.94,0.96,0.9,0.92,1.0,0.99,0.26,0.28
FBtr0076795_FBgn0028582,0.37,0.37,0.96,0.97,0.96,0.9,1.0,0.96,0.94,0.97,0.9,0.92,0.99,1.0,0.26,0.28
YDL161W_mRNA_YDL161W,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.28,0.28,0.28,0.28,0.26,0.26,0.26,1.0,0.57
YLR206W_mRNA_YLR206W,0.28,0.28,0.3,0.3,0.3,0.3,0.28,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.57,1.0
