,ENSEBUT00000021062_ENSEBUG00000012693,ENSEBUT00000021090_ENSEBUG00000012693,ENSVURT00010003713_ENSVURG00010002629,ENSPCIT00000042791_ENSPCIG00000025724,ENSPCIT00000042792_ENSPCIG00000025724,ENSPCIT00000042793_ENSPCIG00000025724,ENSPCIT00000042799_ENSPCIG00000025724,ENSSHAT00000016799_ENSSHAG00000014171,ENSSHAT00000016800_ENSSHAG00000014171,ENSMODT00000031070_ENSMODG00000017736,ENSMODT00000085109_ENSMODG00000017736,ENSPCAT00000016949_ENSPCAG00000016921,ENSETET00000004803_ENSETEG00000004798,ENSUAMT00000007953_ENSUAMG00000006142,ENSUMAT00000034653_ENSUMAG00000021256,ENSAMET00000001367_ENSAMEG00000001214,ENSNVIT00000019547_ENSNVIG00000013024,ENSNVIT00000019561_ENSNVIG00000013024,ENSNVIT00000019570_ENSNVIG00000013024
ENSEBUT00000021062_ENSEBUG00000012693,1.0,0.96,0.4,0.39,0.38,0.39,0.41,0.39,0.37,0.39,0.39,0.37,0.36,0.43,0.43,0.4,0.4,0.42,0.39
ENSEBUT00000021090_ENSEBUG00000012693,0.96,1.0,0.4,0.4,0.38,0.4,0.42,0.4,0.37,0.39,0.39,0.37,0.35,0.43,0.43,0.4,0.4,0.43,0.38
ENSVURT00010003713_ENSVURG00010002629,0.4,0.4,1.0,0.94,0.92,0.94,0.89,0.9,0.84,0.89,0.88,0.66,0.61,0.71,0.72,0.73,0.74,0.72,0.7
ENSPCIT00000042791_ENSPCIG00000025724,0.39,0.4,0.94,1.0,0.96,0.97,0.92,0.89,0.84,0.88,0.87,0.65,0.61,0.71,0.71,0.73,0.74,0.71,0.7
ENSPCIT00000042792_ENSPCIG00000025724,0.38,0.38,0.92,0.96,1.0,0.96,0.91,0.87,0.82,0.86,0.85,0.65,0.6,0.69,0.69,0.7,0.71,0.69,0.68
ENSPCIT00000042793_ENSPCIG00000025724,0.39,0.4,0.94,0.97,0.96,1.0,0.92,0.9,0.84,0.89,0.87,0.66,0.61,0.71,0.71,0.73,0.74,0.71,0.71
ENSPCIT00000042799_ENSPCIG00000025724,0.41,0.42,0.89,0.92,0.91,0.92,1.0,0.85,0.81,0.84,0.83,0.67,0.62,0.76,0.76,0.72,0.71,0.76,0.69
ENSSHAT00000016799_ENSSHAG00000014171,0.39,0.4,0.9,0.89,0.87,0.9,0.85,1.0,0.92,0.88,0.87,0.66,0.6,0.71,0.71,0.72,0.73,0.71,0.7
ENSSHAT00000016800_ENSSHAG00000014171,0.37,0.37,0.84,0.84,0.82,0.84,0.81,0.92,1.0,0.82,0.82,0.64,0.59,0.67,0.67,0.67,0.67,0.67,0.65
ENSMODT00000031070_ENSMODG00000017736,0.39,0.39,0.89,0.88,0.86,0.89,0.84,0.88,0.82,1.0,0.97,0.66,0.61,0.71,0.71,0.73,0.73,0.71,0.7
ENSMODT00000085109_ENSMODG00000017736,0.39,0.39,0.88,0.87,0.85,0.87,0.83,0.87,0.82,0.97,1.0,0.65,0.6,0.71,0.71,0.72,0.72,0.71,0.69
ENSPCAT00000016949_ENSPCAG00000016921,0.37,0.37,0.66,0.65,0.65,0.66,0.67,0.66,0.64,0.66,0.65,1.0,0.7,0.74,0.73,0.74,0.74,0.73,0.73
ENSETET00000004803_ENSETEG00000004798,0.36,0.35,0.61,0.61,0.6,0.61,0.62,0.6,0.59,0.61,0.6,0.7,1.0,0.69,0.69,0.69,0.69,0.69,0.68
ENSUAMT00000007953_ENSUAMG00000006142,0.43,0.43,0.71,0.71,0.69,0.71,0.76,0.71,0.67,0.71,0.71,0.74,0.69,1.0,0.98,0.92,0.87,0.93,0.84
ENSUMAT00000034653_ENSUMAG00000021256,0.43,0.43,0.72,0.71,0.69,0.71,0.76,0.71,0.67,0.71,0.71,0.73,0.69,0.98,1.0,0.92,0.87,0.93,0.84
ENSAMET00000001367_ENSAMEG00000001214,0.4,0.4,0.73,0.73,0.7,0.73,0.72,0.72,0.67,0.73,0.72,0.74,0.69,0.92,0.92,1.0,0.91,0.88,0.88
ENSNVIT00000019547_ENSNVIG00000013024,0.4,0.4,0.74,0.74,0.71,0.74,0.71,0.73,0.67,0.73,0.72,0.74,0.69,0.87,0.87,0.91,1.0,0.92,0.95
ENSNVIT00000019561_ENSNVIG00000013024,0.42,0.43,0.72,0.71,0.69,0.71,0.76,0.71,0.67,0.71,0.71,0.73,0.69,0.93,0.93,0.88,0.92,1.0,0.9
ENSNVIT00000019570_ENSNVIG00000013024,0.39,0.38,0.7,0.7,0.68,0.71,0.69,0.7,0.65,0.7,0.69,0.73,0.68,0.84,0.84,0.88,0.95,0.9,1.0
