,ENSMFAT00000026116_ENSMFAG00000040800,ENSMMUT00000033490_ENSMMUG00000063681,ENSMNET00000064639_ENSMNEG00000042989,ENSMNET00000064644_ENSMNEG00000042989,ENSCATT00000049766_ENSCATG00000036232,ENSCSAT00000001594_ENSCSAG00000003564,ENSRROT00000032984_ENSRROG00000028879,ENSRROT00000032986_ENSRROG00000028879,ENSRROT00000042895_ENSRROG00000033404,ENSNLET00000036817_ENSNLEG00000034616,ENSNLET00000000860_ENSNLEG00000000696,ENSRROT00000070155_ENSRROG00000045704,ENSRROT00000070156_ENSRROG00000045704,ENSRBIT00000053778_ENSRBIG00000038793,ENSPTET00000052077_ENSPTEG00000035877,ENSPTET00000052079_ENSPTEG00000035877
ENSMFAT00000026116_ENSMFAG00000040800,1.0,0.93,0.93,0.9,0.87,0.91,0.84,0.89,0.8,0.88,0.8,0.86,0.82,0.78,0.86,0.82
ENSMMUT00000033490_ENSMMUG00000063681,0.93,1.0,0.93,0.9,0.87,0.91,0.84,0.88,0.8,0.87,0.8,0.86,0.82,0.78,0.86,0.82
ENSMNET00000064639_ENSMNEG00000042989,0.93,0.93,1.0,0.9,0.87,0.91,0.85,0.88,0.8,0.87,0.8,0.86,0.82,0.78,0.86,0.82
ENSMNET00000064644_ENSMNEG00000042989,0.9,0.9,0.9,1.0,0.85,0.88,0.88,0.85,0.79,0.84,0.78,0.82,0.86,0.79,0.82,0.86
ENSCATT00000049766_ENSCATG00000036232,0.87,0.87,0.87,0.85,1.0,0.86,0.82,0.84,0.78,0.82,0.78,0.8,0.77,0.73,0.81,0.77
ENSCSAT00000001594_ENSCSAG00000003564,0.91,0.91,0.91,0.88,0.86,1.0,0.85,0.88,0.8,0.88,0.8,0.86,0.82,0.78,0.86,0.82
ENSRROT00000032984_ENSRROG00000028879,0.84,0.84,0.85,0.88,0.82,0.85,1.0,0.88,0.78,0.82,0.77,0.84,0.87,0.79,0.82,0.86
ENSRROT00000032986_ENSRROG00000028879,0.89,0.88,0.88,0.85,0.84,0.88,0.88,1.0,0.8,0.86,0.79,0.85,0.81,0.77,0.85,0.81
ENSRROT00000042895_ENSRROG00000033404,0.8,0.8,0.8,0.79,0.78,0.8,0.78,0.8,1.0,0.78,0.8,0.77,0.75,0.78,0.76,0.74
ENSNLET00000036817_ENSNLEG00000034616,0.88,0.87,0.87,0.84,0.82,0.88,0.82,0.86,0.78,1.0,0.83,0.86,0.82,0.78,0.86,0.82
ENSNLET00000000860_ENSNLEG00000000696,0.8,0.8,0.8,0.78,0.78,0.8,0.77,0.79,0.8,0.83,1.0,0.8,0.78,0.82,0.8,0.77
ENSRROT00000070155_ENSRROG00000045704,0.86,0.86,0.86,0.82,0.8,0.86,0.84,0.85,0.77,0.86,0.8,1.0,0.9,0.84,0.89,0.86
ENSRROT00000070156_ENSRROG00000045704,0.82,0.82,0.82,0.86,0.77,0.82,0.87,0.81,0.75,0.82,0.78,0.9,1.0,0.85,0.86,0.9
ENSRBIT00000053778_ENSRBIG00000038793,0.78,0.78,0.78,0.79,0.73,0.78,0.79,0.77,0.78,0.78,0.82,0.84,0.85,1.0,0.82,0.83
ENSPTET00000052077_ENSPTEG00000035877,0.86,0.86,0.86,0.82,0.81,0.86,0.82,0.85,0.76,0.86,0.8,0.89,0.86,0.82,1.0,0.9
ENSPTET00000052079_ENSPTEG00000035877,0.82,0.82,0.82,0.86,0.77,0.82,0.86,0.81,0.74,0.82,0.77,0.86,0.9,0.83,0.9,1.0
