,ENSLACT00000017649_ENSLACG00000015431,ENSLACT00000015990_ENSLACG00000013984,ENSLACT00000015991_ENSLACG00000013984,ENSVURT00010008305_ENSVURG00010005675,ENSPCIT00000038000_ENSPCIG00000022967,ENSPCIT00000065273_ENSPCIG00000022967,ENSMEUT00000001695_ENSMEUG00000001687,ENSMODT00000024539_ENSMODG00000019321,ENSPCAT00000006820_ENSPCAG00000006820,ENST00000397374_ENSG00000184545,ENST00000331588_ENSG00000184545,ENSPPYT00000003491_ENSPPYG00000002903,ENSNLET00000016909_ENSNLEG00000013284,ENSRBIT00000033919_ENSRBIG00000029004
ENSLACT00000017649_ENSLACG00000015431,1.0,0.44,0.46,0.61,0.61,0.61,0.55,1e-18,0.53,0.58,0.58,0.59,0.58,0.57
ENSLACT00000015990_ENSLACG00000013984,0.44,1.0,0.95,0.54,0.53,0.53,0.47,0.35,0.48,0.5,0.5,0.5,0.47,0.52
ENSLACT00000015991_ENSLACG00000013984,0.46,0.95,1.0,0.55,0.55,0.55,0.49,0.36,0.48,0.51,0.51,0.51,0.49,0.52
ENSVURT00010008305_ENSVURG00010005675,0.61,0.54,0.55,1.0,0.91,0.91,0.78,0.7,0.69,0.76,0.76,0.78,0.73,0.77
ENSPCIT00000038000_ENSPCIG00000022967,0.61,0.53,0.55,0.91,1.0,0.97,0.78,0.68,0.7,0.75,0.75,0.77,0.72,0.77
ENSPCIT00000065273_ENSPCIG00000022967,0.61,0.53,0.55,0.91,0.97,1.0,0.78,0.68,0.7,0.75,0.75,0.77,0.72,0.77
ENSMEUT00000001695_ENSMEUG00000001687,0.55,0.47,0.49,0.78,0.78,0.78,1.0,0.66,0.64,0.66,0.66,0.67,0.64,0.69
ENSMODT00000024539_ENSMODG00000019321,1e-18,0.35,0.36,0.7,0.68,0.68,0.66,1.0,0.66,0.6,0.6,0.66,0.61,0.64
ENSPCAT00000006820_ENSPCAG00000006820,0.53,0.48,0.48,0.69,0.7,0.7,0.64,0.66,1.0,0.77,0.77,0.76,0.75,0.76
ENST00000397374_ENSG00000184545,0.58,0.5,0.51,0.76,0.75,0.75,0.66,0.6,0.77,1.0,0.97,0.93,0.91,0.91
ENST00000331588_ENSG00000184545,0.58,0.5,0.51,0.76,0.75,0.75,0.66,0.6,0.77,0.97,1.0,0.93,0.91,0.91
ENSPPYT00000003491_ENSPPYG00000002903,0.59,0.5,0.51,0.78,0.77,0.77,0.67,0.66,0.76,0.93,0.93,1.0,0.93,0.9
ENSNLET00000016909_ENSNLEG00000013284,0.58,0.47,0.49,0.73,0.72,0.72,0.64,0.61,0.75,0.91,0.91,0.93,1.0,0.87
ENSRBIT00000033919_ENSRBIG00000029004,0.57,0.52,0.52,0.77,0.77,0.77,0.69,0.64,0.76,0.91,0.91,0.9,0.87,1.0
