,ENSAPET00000010554_ENSAPEG00000007388,ENSAOCT00000004228_ENSAOCG00000010300,ENSAOCT00000004248_ENSAOCG00000010300,ENSCVAT00000010965_ENSCVAG00000004052,ENSCVAT00000010980_ENSCVAG00000004052,ENSCVAT00000010993_ENSCVAG00000004052,ENSACLT00000042148_ENSACLG00000027726,ENSACLT00000042149_ENSACLG00000027726,ENSATET00000035907_ENSATEG00000024328,ENSATET00000035909_ENSATEG00000024328,ENSBSLT00000032383_ENSBSLG00000014578,ENSBSLT00000032389_ENSBSLG00000014578,ENSELUT00000034959_ENSELUG00000022545,ENSELUT00000034963_ENSELUG00000022545,ENSELUT00000035097_ENSELUG00000022545,ENSGMOT00000016641_ENSGMOG00000015154,ENSGAGT00000028561_ENSGAGG00000018349
ENSAPET00000010554_ENSAPEG00000007388,1.0,0.88,0.83,0.59,0.6,0.57,0.63,0.63,0.64,0.66,0.64,0.65,0.46,0.51,0.52,0.51,0.49
ENSAOCT00000004228_ENSAOCG00000010300,0.88,1.0,0.85,0.58,0.59,0.56,0.62,0.62,0.63,0.64,0.63,0.64,0.46,0.5,0.51,0.51,0.47
ENSAOCT00000004248_ENSAOCG00000010300,0.83,0.85,1.0,0.56,0.62,0.65,0.59,0.64,0.62,0.65,0.65,0.6,0.45,0.54,0.47,0.56,0.45
ENSCVAT00000010965_ENSCVAG00000004052,0.59,0.58,0.56,1.0,0.88,0.85,0.63,0.66,0.62,0.63,0.64,0.66,0.44,0.51,0.51,0.57,0.5
ENSCVAT00000010980_ENSCVAG00000004052,0.6,0.59,0.62,0.88,1.0,0.88,0.66,0.72,0.63,0.67,0.68,0.64,0.45,0.58,0.51,0.61,0.5
ENSCVAT00000010993_ENSCVAG00000004052,0.57,0.56,0.65,0.85,0.88,1.0,0.63,0.68,0.61,0.64,0.64,0.62,0.44,0.54,0.48,0.59,0.48
ENSACLT00000042148_ENSACLG00000027726,0.63,0.62,0.59,0.63,0.66,0.63,1.0,0.88,0.68,0.69,0.68,0.69,0.46,0.53,0.53,0.54,0.46
ENSACLT00000042149_ENSACLG00000027726,0.63,0.62,0.64,0.66,0.72,0.68,0.88,1.0,0.69,0.72,0.71,0.68,0.47,0.59,0.53,0.59,0.45
ENSATET00000035907_ENSATEG00000024328,0.64,0.63,0.62,0.62,0.63,0.61,0.68,0.69,1.0,0.87,0.7,0.68,0.47,0.55,0.52,0.56,0.44
ENSATET00000035909_ENSATEG00000024328,0.66,0.64,0.65,0.63,0.67,0.64,0.69,0.72,0.87,1.0,0.73,0.69,0.48,0.59,0.53,0.59,0.44
ENSBSLT00000032383_ENSBSLG00000014578,0.64,0.63,0.65,0.64,0.68,0.64,0.68,0.71,0.7,0.73,1.0,0.86,0.47,0.59,0.53,0.61,0.47
ENSBSLT00000032389_ENSBSLG00000014578,0.65,0.64,0.6,0.66,0.64,0.62,0.69,0.68,0.68,0.69,0.86,1.0,0.47,0.52,0.54,0.54,0.48
ENSELUT00000034959_ENSELUG00000022545,0.46,0.46,0.45,0.44,0.45,0.44,0.46,0.47,0.47,0.48,0.47,0.47,1.0,0.85,0.86,0.47,0.32
ENSELUT00000034963_ENSELUG00000022545,0.51,0.5,0.54,0.51,0.58,0.54,0.53,0.59,0.55,0.59,0.59,0.52,0.85,1.0,0.88,0.58,0.43
ENSELUT00000035097_ENSELUG00000022545,0.52,0.51,0.47,0.51,0.51,0.48,0.53,0.53,0.52,0.53,0.53,0.54,0.86,0.88,1.0,0.51,0.44
ENSGMOT00000016641_ENSGMOG00000015154,0.51,0.51,0.56,0.57,0.61,0.59,0.54,0.59,0.56,0.59,0.61,0.54,0.47,0.58,0.51,1.0,0.6
ENSGAGT00000028561_ENSGAGG00000018349,0.49,0.47,0.45,0.5,0.5,0.48,0.46,0.45,0.44,0.44,0.47,0.48,0.32,0.43,0.44,0.6,1.0
