,ENSHHUT00000033756_ENSHHUG00000020076,ENSHHUT00000033761_ENSHHUG00000020076,ENSELUT00000016411_ENSELUG00000003410,ENSELUT00000016416_ENSELUG00000003410,ENSCGOT00000050582_ENSCGOG00000021110,ENSCGOT00000050770_ENSCGOG00000021110,ENSCGOT00000050894_ENSCGOG00000021110,ENSCGOT00000050896_ENSCGOG00000021110,ENSCGOT00000050913_ENSCGOG00000021110,ENSLCRT00005046594_ENSLCRG00005017409,ENSLCRT00005046737_ENSLCRG00005017409,ENSLCRT00005046789_ENSLCRG00005017409,ENSLCRT00005046814_ENSLCRG00005017409,ENSLCRT00005046815_ENSLCRG00005017409,ENSPRNT00000030189_ENSPRNG00000014144,ENSPRNT00000030207_ENSPRNG00000014144,ENSPRNT00000030210_ENSPRNG00000014144,ENSCSET00000007385_ENSCSEG00000004697,ENSCSET00000007389_ENSCSEG00000004697,ENSAOCT00000019150_ENSAOCG00000016018,ENSAPET00000031220_ENSAPEG00000021610,ENSAPOT00000014780_ENSAPOG00000002996,ENSSPAT00000004957_ENSSPAG00000003763,ENSLBET00000013539_ENSLBEG00000009904
ENSHHUT00000033756_ENSHHUG00000020076,1.0,0.92,0.81,0.85,0.81,0.77,0.8,0.76,0.77,0.77,0.81,0.75,0.79,0.75,0.78,0.75,0.76,0.75,0.73,0.8,0.8,0.79,0.8,0.8
ENSHHUT00000033761_ENSHHUG00000020076,0.92,1.0,0.79,0.83,0.79,0.76,0.82,0.77,0.76,0.75,0.79,0.74,0.82,0.76,0.8,0.74,0.78,0.73,0.75,0.78,0.79,0.78,0.79,0.79
ENSELUT00000016411_ENSELUG00000003410,0.81,0.79,1.0,0.88,0.76,0.73,0.75,0.72,0.73,0.74,0.77,0.73,0.76,0.74,0.75,0.73,0.74,0.71,0.69,0.76,0.76,0.76,0.76,0.75
ENSELUT00000016416_ENSELUG00000003410,0.85,0.83,0.88,1.0,0.79,0.76,0.78,0.74,0.76,0.77,0.81,0.75,0.79,0.73,0.78,0.76,0.77,0.74,0.73,0.79,0.8,0.79,0.8,0.79
ENSCGOT00000050582_ENSCGOG00000021110,0.81,0.79,0.76,0.79,1.0,0.88,0.9,0.87,0.88,0.86,0.89,0.83,0.87,0.82,0.85,0.83,0.84,0.82,0.8,0.88,0.88,0.88,0.89,0.87
ENSCGOT00000050770_ENSCGOG00000021110,0.77,0.76,0.73,0.76,0.88,1.0,0.87,0.86,0.87,0.92,0.86,0.83,0.83,0.79,0.82,0.9,0.81,0.79,0.77,0.84,0.84,0.84,0.85,0.83
ENSCGOT00000050894_ENSCGOG00000021110,0.8,0.82,0.75,0.78,0.9,0.87,1.0,0.88,0.87,0.83,0.87,0.82,0.9,0.82,0.88,0.82,0.85,0.79,0.81,0.86,0.86,0.85,0.87,0.85
ENSCGOT00000050896_ENSCGOG00000021110,0.76,0.77,0.72,0.74,0.87,0.86,0.88,1.0,0.87,0.82,0.83,0.82,0.85,0.79,0.83,0.8,0.81,0.79,0.8,0.81,0.81,0.82,0.83,0.82
ENSCGOT00000050913_ENSCGOG00000021110,0.77,0.76,0.73,0.76,0.88,0.87,0.87,0.87,1.0,0.84,0.86,0.84,0.84,0.79,0.82,0.82,0.8,0.79,0.77,0.84,0.84,0.84,0.85,0.82
ENSLCRT00005046594_ENSLCRG00005017409,0.77,0.75,0.74,0.77,0.86,0.92,0.83,0.82,0.84,1.0,0.88,0.86,0.87,0.81,0.83,0.91,0.82,0.79,0.77,0.85,0.85,0.85,0.85,0.83
ENSLCRT00005046737_ENSLCRG00005017409,0.81,0.79,0.77,0.81,0.89,0.86,0.87,0.83,0.86,0.88,1.0,0.87,0.9,0.83,0.87,0.84,0.85,0.81,0.79,0.89,0.88,0.88,0.89,0.86
ENSLCRT00005046789_ENSLCRG00005017409,0.75,0.74,0.73,0.75,0.83,0.83,0.82,0.82,0.84,0.86,0.87,1.0,0.85,0.8,0.81,0.82,0.8,0.77,0.75,0.83,0.83,0.83,0.83,0.81
ENSLCRT00005046814_ENSLCRG00005017409,0.79,0.82,0.76,0.79,0.87,0.83,0.9,0.85,0.84,0.87,0.9,0.85,1.0,0.84,0.89,0.83,0.86,0.79,0.81,0.86,0.86,0.86,0.87,0.85
ENSLCRT00005046815_ENSLCRG00005017409,0.75,0.76,0.74,0.73,0.82,0.79,0.82,0.79,0.79,0.81,0.83,0.8,0.84,1.0,0.82,0.79,0.81,0.75,0.76,0.81,0.81,0.81,0.82,0.82
ENSPRNT00000030189_ENSPRNG00000014144,0.78,0.8,0.75,0.78,0.85,0.82,0.88,0.83,0.82,0.83,0.87,0.81,0.89,0.82,1.0,0.87,0.9,0.78,0.81,0.87,0.87,0.87,0.88,0.84
ENSPRNT00000030207_ENSPRNG00000014144,0.75,0.74,0.73,0.76,0.83,0.9,0.82,0.8,0.82,0.91,0.84,0.82,0.83,0.79,0.87,1.0,0.86,0.78,0.76,0.85,0.85,0.85,0.85,0.82
ENSPRNT00000030210_ENSPRNG00000014144,0.76,0.78,0.74,0.77,0.84,0.81,0.85,0.81,0.8,0.82,0.85,0.8,0.86,0.81,0.9,0.86,1.0,0.77,0.78,0.85,0.85,0.85,0.86,0.82
ENSCSET00000007385_ENSCSEG00000004697,0.75,0.73,0.71,0.74,0.82,0.79,0.79,0.79,0.79,0.79,0.81,0.77,0.79,0.75,0.78,0.78,0.77,1.0,0.92,0.81,0.81,0.82,0.81,0.79
ENSCSET00000007389_ENSCSEG00000004697,0.73,0.75,0.69,0.73,0.8,0.77,0.81,0.8,0.77,0.77,0.79,0.75,0.81,0.76,0.81,0.76,0.78,0.92,1.0,0.79,0.79,0.8,0.79,0.78
ENSAOCT00000019150_ENSAOCG00000016018,0.8,0.78,0.76,0.79,0.88,0.84,0.86,0.81,0.84,0.85,0.89,0.83,0.86,0.81,0.87,0.85,0.85,0.81,0.79,1.0,0.92,0.92,0.9,0.84
ENSAPET00000031220_ENSAPEG00000021610,0.8,0.79,0.76,0.8,0.88,0.84,0.86,0.81,0.84,0.85,0.88,0.83,0.86,0.81,0.87,0.85,0.85,0.81,0.79,0.92,1.0,0.91,0.9,0.85
ENSAPOT00000014780_ENSAPOG00000002996,0.79,0.78,0.76,0.79,0.88,0.84,0.85,0.82,0.84,0.85,0.88,0.83,0.86,0.81,0.87,0.85,0.85,0.82,0.8,0.92,0.91,1.0,0.9,0.85
ENSSPAT00000004957_ENSSPAG00000003763,0.8,0.79,0.76,0.8,0.89,0.85,0.87,0.83,0.85,0.85,0.89,0.83,0.87,0.82,0.88,0.85,0.86,0.81,0.79,0.9,0.9,0.9,1.0,0.85
ENSLBET00000013539_ENSLBEG00000009904,0.8,0.79,0.75,0.79,0.87,0.83,0.85,0.82,0.82,0.83,0.86,0.81,0.85,0.82,0.84,0.82,0.82,0.79,0.78,0.84,0.85,0.85,0.85,1.0
