,ENSMAMT00000012247_ENSMAMG00000008069,ENSMAMT00000012260_ENSMAMG00000008069,ENSBSLT00000030145_ENSBSLG00000013643,ENSBSLT00000030173_ENSBSLG00000013643,ENSCSET00000010781_ENSCSEG00000006834,ENSCSET00000010788_ENSCSEG00000006834,ENSHCOT00000006712_ENSHCOG00000006129,ENSHCOT00000006720_ENSHCOG00000006129,ENSLBET00000011453_ENSLBEG00000008412,ENSPFOT00000000132_ENSPFOG00000000148,ENSPMET00000033367_ENSPMEG00000019035,ENSPLAT00000016826_ENSPLAG00000000986,ENSPRET00000025042_ENSPREG00000016745,ENSXMAT00000001593_ENSXMAG00000001603,ENSXMAT00000028505_ENSXMAG00000001603,ENSXCOT00000021608_ENSXCOG00000015977,ENSGAFT00000026303_ENSGAFG00000017569,ENSFHET00000008658_ENSFHEG00000005464,ENSCVAT00000001322_ENSCVAG00000010456,ENSCVAT00000001326_ENSCVAG00000010456,ENSKMAT00000019382_ENSKMAG00000014220
ENSMAMT00000012247_ENSMAMG00000008069,1.0,0.83,0.72,0.72,0.68,0.68,0.72,0.69,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.67,0.69,0.69,0.68,0.68,0.7
ENSMAMT00000012260_ENSMAMG00000008069,0.83,1.0,0.66,0.66,0.64,0.65,0.66,0.69,0.66,0.67,0.67,0.67,0.66,0.66,0.66,0.7,0.66,0.66,0.65,0.65,0.67
ENSBSLT00000030145_ENSBSLG00000013643,0.72,0.66,1.0,0.9,0.63,0.64,0.67,0.64,0.69,0.64,0.64,0.64,0.63,0.63,0.62,0.6,0.62,0.63,0.62,0.62,0.64
ENSBSLT00000030173_ENSBSLG00000013643,0.72,0.66,0.9,1.0,0.63,0.64,0.67,0.64,0.69,0.64,0.64,0.64,0.63,0.63,0.62,0.6,0.62,0.63,0.62,0.62,0.64
ENSCSET00000010781_ENSCSEG00000006834,0.68,0.64,0.63,0.63,1.0,0.93,0.65,0.65,0.65,0.77,0.77,0.73,0.77,0.73,0.71,0.67,0.72,0.72,0.75,0.71,0.74
ENSCSET00000010788_ENSCSEG00000006834,0.68,0.65,0.64,0.64,0.93,1.0,0.65,0.64,0.66,0.78,0.78,0.74,0.79,0.74,0.72,0.67,0.73,0.73,0.76,0.72,0.74
ENSHCOT00000006712_ENSHCOG00000006129,0.72,0.66,0.67,0.67,0.65,0.65,1.0,0.87,0.71,0.64,0.65,0.65,0.65,0.63,0.63,0.61,0.63,0.64,0.63,0.63,0.65
ENSHCOT00000006720_ENSHCOG00000006129,0.69,0.69,0.64,0.64,0.65,0.64,0.87,1.0,0.68,0.64,0.64,0.64,0.65,0.63,0.63,0.62,0.63,0.63,0.62,0.62,0.64
ENSLBET00000011453_ENSLBEG00000008412,0.73,0.66,0.69,0.69,0.65,0.66,0.71,0.68,1.0,0.64,0.64,0.64,0.64,0.64,0.63,0.62,0.63,0.64,0.62,0.62,0.65
ENSPFOT00000000132_ENSPFOG00000000148,0.7,0.67,0.64,0.64,0.77,0.78,0.64,0.64,0.64,1.0,0.93,0.9,0.91,0.87,0.85,0.8,0.86,0.82,0.84,0.8,0.79
ENSPMET00000033367_ENSPMEG00000019035,0.7,0.67,0.64,0.64,0.77,0.78,0.65,0.64,0.64,0.93,1.0,0.89,0.91,0.87,0.85,0.8,0.86,0.82,0.84,0.8,0.79
ENSPLAT00000016826_ENSPLAG00000000986,0.7,0.67,0.64,0.64,0.73,0.74,0.65,0.64,0.64,0.9,0.89,1.0,0.88,0.9,0.87,0.81,0.89,0.85,0.81,0.84,0.82
ENSPRET00000025042_ENSPREG00000016745,0.69,0.66,0.63,0.63,0.77,0.79,0.65,0.65,0.64,0.91,0.91,0.88,1.0,0.86,0.84,0.79,0.85,0.81,0.83,0.8,0.78
ENSXMAT00000001593_ENSXMAG00000001603,0.69,0.66,0.63,0.63,0.73,0.74,0.63,0.63,0.64,0.87,0.87,0.9,0.86,1.0,0.9,0.82,0.9,0.84,0.8,0.83,0.81
ENSXMAT00000028505_ENSXMAG00000001603,0.68,0.66,0.62,0.62,0.71,0.72,0.63,0.63,0.63,0.85,0.85,0.87,0.84,0.9,1.0,0.81,0.87,0.81,0.78,0.8,0.78
ENSXCOT00000021608_ENSXCOG00000015977,0.67,0.7,0.6,0.6,0.67,0.67,0.61,0.62,0.62,0.8,0.8,0.81,0.79,0.82,0.81,1.0,0.8,0.75,0.73,0.73,0.72
ENSGAFT00000026303_ENSGAFG00000017569,0.69,0.66,0.62,0.62,0.72,0.73,0.63,0.63,0.63,0.86,0.86,0.89,0.85,0.9,0.87,0.8,1.0,0.84,0.8,0.83,0.81
ENSFHET00000008658_ENSFHEG00000005464,0.69,0.66,0.63,0.63,0.72,0.73,0.64,0.63,0.64,0.82,0.82,0.85,0.81,0.84,0.81,0.75,0.84,1.0,0.8,0.83,0.81
ENSCVAT00000001322_ENSCVAG00000010456,0.68,0.65,0.62,0.62,0.75,0.76,0.63,0.62,0.62,0.84,0.84,0.81,0.83,0.8,0.78,0.73,0.8,0.8,1.0,0.9,0.77
ENSCVAT00000001326_ENSCVAG00000010456,0.68,0.65,0.62,0.62,0.71,0.72,0.63,0.62,0.62,0.8,0.8,0.84,0.8,0.83,0.8,0.73,0.83,0.83,0.9,1.0,0.8
ENSKMAT00000019382_ENSKMAG00000014220,0.7,0.67,0.64,0.64,0.74,0.74,0.65,0.64,0.65,0.79,0.79,0.82,0.78,0.81,0.78,0.72,0.81,0.81,0.77,0.8,1.0
