,ENSDCDT00000052307_ENSDCDG00000026956,ENSDCDT00000052310_ENSDCDG00000026956,ENSDCDT00000052312_ENSDCDG00000026956,ENSCHAT00000044969_ENSCHAG00000019419,ENSCHAT00000044982_ENSCHAG00000019419,ENSLBET00000013555_ENSLBEG00000009889,ENSLBET00000013569_ENSLBEG00000009889,ENSLBET00000013598_ENSLBEG00000009889,ENSHCOT00000025149_ENSHCOG00000020751,ENSHCOT00000025157_ENSHCOG00000020751,ENSHCOT00000025165_ENSHCOG00000020751,ENSHCOT00000028685_ENSHCOG00000020751,ENSCSET00000019605_ENSCSEG00000012383,ENSCSET00000019611_ENSCSEG00000012383,ENSCSET00000019623_ENSCSEG00000012383,ENSCSET00000019638_ENSCSEG00000012383,ENSCSET00000019651_ENSCSEG00000012383,ENSCSET00000019667_ENSCSEG00000012383
ENSDCDT00000052307_ENSDCDG00000026956,1.0,0.95,0.95,0.73,0.72,0.69,0.68,0.68,0.68,0.68,0.7,0.68,0.7,0.69,0.67,0.7,0.72,0.7
ENSDCDT00000052310_ENSDCDG00000026956,0.95,1.0,0.92,0.72,0.73,0.71,0.69,0.69,0.69,0.7,0.68,0.7,0.69,0.7,0.69,0.72,0.7,0.71
ENSDCDT00000052312_ENSDCDG00000026956,0.95,0.92,1.0,0.75,0.73,0.68,0.69,0.69,0.69,0.68,0.72,0.7,0.71,0.7,0.66,0.69,0.7,0.71
ENSCHAT00000044969_ENSCHAG00000019419,0.73,0.72,0.75,1.0,0.97,0.69,0.72,0.71,0.7,0.67,0.72,0.71,0.72,0.71,0.65,0.68,0.69,0.72
ENSCHAT00000044982_ENSCHAG00000019419,0.72,0.73,0.73,0.97,1.0,0.7,0.74,0.74,0.73,0.69,0.7,0.74,0.71,0.73,0.66,0.69,0.68,0.75
ENSLBET00000013555_ENSLBEG00000009889,0.69,0.71,0.68,0.69,0.7,1.0,0.94,0.93,0.76,0.8,0.74,0.77,0.75,0.76,0.76,0.8,0.78,0.77
ENSLBET00000013569_ENSLBEG00000009889,0.68,0.69,0.69,0.72,0.74,0.94,1.0,0.97,0.8,0.76,0.78,0.81,0.78,0.8,0.73,0.76,0.75,0.81
ENSLBET00000013598_ENSLBEG00000009889,0.68,0.69,0.69,0.71,0.74,0.93,0.97,1.0,0.79,0.75,0.77,0.79,0.77,0.79,0.72,0.75,0.74,0.79
ENSHCOT00000025149_ENSHCOG00000020751,0.68,0.69,0.69,0.7,0.73,0.76,0.8,0.79,1.0,0.94,0.96,0.98,0.75,0.77,0.7,0.73,0.72,0.78
ENSHCOT00000025157_ENSHCOG00000020751,0.68,0.7,0.68,0.67,0.69,0.8,0.76,0.75,0.94,1.0,0.92,0.94,0.72,0.73,0.73,0.77,0.75,0.74
ENSHCOT00000025165_ENSHCOG00000020751,0.7,0.68,0.72,0.72,0.7,0.74,0.78,0.77,0.96,0.92,1.0,0.96,0.77,0.75,0.69,0.72,0.74,0.75
ENSHCOT00000028685_ENSHCOG00000020751,0.68,0.7,0.7,0.71,0.74,0.77,0.81,0.79,0.98,0.94,0.96,1.0,0.75,0.78,0.71,0.74,0.72,0.78
ENSCSET00000019605_ENSCSEG00000012383,0.7,0.69,0.71,0.72,0.71,0.75,0.78,0.77,0.75,0.72,0.77,0.75,1.0,0.96,0.9,0.92,0.95,0.96
ENSCSET00000019611_ENSCSEG00000012383,0.69,0.7,0.7,0.71,0.73,0.76,0.8,0.79,0.77,0.73,0.75,0.78,0.96,1.0,0.91,0.94,0.92,0.98
ENSCSET00000019623_ENSCSEG00000012383,0.67,0.69,0.66,0.65,0.66,0.76,0.73,0.72,0.7,0.73,0.69,0.71,0.9,0.91,1.0,0.94,0.92,0.91
ENSCSET00000019638_ENSCSEG00000012383,0.7,0.72,0.69,0.68,0.69,0.8,0.76,0.75,0.73,0.77,0.72,0.74,0.92,0.94,0.94,1.0,0.95,0.94
ENSCSET00000019651_ENSCSEG00000012383,0.72,0.7,0.7,0.69,0.68,0.78,0.75,0.74,0.72,0.75,0.74,0.72,0.95,0.92,0.92,0.95,1.0,0.92
ENSCSET00000019667_ENSCSEG00000012383,0.7,0.71,0.71,0.72,0.75,0.77,0.81,0.79,0.78,0.74,0.75,0.78,0.96,0.98,0.91,0.94,0.92,1.0
