,ENSLOCT00000000383_ENSLOCG00000000351,ENSLACT00000010723_ENSLACG00000009376,ENSOPRT00000011544_ENSOPRG00000011550,ENSLAFT00000022128_ENSLAFG00000022802,ENSPCAT00000008462_ENSPCAG00000008488,ENSETET00000010306_ENSETEG00000010307,ENSMLUT00000005109_ENSMLUG00000005112,ENSPVAT00000008556_ENSPVAG00000008557,ENSECAT00000010996_ENSECAG00000010532,ENSECAT00000066421_ENSECAG00000010532
ENSLOCT00000000383_ENSLOCG00000000351,1.0,0.66,0.63,0.67,0.64,0.67,0.67,0.65,0.67,0.67
ENSLACT00000010723_ENSLACG00000009376,0.66,1.0,0.64,0.75,0.7,0.67,0.75,0.65,0.75,0.74
ENSOPRT00000011544_ENSOPRG00000011550,0.63,0.64,1.0,0.76,0.61,0.75,0.76,0.79,0.76,0.79
ENSLAFT00000022128_ENSLAFG00000022802,0.67,0.75,0.76,1.0,0.78,0.78,0.87,0.81,0.87,0.86
ENSPCAT00000008462_ENSPCAG00000008488,0.64,0.7,0.61,0.78,1.0,0.69,0.77,0.71,0.77,0.74
ENSETET00000010306_ENSETEG00000010307,0.67,0.67,0.75,0.78,0.69,1.0,0.79,0.75,0.78,0.78
ENSMLUT00000005109_ENSMLUG00000005112,0.67,0.75,0.76,0.87,0.77,0.79,1.0,0.83,0.91,0.9
ENSPVAT00000008556_ENSPVAG00000008557,0.65,0.65,0.79,0.81,0.71,0.75,0.83,1.0,0.84,0.85
ENSECAT00000010996_ENSECAG00000010532,0.67,0.75,0.76,0.87,0.77,0.78,0.91,0.84,1.0,0.94
ENSECAT00000066421_ENSECAG00000010532,0.67,0.74,0.79,0.86,0.74,0.78,0.9,0.85,0.94,1.0
