,ENSEBUT00000006466_ENSEBUG00000004025,ENSEBUT00000006494_ENSEBUG00000004025,ENSEBUT00000006526_ENSEBUG00000004025,ENSEBUT00000006554_ENSEBUG00000004025,ENSTTRT00000009051_ENSTTRG00000009010,ENSSSCT00000029915_ENSSSCG00000028748,ENSSSCT00000083027_ENSSSCG00000028748,ENSVPAT00000010230_ENSVPAG00000010230,ENSOART00000007119_ENSOARG00000006547,ENSCHIT00000024688_ENSCHIG00000016961,ENSCHIT00000024705_ENSCHIG00000016961
ENSEBUT00000006466_ENSEBUG00000004025,1.0,0.97,0.96,0.96,0.47,0.45,0.47,0.45,0.49,0.49,0.47
ENSEBUT00000006494_ENSEBUG00000004025,0.97,1.0,0.94,0.95,0.47,0.45,0.47,0.45,0.49,0.49,0.47
ENSEBUT00000006526_ENSEBUG00000004025,0.96,0.94,1.0,0.94,0.44,0.42,0.44,0.45,0.46,0.46,0.45
ENSEBUT00000006554_ENSEBUG00000004025,0.96,0.95,0.94,1.0,0.47,0.46,0.48,0.46,0.5,0.5,0.48
ENSTTRT00000009051_ENSTTRG00000009010,0.47,0.47,0.44,0.47,1.0,0.87,0.88,0.87,0.88,0.88,0.87
ENSSSCT00000029915_ENSSSCG00000028748,0.45,0.45,0.42,0.46,0.87,1.0,0.96,0.85,0.88,0.88,0.86
ENSSSCT00000083027_ENSSSCG00000028748,0.47,0.47,0.44,0.48,0.88,0.96,1.0,0.86,0.89,0.88,0.87
ENSVPAT00000010230_ENSVPAG00000010230,0.45,0.45,0.45,0.46,0.87,0.85,0.86,1.0,0.85,0.86,0.84
ENSOART00000007119_ENSOARG00000006547,0.49,0.49,0.46,0.5,0.88,0.88,0.89,0.85,1.0,0.97,0.94
ENSCHIT00000024688_ENSCHIG00000016961,0.49,0.49,0.46,0.5,0.88,0.88,0.88,0.86,0.97,1.0,0.96
ENSCHIT00000024705_ENSCHIG00000016961,0.47,0.47,0.45,0.48,0.87,0.86,0.87,0.84,0.94,0.96,1.0
