,ENSHHUT00000028037_ENSHHUG00000017084,ENSHHUT00000016020_ENSHHUG00000009637,ENSELUT00000002354_ENSELUG00000010819,ENSELUT00000002367_ENSELUG00000010819,ENSCHAT00000061396_ENSCHAG00000025749,ENSCHAT00000061410_ENSCHAG00000025749,ENSSDUT00000007360_ENSSDUG00000005314,ENSSDUT00000007396_ENSSDUG00000005314,ENSCSET00000013899_ENSCSEG00000008799,ENSTRUT00000042298_ENSTRUG00000016493,ENSMMOT00000002840_ENSMMOG00000002251,ENSMMOT00000002841_ENSMMOG00000002251,ENSCGOT00000054804_ENSCGOG00000022737,ENSCGOT00000054807_ENSCGOG00000022737,ENSMAMT00000015545_ENSMAMG00000010258,ENSMALT00000022013_ENSMALG00000015100,ENSLCAT00010038096_ENSLCAG00010017423,ENSLCAT00010038098_ENSLCAG00010017423,ENSLCAT00010038100_ENSLCAG00010017423,ENSSMAT00000000714_ENSSMAG00000000437,ENSSDUT00000007473_ENSSDUG00000005376
ENSHHUT00000028037_ENSHHUG00000017084,1.0,0.83,0.72,0.69,0.65,0.65,1e-18,1e-18,0.59,0.62,0.63,0.63,0.63,0.63,0.61,0.61,0.6,0.6,0.6,0.62,0.6
ENSHHUT00000016020_ENSHHUG00000009637,0.83,1.0,0.72,0.69,0.6,0.61,0.51,0.51,0.56,0.58,0.62,0.62,0.63,0.63,0.61,0.54,0.61,0.61,0.61,0.53,0.6
ENSELUT00000002354_ENSELUG00000010819,0.72,0.72,1.0,0.83,0.59,0.6,0.52,0.52,0.55,0.55,0.5,0.55,0.52,0.52,0.53,0.5,0.51,0.51,0.56,0.5,0.52
ENSELUT00000002367_ENSELUG00000010819,0.69,0.69,0.83,1.0,0.56,0.56,1e-18,1e-18,0.55,0.53,0.56,0.63,0.59,0.62,0.61,0.56,0.57,0.56,0.68,0.58,0.57
ENSCHAT00000061396_ENSCHAG00000025749,0.65,0.6,0.59,0.56,1.0,0.94,0.51,0.5,0.54,0.52,0.47,0.52,0.47,0.47,0.5,0.44,0.47,0.47,0.53,0.48,0.48
ENSCHAT00000061410_ENSCHAG00000025749,0.65,0.61,0.6,0.56,0.94,1.0,0.51,0.5,0.53,0.52,0.47,0.52,0.48,0.48,0.5,0.44,0.47,0.47,0.53,0.48,0.48
ENSSDUT00000007360_ENSSDUG00000005314,1e-18,0.51,0.52,1e-18,0.51,0.51,1.0,0.95,0.68,0.68,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSSDUT00000007396_ENSSDUG00000005314,1e-18,0.51,0.52,1e-18,0.5,0.5,0.95,1.0,0.68,0.68,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCSET00000013899_ENSCSEG00000008799,0.59,0.56,0.55,0.55,0.54,0.53,0.68,0.68,1.0,0.69,0.64,0.65,0.65,0.65,0.67,0.65,0.67,0.67,0.68,0.66,0.67
ENSTRUT00000042298_ENSTRUG00000016493,0.62,0.58,0.55,0.53,0.52,0.52,0.68,0.68,0.69,1.0,0.68,0.69,0.66,0.66,0.66,0.65,0.66,0.66,0.69,0.67,0.66
ENSMMOT00000002840_ENSMMOG00000002251,0.63,0.62,0.5,0.56,0.47,0.47,1e-18,1e-18,0.64,0.68,1.0,0.9,0.77,0.77,0.78,0.76,0.8,0.78,0.77,0.76,0.79
ENSMMOT00000002841_ENSMMOG00000002251,0.63,0.62,0.55,0.63,0.52,0.52,1e-18,1e-18,0.65,0.69,0.9,1.0,0.8,0.84,0.88,0.76,0.78,0.76,0.81,0.77,0.77
ENSCGOT00000054804_ENSCGOG00000022737,0.63,0.63,0.52,0.59,0.47,0.48,1e-18,1e-18,0.65,0.66,0.77,0.8,1.0,0.95,0.82,0.78,0.82,0.79,0.83,0.78,0.79
ENSCGOT00000054807_ENSCGOG00000022737,0.63,0.63,0.52,0.62,0.47,0.48,1e-18,1e-18,0.65,0.66,0.77,0.84,0.95,1.0,0.87,0.78,0.82,0.79,0.86,0.78,0.79
