,FBtr0344410_FBgn0051807,FBtr0080944_FBgn0051807,FBtr0091522_FBgn0053552,FBtr0080827_FBgn0028896,FBtr0073170_FBgn0035479,FBtr0333022_FBgn0036421,FBtr0113170_FBgn0036421,FBtr0075346_FBgn0036660,FBtr0333610_FBgn0036660,ENSACAT00000006631_ENSACAG00000006627,ENSNSUT00000012861_ENSNSUG00000009061,ENSSMRT00000002205_ENSSMRG00000001603,ENSSPUT00000010020_ENSSPUG00000007305
FBtr0344410_FBgn0051807,1.0,0.9,0.46,0.34,0.36,0.39,0.39,0.34,0.34,0.26,0.25,0.33,0.29
FBtr0080944_FBgn0051807,0.9,1.0,0.45,0.34,0.36,0.39,0.39,0.34,0.34,0.26,0.25,0.33,0.29
FBtr0091522_FBgn0053552,0.46,0.45,1.0,0.33,0.37,0.36,0.36,0.34,0.34,0.28,0.27,0.29,0.25
FBtr0080827_FBgn0028896,0.34,0.34,0.33,1.0,0.4,0.5,0.5,0.32,0.32,0.29,0.26,0.31,0.28
FBtr0073170_FBgn0035479,0.36,0.36,0.37,0.4,1.0,0.41,0.41,0.4,0.4,0.33,0.27,0.32,0.29
FBtr0333022_FBgn0036421,0.39,0.39,0.36,0.5,0.41,1.0,0.9,0.35,0.35,0.28,0.3,0.28,0.32
FBtr0113170_FBgn0036421,0.39,0.39,0.36,0.5,0.41,0.9,1.0,0.35,0.35,0.28,0.3,0.28,0.32
FBtr0075346_FBgn0036660,0.34,0.34,0.34,0.32,0.4,0.35,0.35,1.0,0.9,0.41,0.39,0.4,0.42
FBtr0333610_FBgn0036660,0.34,0.34,0.34,0.32,0.4,0.35,0.35,0.9,1.0,0.41,0.39,0.4,0.42
ENSACAT00000006631_ENSACAG00000006627,0.26,0.26,0.28,0.29,0.33,0.28,0.28,0.41,0.41,1.0,0.71,0.79,0.71
ENSNSUT00000012861_ENSNSUG00000009061,0.25,0.25,0.27,0.26,0.27,0.3,0.3,0.39,0.39,0.71,1.0,0.7,0.68
ENSSMRT00000002205_ENSSMRG00000001603,0.33,0.33,0.29,0.31,0.32,0.28,0.28,0.4,0.4,0.79,0.7,1.0,0.69
ENSSPUT00000010020_ENSSPUG00000007305,0.29,0.29,0.25,0.28,0.29,0.32,0.32,0.42,0.42,0.71,0.68,0.69,1.0
