,ENSDCDT00000047624_ENSDCDG00000024965,ENSIPUT00000005898_ENSIPUG00000003938,ENSDART00000020616_ENSDARG00000008010,ENSHHUT00000034428_ENSHHUG00000020928,ENSELUT00000005933_ENSELUG00000008881,ENSSMAT00000030064_ENSSMAG00000018207,ENSGWIT00000057547_ENSGWIG00000025664,ENSBSLT00000018814_ENSBSLG00000008774,ENSTRUT00000025441_ENSTRUG00000010070,ENSMMOT00000012092_ENSMMOG00000009146,ENSLCRT00005010571_ENSLCRG00005004722,ENSCGOT00000034481_ENSCGOG00000014934,ENSLCAT00010010615_ENSLCAG00010004957,ENSCSET00000010104_ENSCSEG00000006410,ENSSDUT00000010861_ENSSDUG00000007804
ENSDCDT00000047624_ENSDCDG00000024965,1.0,0.56,0.45,0.47,0.47,0.52,0.49,0.49,0.46,0.51,0.49,0.49,0.46,0.44,0.46
ENSIPUT00000005898_ENSIPUG00000003938,0.56,1.0,0.5,0.43,0.44,0.42,0.46,0.43,0.39,0.42,0.44,0.48,0.41,0.4,0.4
ENSDART00000020616_ENSDARG00000008010,0.45,0.5,1.0,0.53,0.46,0.5,0.38,0.5,0.51,0.5,0.52,0.45,0.5,0.45,0.51
ENSHHUT00000034428_ENSHHUG00000020928,0.47,0.43,0.53,1.0,0.66,0.52,0.41,0.53,0.53,0.51,0.57,0.5,0.56,0.47,0.55
ENSELUT00000005933_ENSELUG00000008881,0.47,0.44,0.46,0.66,1.0,0.43,0.41,0.43,0.43,0.43,0.48,0.5,0.46,0.41,0.47
ENSSMAT00000030064_ENSSMAG00000018207,0.52,0.42,0.5,0.52,0.43,1.0,0.5,0.67,0.61,0.63,0.64,0.61,0.67,0.54,0.67
ENSGWIT00000057547_ENSGWIG00000025664,0.49,0.46,0.38,0.41,0.41,0.5,1.0,0.51,0.49,0.48,0.52,0.54,0.52,0.42,0.52
ENSBSLT00000018814_ENSBSLG00000008774,0.49,0.43,0.5,0.53,0.43,0.67,0.51,1.0,0.61,0.62,0.63,0.59,0.67,0.52,0.66
ENSTRUT00000025441_ENSTRUG00000010070,0.46,0.39,0.51,0.53,0.43,0.61,0.49,0.61,1.0,0.62,0.62,0.55,0.65,0.52,0.63
ENSMMOT00000012092_ENSMMOG00000009146,0.51,0.42,0.5,0.51,0.43,0.63,0.48,0.62,0.62,1.0,0.64,0.61,0.65,0.48,0.65
ENSLCRT00005010571_ENSLCRG00005004722,0.49,0.44,0.52,0.57,0.48,0.64,0.52,0.63,0.62,0.64,1.0,0.66,0.71,0.54,0.74
ENSCGOT00000034481_ENSCGOG00000014934,0.49,0.48,0.45,0.5,0.5,0.61,0.54,0.59,0.55,0.61,0.66,1.0,0.69,0.51,0.72
ENSLCAT00010010615_ENSLCAG00010004957,0.46,0.41,0.5,0.56,0.46,0.67,0.52,0.67,0.65,0.65,0.71,0.69,1.0,0.53,0.75
ENSCSET00000010104_ENSCSEG00000006410,0.44,0.4,0.45,0.47,0.41,0.54,0.42,0.52,0.52,0.48,0.54,0.51,0.53,1.0,0.53
ENSSDUT00000010861_ENSSDUG00000007804,0.46,0.4,0.51,0.55,0.47,0.67,0.52,0.66,0.63,0.65,0.74,0.72,0.75,0.53,1.0
