,ENSPSMT00000026040_ENSPSMG00000015830,ENSPSMT00000026042_ENSPSMG00000015830,ENSPSMT00000026045_ENSPSMG00000015830,ENSPSMT00000026051_ENSPSMG00000015830,ENSMICT00000052870_ENSMICG00000013086,ENSMICT00000013077_ENSMICG00000013086,ENSMICT00000042176_ENSMICG00000013086,ENSPCOT00000042272_ENSPCOG00000028419,ENSPCOT00000042273_ENSPCOG00000028419,ENSPCOT00000042274_ENSPCOG00000028419,ENSOGAT00000004860_ENSOGAG00000004858,ENSCCNT00000032873_ENSCCNG00000025191,ENSDORT00000009476_ENSDORG00000009476,ENSMOCT00000018476_ENSMOCG00000014137
ENSPSMT00000026040_ENSPSMG00000015830,1.0,0.96,0.93,0.86,0.94,0.94,0.84,0.97,0.94,0.83,0.94,0.93,0.9,0.91
ENSPSMT00000026042_ENSPSMG00000015830,0.96,1.0,0.91,0.86,0.91,0.96,0.84,0.94,0.96,0.83,0.9,0.89,0.86,0.87
ENSPSMT00000026045_ENSPSMG00000015830,0.93,0.91,1.0,0.83,0.89,0.89,0.81,0.91,0.89,0.79,0.87,0.87,0.84,0.85
ENSPSMT00000026051_ENSPSMG00000015830,0.86,0.86,0.83,1.0,0.82,0.84,0.98,0.83,0.83,0.96,0.8,0.78,0.76,0.76
ENSMICT00000052870_ENSMICG00000013086,0.94,0.91,0.89,0.82,1.0,0.93,0.84,0.94,0.91,0.81,0.9,0.9,0.88,0.87
ENSMICT00000013077_ENSMICG00000013086,0.94,0.96,0.89,0.84,0.93,1.0,0.86,0.93,0.96,0.82,0.89,0.89,0.87,0.86
ENSMICT00000042176_ENSMICG00000013086,0.84,0.84,0.81,0.98,0.84,0.86,1.0,0.83,0.82,0.96,0.79,0.78,0.77,0.75
ENSPCOT00000042272_ENSPCOG00000028419,0.97,0.94,0.91,0.83,0.94,0.93,0.83,1.0,0.96,0.86,0.93,0.93,0.91,0.9
ENSPCOT00000042273_ENSPCOG00000028419,0.94,0.96,0.89,0.83,0.91,0.96,0.82,0.96,1.0,0.86,0.89,0.89,0.87,0.86
ENSPCOT00000042274_ENSPCOG00000028419,0.83,0.83,0.79,0.96,0.81,0.82,0.96,0.86,0.86,1.0,0.78,0.77,0.77,0.75
ENSOGAT00000004860_ENSOGAG00000004858,0.94,0.9,0.87,0.8,0.9,0.89,0.79,0.93,0.89,0.78,1.0,0.9,0.89,0.88
ENSCCNT00000032873_ENSCCNG00000025191,0.93,0.89,0.87,0.78,0.9,0.89,0.78,0.93,0.89,0.77,0.9,1.0,0.92,0.91
ENSDORT00000009476_ENSDORG00000009476,0.9,0.86,0.84,0.76,0.88,0.87,0.77,0.91,0.87,0.77,0.89,0.92,1.0,0.89
ENSMOCT00000018476_ENSMOCG00000014137,0.91,0.87,0.85,0.76,0.87,0.86,0.75,0.9,0.86,0.75,0.88,0.91,0.89,1.0
