,ENSEBUT00000026333_ENSEBUG00000015871,ENSEBUT00000026346_ENSEBUG00000015871,ENSEBUT00000018189_ENSEBUG00000011013,ENSEBUT00000011231_ENSEBUG00000006853,ENSACAT00000005416_ENSACAG00000005431,ENSACAT00000030319_ENSACAG00000005431,ENSPVIT00000012520_ENSPVIG00000007796,ENSSMRT00000010675_ENSSMRG00000007285,ENSSMRT00000010680_ENSSMRG00000007285,ENSSMRT00000010692_ENSSMRG00000007285
ENSEBUT00000026333_ENSEBUG00000015871,1.0,0.99,1e-18,0.42,0.39,0.4,0.4,0.39,0.41,0.38
ENSEBUT00000026346_ENSEBUG00000015871,0.99,1.0,1e-18,0.42,0.39,0.4,0.4,0.39,0.41,0.38
ENSEBUT00000018189_ENSEBUG00000011013,1e-18,1e-18,1.0,0.38,0.49,0.5,1e-18,0.5,1e-18,0.5
ENSEBUT00000011231_ENSEBUG00000006853,0.42,0.42,0.38,1.0,0.43,0.43,0.43,0.43,0.43,0.43
ENSACAT00000005416_ENSACAG00000005431,0.39,0.39,0.49,0.43,1.0,0.96,0.83,0.87,0.82,0.84
ENSACAT00000030319_ENSACAG00000005431,0.4,0.4,0.5,0.43,0.96,1.0,0.8,0.84,0.79,0.81
ENSPVIT00000012520_ENSPVIG00000007796,0.4,0.4,1e-18,0.43,0.83,0.8,1.0,0.82,0.86,0.79
ENSSMRT00000010675_ENSSMRG00000007285,0.39,0.39,0.5,0.43,0.87,0.84,0.82,1.0,0.94,0.94
ENSSMRT00000010680_ENSSMRG00000007285,0.41,0.41,1e-18,0.43,0.82,0.79,0.86,0.94,1.0,0.89
ENSSMRT00000010692_ENSSMRG00000007285,0.38,0.38,0.5,0.43,0.84,0.81,0.79,0.94,0.89,1.0
