,ENSGALT00000083254_ENSGALG00000043872,ENSLSDT00000005201_ENSLSDG00000003374,ENSLSDT00000005220_ENSLSDG00000003374,ENSLSDT00000006126_ENSLSDG00000004012,ENSZALT00000008619_ENSZALG00000005418,ENSZALT00000008620_ENSZALG00000005418,ENSOANT00000039817_ENSOANG00000031103,ENSOANT00000041363_ENSOANG00000030132,ENSOANT00000039897_ENSOANG00000028650,ENSOANT00000041813_ENSOANG00000031156,ENSCINT00000009950_ENSCING00000004798,ENSCSAVT00000003407_ENSCSAVG00000001997
ENSGALT00000083254_ENSGALG00000043872,1.0,0.55,0.62,0.5,0.55,0.55,1e-18,0.36,0.32,1e-18,0.35,0.26
ENSLSDT00000005201_ENSLSDG00000003374,0.55,1.0,0.71,0.57,0.71,0.67,0.37,0.38,0.37,0.24,0.36,0.3
ENSLSDT00000005220_ENSLSDG00000003374,0.62,0.71,1.0,0.56,0.66,0.7,0.39,0.34,0.39,1e-18,0.42,0.36
ENSLSDT00000006126_ENSLSDG00000004012,0.5,0.57,0.56,1.0,0.51,0.51,1e-18,0.36,0.34,1e-18,0.3,0.25
ENSZALT00000008619_ENSZALG00000005418,0.55,0.71,0.66,0.51,1.0,0.86,0.34,0.35,0.41,0.25,0.39,0.35
ENSZALT00000008620_ENSZALG00000005418,0.55,0.67,0.7,0.51,0.86,1.0,0.34,0.31,0.41,0.25,0.41,0.34
ENSOANT00000039817_ENSOANG00000031103,1e-18,0.37,0.39,1e-18,0.34,0.34,1.0,1e-18,1e-18,1e-18,0.29,0.25
ENSOANT00000041363_ENSOANG00000030132,0.36,0.38,0.34,0.36,0.35,0.31,1e-18,1.0,1e-18,1e-18,0.26,0.24
ENSOANT00000039897_ENSOANG00000028650,0.32,0.37,0.39,0.34,0.41,0.41,1e-18,1e-18,1.0,1e-18,0.33,0.32
ENSOANT00000041813_ENSOANG00000031156,1e-18,0.24,1e-18,1e-18,0.25,0.25,1e-18,1e-18,1e-18,1.0,0.19,0.24
ENSCINT00000009950_ENSCING00000004798,0.35,0.36,0.42,0.3,0.39,0.41,0.29,0.26,0.33,0.19,1.0,0.58
ENSCSAVT00000003407_ENSCSAVG00000001997,0.26,0.3,0.36,0.25,0.35,0.34,0.25,0.24,0.32,0.24,0.58,1.0
