,ENSFHET00000031649_ENSFHEG00000012983,ENSCVAT00000027455_ENSCVAG00000021754,ENSXMAT00000041621_ENSXMAG00000006968,ENSXMAT00000027913_ENSXMAG00000006968,ENSXMAT00000006992_ENSXMAG00000006968,ENSXCOT00000019737_ENSXCOG00000014644,ENSGAFT00000025132_ENSGAFG00000016789,ENSPLAT00000003658_ENSPLAG00000010437,ENSPFOT00000004868_ENSPFOG00000004859,ENSPFOT00000029451_ENSPFOG00000004859,ENSKMAT00000027748_ENSKMAG00000020318,ENSOMET00000006783_ENSOMEG00000006884,ENSORLT00000043037_ENSORLG00000029137,ENSORLT00000031005_ENSORLG00000029137,ENSAOCT00000021953_ENSAOCG00000018378,ENSSPAT00000006761_ENSSPAG00000005114,ENSMZET00005004079_ENSMZEG00005003037,ENSACLT00000038817_ENSACLG00000025652,ENSACLT00000038840_ENSACLG00000025652,ENSACLT00000038863_ENSACLG00000025652,ENSPNYT00000002758_ENSPNYG00000002118,ENSPNYT00000002771_ENSPNYG00000002118,ENSHBUT00000022950_ENSHBUG00000016743,ENSHBUT00000022966_ENSHBUG00000016743,ENSHBUT00000022987_ENSHBUG00000016743,ENSNBRT00000004284_ENSNBRG00000003302,ENSONIT00000020530_ENSONIG00000016294
ENSFHET00000031649_ENSFHEG00000012983,1.0,0.74,0.79,0.76,0.76,0.54,0.82,0.83,0.83,0.59,0.74,0.66,0.46,0.36,0.76,0.77,0.77,0.74,0.77,0.72,0.77,0.75,0.75,0.77,0.7,0.77,0.52
ENSCVAT00000027455_ENSCVAG00000021754,0.74,1.0,0.69,0.65,0.65,0.54,0.7,0.71,0.71,0.52,0.65,0.57,0.42,0.29,0.66,0.66,0.67,0.64,0.67,0.63,0.67,0.65,0.65,0.67,0.61,0.67,0.42
ENSXMAT00000041621_ENSXMAG00000006968,0.79,0.69,1.0,0.89,0.89,0.62,0.87,0.85,0.85,0.65,0.71,0.63,0.46,0.36,0.72,0.72,0.72,0.7,0.72,0.68,0.72,0.7,0.7,0.72,0.66,0.72,0.49
ENSXMAT00000027913_ENSXMAG00000006968,0.76,0.65,0.89,1.0,0.89,0.62,0.83,0.81,0.81,0.63,0.67,0.6,0.46,0.36,0.68,0.69,0.68,0.66,0.68,0.68,0.68,0.7,0.7,0.68,0.66,0.68,0.49
ENSXMAT00000006992_ENSXMAG00000006968,0.76,0.65,0.89,0.89,1.0,0.62,0.83,0.81,0.81,0.63,0.67,0.6,0.46,0.36,0.68,0.69,0.68,0.66,0.68,0.68,0.68,0.7,0.7,0.68,0.66,0.68,0.49
ENSXCOT00000019737_ENSXCOG00000014644,0.54,0.54,0.62,0.62,0.62,1.0,0.61,0.6,0.6,0.54,0.49,0.41,0.44,0.3,0.48,0.49,0.47,0.46,0.47,0.47,0.47,0.48,0.48,0.47,0.46,0.47,0.44
ENSGAFT00000025132_ENSGAFG00000016789,0.82,0.7,0.87,0.83,0.83,0.61,1.0,0.87,0.87,0.66,0.73,0.67,0.47,0.37,0.74,0.74,0.74,0.72,0.74,0.7,0.74,0.73,0.73,0.74,0.68,0.74,0.49
ENSPLAT00000003658_ENSPLAG00000010437,0.83,0.71,0.85,0.81,0.81,0.6,0.87,1.0,0.93,0.69,0.74,0.65,0.47,0.36,0.75,0.75,0.76,0.73,0.76,0.71,0.76,0.74,0.74,0.76,0.69,0.76,0.5
ENSPFOT00000004868_ENSPFOG00000004859,0.83,0.71,0.85,0.81,0.81,0.6,0.87,0.93,1.0,0.69,0.74,0.65,0.47,0.36,0.75,0.75,0.76,0.73,0.76,0.71,0.76,0.74,0.74,0.76,0.69,0.76,0.5
ENSPFOT00000029451_ENSPFOG00000004859,0.59,0.52,0.65,0.63,0.63,0.54,0.66,0.69,0.69,1.0,0.52,0.46,0.4,0.34,0.52,0.53,0.52,0.51,0.52,0.5,0.52,0.51,0.51,0.52,0.5,0.52,0.43
ENSKMAT00000027748_ENSKMAG00000020318,0.74,0.65,0.71,0.67,0.67,0.49,0.73,0.74,0.74,0.52,1.0,0.65,0.47,0.37,0.76,0.77,0.74,0.71,0.74,0.7,0.74,0.72,0.72,0.74,0.68,0.74,0.52
ENSOMET00000006783_ENSOMEG00000006884,0.66,0.57,0.63,0.6,0.6,0.41,0.67,0.65,0.65,0.46,0.65,1.0,0.55,0.5,0.65,0.66,0.66,0.63,0.66,0.62,0.66,0.64,0.64,0.66,0.6,0.66,0.48
ENSORLT00000043037_ENSORLG00000029137,0.46,0.42,0.46,0.46,0.46,0.44,0.47,0.47,0.47,0.4,0.47,0.55,1.0,0.58,0.47,0.48,0.46,0.45,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.5
ENSORLT00000031005_ENSORLG00000029137,0.36,0.29,0.36,0.36,0.36,0.3,0.37,0.36,0.36,0.34,0.37,0.5,0.58,1.0,0.38,0.39,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.41
ENSAOCT00000021953_ENSAOCG00000018378,0.76,0.66,0.72,0.68,0.68,0.48,0.74,0.75,0.75,0.52,0.76,0.65,0.47,0.38,1.0,0.87,0.82,0.79,0.82,0.76,0.82,0.79,0.79,0.82,0.74,0.82,0.56
ENSSPAT00000006761_ENSSPAG00000005114,0.77,0.66,0.72,0.69,0.69,0.49,0.74,0.75,0.75,0.53,0.77,0.66,0.48,0.39,0.87,1.0,0.82,0.79,0.82,0.75,0.82,0.78,0.78,0.81,0.73,0.81,0.55
ENSMZET00005004079_ENSMZEG00005003037,0.77,0.67,0.72,0.68,0.68,0.47,0.74,0.76,0.76,0.52,0.74,0.66,0.46,0.38,0.82,0.82,1.0,0.91,0.94,0.88,0.94,0.91,0.91,0.94,0.86,0.94,0.65
ENSACLT00000038817_ENSACLG00000025652,0.74,0.64,0.7,0.66,0.66,0.46,0.72,0.73,0.73,0.51,0.71,0.63,0.45,0.37,0.79,0.79,0.91,1.0,0.92,0.86,0.91,0.88,0.88,0.91,0.84,0.91,0.64
ENSACLT00000038840_ENSACLG00000025652,0.77,0.67,0.72,0.68,0.68,0.47,0.74,0.76,0.76,0.52,0.74,0.66,0.46,0.38,0.82,0.82,0.94,0.92,1.0,0.89,0.94,0.91,0.91,0.94,0.86,0.94,0.65
ENSACLT00000038863_ENSACLG00000025652,0.72,0.63,0.68,0.68,0.68,0.47,0.7,0.71,0.71,0.5,0.7,0.62,0.46,0.38,0.76,0.75,0.88,0.86,0.89,1.0,0.88,0.91,0.91,0.88,0.86,0.88,0.65
ENSPNYT00000002758_ENSPNYG00000002118,0.77,0.67,0.72,0.68,0.68,0.47,0.74,0.76,0.76,0.52,0.74,0.66,0.46,0.38,0.82,0.82,0.94,0.91,0.94,0.88,1.0,0.91,0.91,0.94,0.86,0.94,0.65
