,ENSSMRT00000025186_ENSSMRG00000016727,ENSSMRT00000025191_ENSSMRG00000016727,ENSPVIT00000031029_ENSPVIG00000018891,ENSPVIT00000031030_ENSPVIG00000018891,ENSSPUT00000023151_ENSSPUG00000016652,ENSAOWT00000022880_ENSAOWG00000013664,ENSARWT00000027949_ENSARWG00000016801,ENSARWT00000027950_ENSARWG00000016801,ENSAHAT00000017182_ENSAHAG00000011107,ENSDNVT00000010654_ENSDNVG00000006288,ENSDNVT00000010661_ENSDNVG00000006288,ENSCPUT00000018699_ENSCPUG00000010948,ENSCPUT00000018700_ENSCPUG00000010948,ENSCPGT00000026941_ENSCPGG00000016995,ENSMUNT00000006967_ENSMUNG00000004889,ENSMUNT00000006968_ENSMUNG00000004889
ENSSMRT00000025186_ENSSMRG00000016727,1.0,0.98,0.81,0.76,0.76,0.75,0.73,0.75,0.75,0.74,0.72,0.72,0.7,0.73,0.72,0.69
ENSSMRT00000025191_ENSSMRG00000016727,0.98,1.0,0.83,0.78,0.78,0.78,0.75,0.77,0.78,0.77,0.74,0.75,0.72,0.75,0.75,0.71
ENSPVIT00000031029_ENSPVIG00000018891,0.81,0.83,1.0,0.94,0.8,0.79,0.76,0.79,0.78,0.78,0.75,0.76,0.74,0.75,0.75,0.72
ENSPVIT00000031030_ENSPVIG00000018891,0.76,0.78,0.94,1.0,0.75,0.74,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.7,0.7,0.7
ENSSPUT00000023151_ENSSPUG00000016652,0.76,0.78,0.8,0.75,1.0,0.83,0.81,0.83,0.83,0.83,0.81,0.81,0.77,0.81,0.81,0.77
ENSAOWT00000022880_ENSAOWG00000013664,0.75,0.78,0.79,0.74,0.83,1.0,0.96,1.0,1.0,0.97,0.95,0.9,0.87,0.9,0.91,0.86
ENSARWT00000027949_ENSARWG00000016801,0.73,0.75,0.76,0.74,0.81,0.96,1.0,0.97,0.96,0.94,0.93,0.87,0.84,0.87,0.88,0.86
ENSARWT00000027950_ENSARWG00000016801,0.75,0.77,0.79,0.74,0.83,1.0,0.97,1.0,0.99,0.97,0.95,0.9,0.87,0.9,0.91,0.86
ENSAHAT00000017182_ENSAHAG00000011107,0.75,0.78,0.78,0.73,0.83,1.0,0.96,0.99,1.0,0.97,0.95,0.9,0.87,0.9,0.91,0.86
ENSDNVT00000010654_ENSDNVG00000006288,0.74,0.77,0.78,0.72,0.83,0.97,0.94,0.97,0.97,1.0,0.98,0.9,0.87,0.91,0.91,0.86
ENSDNVT00000010661_ENSDNVG00000006288,0.72,0.74,0.75,0.71,0.81,0.95,0.93,0.95,0.95,0.98,1.0,0.88,0.85,0.88,0.89,0.85
ENSCPUT00000018699_ENSCPUG00000010948,0.72,0.75,0.76,0.7,0.81,0.9,0.87,0.9,0.9,0.9,0.88,1.0,0.96,0.99,0.93,0.88
ENSCPUT00000018700_ENSCPUG00000010948,0.7,0.72,0.74,0.69,0.77,0.87,0.84,0.87,0.87,0.87,0.85,0.96,1.0,0.94,0.89,0.85
ENSCPGT00000026941_ENSCPGG00000016995,0.73,0.75,0.75,0.7,0.81,0.9,0.87,0.9,0.9,0.91,0.88,0.99,0.94,1.0,0.93,0.88
ENSMUNT00000006967_ENSMUNG00000004889,0.72,0.75,0.75,0.7,0.81,0.91,0.88,0.91,0.91,0.91,0.89,0.93,0.89,0.93,1.0,0.95
ENSMUNT00000006968_ENSMUNG00000004889,0.69,0.71,0.72,0.7,0.77,0.86,0.86,0.86,0.86,0.86,0.85,0.88,0.85,0.88,0.95,1.0
