,ENSPVIT00000011207_ENSPVIG00000007039,ENSACAT00000009439_ENSACAG00000009436,ENSNSUT00000017925_ENSNSUG00000012403,ENSNSUT00000017926_ENSNSUG00000012403,ENSSMRT00000032025_ENSSMRG00000021135,ENSSPUT00000012695_ENSSPUG00000009133,ENSAOWT00000000745_ENSAOWG00000000509,ENSAOWT00000000751_ENSAOWG00000000509,ENSAHAT00000013437_ENSAHAG00000008785,ENSAHAT00000013438_ENSAHAG00000008785,ENSARWT00000029980_ENSARWG00000017936,ENSARWT00000029982_ENSARWG00000017936,ENSNPET00000021232_ENSNPEG00000015393,ENSCPGT00000010647_ENSCPGG00000006899,ENSCPUT00000011773_ENSCPUG00000006991,ENSMUNT00000006567_ENSMUNG00000004633,ENSLCOT00000012190_ENSLCOG00000008350,ENSMVIT00005023260_ENSMVIG00005014563
ENSPVIT00000011207_ENSPVIG00000007039,1.0,0.83,0.76,0.76,0.81,0.73,0.75,0.75,0.72,0.72,0.72,0.74,0.73,0.75,0.75,0.75,0.75,0.71
ENSACAT00000009439_ENSACAG00000009436,0.83,1.0,0.75,0.76,0.8,0.71,0.72,0.72,0.71,0.71,0.7,0.72,0.72,0.72,0.71,0.73,0.72,0.69
ENSNSUT00000017925_ENSNSUG00000012403,0.76,0.75,1.0,0.92,0.76,0.69,0.7,0.7,0.7,0.7,0.68,0.69,0.68,0.69,0.68,0.69,0.7,0.68
ENSNSUT00000017926_ENSNSUG00000012403,0.76,0.76,0.92,1.0,0.76,0.69,0.7,0.7,0.69,0.69,0.68,0.7,0.68,0.69,0.68,0.69,0.7,0.68
ENSSMRT00000032025_ENSSMRG00000021135,0.81,0.8,0.76,0.76,1.0,0.73,0.73,0.73,0.73,0.73,0.7,0.73,0.72,0.74,0.73,0.74,0.74,0.71
ENSSPUT00000012695_ENSSPUG00000009133,0.73,0.71,0.69,0.69,0.73,1.0,0.73,0.73,0.74,0.74,0.72,0.73,0.74,0.74,0.74,0.75,0.74,0.72
ENSAOWT00000000745_ENSAOWG00000000509,0.75,0.72,0.7,0.7,0.73,0.73,1.0,0.94,0.96,0.92,0.9,0.95,0.85,0.86,0.85,0.85,0.84,0.83
ENSAOWT00000000751_ENSAOWG00000000509,0.75,0.72,0.7,0.7,0.73,0.73,0.94,1.0,0.92,0.96,0.9,0.94,0.85,0.86,0.85,0.85,0.84,0.83
ENSAHAT00000013437_ENSAHAG00000008785,0.72,0.71,0.7,0.69,0.73,0.74,0.96,0.92,1.0,0.94,0.88,0.93,0.82,0.85,0.84,0.85,0.85,0.84
ENSAHAT00000013438_ENSAHAG00000008785,0.72,0.71,0.7,0.69,0.73,0.74,0.92,0.96,0.94,1.0,0.88,0.91,0.82,0.85,0.84,0.85,0.85,0.84
ENSARWT00000029980_ENSARWG00000017936,0.72,0.7,0.68,0.68,0.7,0.72,0.9,0.9,0.88,0.88,1.0,0.91,0.84,0.84,0.84,0.83,0.82,0.81
ENSARWT00000029982_ENSARWG00000017936,0.74,0.72,0.69,0.7,0.73,0.73,0.95,0.94,0.93,0.91,0.91,1.0,0.85,0.86,0.86,0.85,0.84,0.83
ENSNPET00000021232_ENSNPEG00000015393,0.73,0.72,0.68,0.68,0.72,0.74,0.85,0.85,0.82,0.82,0.84,0.85,1.0,0.86,0.85,0.84,0.85,0.82
ENSCPGT00000010647_ENSCPGG00000006899,0.75,0.72,0.69,0.69,0.74,0.74,0.86,0.86,0.85,0.85,0.84,0.86,0.86,1.0,0.97,0.9,0.89,0.88
ENSCPUT00000011773_ENSCPUG00000006991,0.75,0.71,0.68,0.68,0.73,0.74,0.85,0.85,0.84,0.84,0.84,0.86,0.85,0.97,1.0,0.89,0.89,0.87
ENSMUNT00000006567_ENSMUNG00000004633,0.75,0.73,0.69,0.69,0.74,0.75,0.85,0.85,0.85,0.85,0.83,0.85,0.84,0.9,0.89,1.0,0.89,0.87
ENSLCOT00000012190_ENSLCOG00000008350,0.75,0.72,0.7,0.7,0.74,0.74,0.84,0.84,0.85,0.85,0.82,0.84,0.85,0.89,0.89,0.89,1.0,0.95
ENSMVIT00005023260_ENSMVIG00005014563,0.71,0.69,0.68,0.68,0.71,0.72,0.83,0.83,0.84,0.84,0.81,0.83,0.82,0.88,0.87,0.87,0.95,1.0
