,ENSVURT00010025352_ENSVURG00010017061,ENSVURT00010025361_ENSVURG00010017061,ENSPCIT00000018091_ENSPCIG00000011429,ENSPCIT00000057625_ENSPCIG00000011429,ENSPCIT00000018094_ENSPCIG00000011429,ENSMEUT00000012562_ENSMEUG00000012535,ENSMODT00000073043_ENSMODG00000049233,ENSMODT00000055514_ENSMODG00000049233,ENSCCNT00000007519_ENSCCNG00000006058,ENSDORT00000004545_ENSDORG00000004545
ENSVURT00010025352_ENSVURG00010017061,1.0,0.95,0.89,0.95,0.88,0.8,0.91,0.88,0.77,0.77
ENSVURT00010025361_ENSVURG00010017061,0.95,1.0,0.87,0.92,0.85,0.78,0.88,0.91,0.74,0.74
ENSPCIT00000018091_ENSPCIG00000011429,0.89,0.87,1.0,0.92,0.89,0.8,0.85,0.83,0.71,0.72
ENSPCIT00000057625_ENSPCIG00000011429,0.95,0.92,0.92,1.0,0.91,0.8,0.91,0.87,0.76,0.77
ENSPCIT00000018094_ENSPCIG00000011429,0.88,0.85,0.89,0.91,1.0,0.76,0.84,0.81,0.72,0.72
ENSMEUT00000012562_ENSMEUG00000012535,0.8,0.78,0.8,0.8,0.76,1.0,0.77,0.74,0.61,0.62
ENSMODT00000073043_ENSMODG00000049233,0.91,0.88,0.85,0.91,0.84,0.77,1.0,0.95,0.75,0.76
ENSMODT00000055514_ENSMODG00000049233,0.88,0.91,0.83,0.87,0.81,0.74,0.95,1.0,0.72,0.73
ENSCCNT00000007519_ENSCCNG00000006058,0.77,0.74,0.71,0.76,0.72,0.61,0.75,0.72,1.0,0.86
ENSDORT00000004545_ENSDORG00000004545,0.77,0.74,0.72,0.77,0.72,0.62,0.76,0.73,0.86,1.0
