,ENSEBUT00000026712_ENSEBUG00000016098,ENSEBUT00000026734_ENSEBUG00000016098,ENSEBUT00000012213_ENSEBUG00000007461,ENSACAT00000014297_ENSACAG00000014219,ENSPVIT00000005250_ENSPVIG00000003348,ENSPVIT00000005260_ENSPVIG00000003348,ENSPVIT00000005272_ENSPVIG00000003348,ENSPVIT00000005278_ENSPVIG00000003348,ENSPVIT00000005297_ENSPVIG00000003348,ENSNSUT00000025514_ENSNSUG00000017363,ENSNSUT00000025515_ENSNSUG00000017363,ENSNSUT00000025516_ENSNSUG00000017363,ENSSMRT00000009756_ENSSMRG00000006694,ENSSMRT00000009760_ENSSMRG00000006694,ENSSMRT00000009774_ENSSMRG00000006694,ENSSMRT00000009779_ENSSMRG00000006694,ENSSMRT00000009781_ENSSMRG00000006694,ENSSMRT00000009784_ENSSMRG00000006694,ENSSMRT00000009785_ENSSMRG00000006694,ENSSMRT00000009788_ENSSMRG00000006694,ENSSPUT00000018643_ENSSPUG00000013519,ENSAOWT00000008512_ENSAOWG00000005162,ENSAHAT00000022584_ENSAHAG00000014071,ENSAHAT00000022597_ENSAHAG00000014071,ENSAHAT00000022610_ENSAHAG00000014071,ENSAHAT00000022633_ENSAHAG00000014071,ENSARWT00000008642_ENSARWG00000005280,ENSARWT00000008643_ENSARWG00000005280,ENSDNVT00000023319_ENSDNVG00000013558,ENSDNVT00000023333_ENSDNVG00000013558,ENSDNVT00000023347_ENSDNVG00000013558,ENSDNVT00000023364_ENSDNVG00000013558,ENSNPET00000016152_ENSNPEG00000011756,ENSLCOT00000013718_ENSLCOG00000009333,ENSLCOT00000013719_ENSLCOG00000009333,ENSLCOT00000013720_ENSLCOG00000009333,ENSMVIT00005007293_ENSMVIG00005004855,ENSMVIT00005007306_ENSMVIG00005004855,ENSMVIT00005007336_ENSMVIG00005004855,ENSMVIT00005007352_ENSMVIG00005004855,ENSTGUT00000004957_ENSTGUG00000004751
ENSEBUT00000026712_ENSEBUG00000016098,1.0,0.91,0.36,0.45,0.43,0.43,0.42,0.43,0.44,0.42,0.42,0.43,0.43,0.43,0.42,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.42,0.43,0.43,0.43,0.44,0.43,0.43,0.43,0.42,0.43,0.43,0.45,0.44,0.46,0.45,0.44,0.46,0.45,0.44
ENSEBUT00000026734_ENSEBUG00000016098,0.91,1.0,0.32,0.42,0.4,0.39,0.4,0.4,0.41,0.4,0.4,0.41,0.4,0.4,0.4,0.4,0.39,0.4,0.4,0.4,0.42,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.39,0.39,0.39,0.39,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41
ENSEBUT00000012213_ENSEBUG00000007461,0.36,0.32,1.0,0.41,0.38,0.38,0.4,0.4,0.41,0.37,0.37,0.4,0.39,0.39,0.39,0.4,0.42,0.4,0.39,0.39,0.41,0.41,0.4,0.41,0.41,0.41,0.4,0.41,0.4,0.39,0.4,0.4,0.4,0.41,0.41,0.42,0.41,0.41,0.42,0.41,0.39
ENSACAT00000014297_ENSACAG00000014219,0.45,0.42,0.41,1.0,0.77,0.76,0.78,0.76,0.77,0.71,0.7,0.71,0.77,0.76,0.76,0.8,0.8,0.77,0.76,0.76,0.74,0.72,0.74,0.72,0.72,0.72,0.74,0.72,0.73,0.74,0.72,0.72,0.71,0.76,0.74,0.76,0.75,0.74,0.76,0.74,0.67
ENSPVIT00000005250_ENSPVIG00000003348,0.43,0.4,0.38,0.77,1.0,0.96,0.93,0.94,0.9,0.68,0.67,0.67,0.75,0.76,0.73,0.74,0.73,0.71,0.73,0.73,0.7,0.68,0.69,0.68,0.67,0.68,0.69,0.67,0.72,0.71,0.7,0.7,0.66,0.72,0.71,0.72,0.72,0.71,0.72,0.7,0.66
ENSPVIT00000005260_ENSPVIG00000003348,0.43,0.39,0.38,0.76,0.96,1.0,0.92,0.93,0.89,0.67,0.66,0.67,0.74,0.75,0.73,0.73,0.74,0.7,0.72,0.72,0.69,0.67,0.68,0.67,0.67,0.67,0.68,0.67,0.71,0.71,0.7,0.69,0.66,0.71,0.7,0.71,0.71,0.7,0.71,0.7,0.66
ENSPVIT00000005272_ENSPVIG00000003348,0.42,0.4,0.4,0.78,0.93,0.92,1.0,0.95,0.9,0.68,0.67,0.68,0.76,0.75,0.76,0.75,0.74,0.73,0.74,0.74,0.7,0.68,0.69,0.68,0.68,0.68,0.67,0.68,0.7,0.7,0.71,0.69,0.66,0.71,0.71,0.71,0.71,0.71,0.71,0.69,0.67
ENSPVIT00000005278_ENSPVIG00000003348,0.43,0.4,0.4,0.76,0.94,0.93,0.95,1.0,0.91,0.69,0.68,0.69,0.75,0.76,0.75,0.73,0.73,0.72,0.73,0.73,0.71,0.69,0.7,0.69,0.69,0.69,0.68,0.69,0.71,0.71,0.72,0.7,0.67,0.71,0.72,0.72,0.71,0.72,0.72,0.7,0.67
ENSPVIT00000005297_ENSPVIG00000003348,0.44,0.41,0.41,0.77,0.9,0.89,0.9,0.91,1.0,0.69,0.71,0.73,0.71,0.72,0.72,0.74,0.73,0.74,0.73,0.71,0.75,0.71,0.71,0.74,0.71,0.72,0.68,0.69,0.68,0.69,0.69,0.7,0.7,0.72,0.73,0.73,0.72,0.73,0.73,0.74,0.71
ENSNSUT00000025514_ENSNSUG00000017363,0.42,0.4,0.37,0.71,0.68,0.67,0.68,0.69,0.69,1.0,0.93,0.91,0.68,0.69,0.69,0.68,0.69,0.67,0.67,0.67,0.63,0.64,0.65,0.66,0.67,0.66,0.68,0.68,0.65,0.65,0.65,0.64,0.63,0.66,0.66,0.68,0.66,0.67,0.68,0.65,0.61
