,ENSPPAT00000064306_ENSPPAG00000043305,ENSPTRT00000106361_ENSPTRG00000047392,ENSGGOT00000067462_ENSGGOG00000043545,ENSMLET00000064231_ENSMLEG00000044320,ENSCATT00000049272_ENSCATG00000036020,ENSMNET00000044751_ENSMNEG00000034071,ENSTGET00000026808_ENSTGEG00000018176,ENSMLET00000059615_ENSMLEG00000042131,ENSTGET00000008571_ENSTGEG00000005830,ENSMLET00000044862_ENSMLEG00000034898,ENSPTET00000041121_ENSPTEG00000028988,ENSPTET00000041126_ENSPTEG00000028988,ENSPTET00000023042_ENSPTEG00000017117,ENSRROT00000051737_ENSRROG00000037502,ENSRROT00000035448_ENSRROG00000030015,ENSRROT00000066786_ENSRROG00000044303,ENSMMUT00000088937_ENSMMUG00000064388,ENSPTET00000043703_ENSPTEG00000030602,ENSPANT00000052837_ENSPANG00000030996,ENSMLET00000050268_ENSMLEG00000037569,ENSMNET00000033326_ENSMNEG00000029048,ENSMFAT00000014383_ENSMFAG00000046234,ENSCATT00000045232_ENSCATG00000034265,ENSPANT00000045267_ENSPANG00000030987,ENSRBIT00000034826_ENSRBIG00000029456,ENSPTET00000035967_ENSPTEG00000025715,ENSRBIT00000061799_ENSRBIG00000042459
ENSPPAT00000064306_ENSPPAG00000043305,1.0,0.89,0.87,0.8,0.79,0.79,0.77,0.75,0.73,0.8,0.72,0.72,0.72,0.76,0.76,0.75,0.74,0.71,0.78,0.76,0.75,0.79,0.71,0.81,0.75,0.77,0.81
ENSPTRT00000106361_ENSPTRG00000047392,0.89,1.0,0.87,0.8,0.79,0.79,0.77,0.75,0.73,0.8,0.71,0.71,0.71,0.76,0.76,0.75,0.74,0.72,0.78,0.76,0.75,0.78,0.71,0.81,0.76,0.76,0.81
ENSGGOT00000067462_ENSGGOG00000043545,0.87,0.87,1.0,0.8,0.79,0.79,0.77,0.75,0.73,0.8,0.71,0.71,0.72,0.76,0.76,0.75,0.74,0.71,0.78,0.76,0.75,0.78,0.71,0.8,0.76,0.77,0.81
ENSMLET00000064231_ENSMLEG00000044320,0.8,0.8,0.8,1.0,0.86,0.82,0.77,0.76,0.81,0.82,0.71,0.71,0.72,0.77,0.77,0.78,0.76,0.72,0.82,0.78,0.79,0.8,0.75,0.85,0.77,0.8,0.84
ENSCATT00000049272_ENSCATG00000036020,0.79,0.79,0.79,0.86,1.0,0.81,0.76,0.75,0.8,0.82,0.71,0.71,0.71,0.77,0.77,0.76,0.75,0.71,0.81,0.8,0.8,0.8,0.74,0.84,0.78,0.79,0.84
ENSMNET00000044751_ENSMNEG00000034071,0.79,0.79,0.79,0.82,0.81,1.0,0.79,0.77,0.79,0.84,0.74,0.74,0.74,0.78,0.78,0.78,0.78,0.75,0.77,0.75,0.76,0.78,0.74,0.84,0.74,0.77,0.86
ENSTGET00000026808_ENSTGEG00000018176,0.77,0.77,0.77,0.77,0.76,0.79,1.0,0.84,1e-18,0.81,0.77,0.77,0.77,0.82,0.82,0.81,0.81,0.75,0.83,0.84,0.75,0.84,0.74,0.77,0.81,0.84,0.82
ENSMLET00000059615_ENSMLEG00000042131,0.75,0.75,0.75,0.76,0.75,0.77,0.84,1.0,0.76,0.81,0.77,0.77,0.78,0.87,0.87,0.86,0.79,0.75,0.78,0.76,0.77,0.78,0.74,0.79,0.74,0.78,0.81
ENSTGET00000008571_ENSTGEG00000005830,0.73,0.73,0.73,0.81,0.8,0.79,1e-18,0.76,1.0,0.85,1e-18,1e-18,1e-18,0.78,0.78,0.75,1e-18,1e-18,1e-18,1e-18,0.76,1e-18,0.77,0.82,1e-18,1e-18,0.83
ENSMLET00000044862_ENSMLEG00000034898,0.8,0.8,0.8,0.82,0.82,0.84,0.81,0.81,0.85,1.0,0.76,0.76,0.75,0.82,0.82,0.8,0.79,0.75,0.77,0.76,0.77,0.78,0.75,0.84,0.73,0.76,0.87
ENSPTET00000041121_ENSPTEG00000028988,0.72,0.71,0.71,0.71,0.71,0.74,0.77,0.77,1e-18,0.76,1.0,0.95,0.93,0.76,0.76,0.76,0.76,0.91,0.74,0.74,0.7,0.75,0.77,0.73,0.71,0.73,0.78
ENSPTET00000041126_ENSPTEG00000028988,0.72,0.71,0.71,0.71,0.71,0.74,0.77,0.77,1e-18,0.76,0.95,1.0,0.93,0.76,0.76,0.76,0.76,0.91,0.74,0.74,0.7,0.75,0.77,0.73,0.71,0.73,0.78
ENSPTET00000023042_ENSPTEG00000017117,0.72,0.71,0.72,0.72,0.71,0.74,0.77,0.78,1e-18,0.75,0.93,0.93,1.0,0.77,0.77,0.76,0.76,0.91,0.74,0.75,0.72,0.75,0.79,0.74,0.72,0.73,0.77
ENSRROT00000051737_ENSRROG00000037502,0.76,0.76,0.76,0.77,0.77,0.78,0.82,0.87,0.78,0.82,0.76,0.76,0.77,1.0,0.9,0.87,0.8,0.75,0.79,0.77,0.78,0.79,0.76,0.8,0.75,0.77,0.82
ENSRROT00000035448_ENSRROG00000030015,0.76,0.76,0.76,0.77,0.77,0.78,0.82,0.87,0.78,0.82,0.76,0.76,0.77,0.9,1.0,0.87,0.8,0.75,0.79,0.77,0.78,0.79,0.76,0.8,0.75,0.77,0.82
ENSRROT00000066786_ENSRROG00000044303,0.75,0.75,0.75,0.78,0.76,0.78,0.81,0.86,0.75,0.8,0.76,0.76,0.76,0.87,0.87,1.0,0.81,0.77,0.8,0.78,0.78,0.81,0.76,0.8,0.76,0.78,0.82
ENSMMUT00000088937_ENSMMUG00000064388,0.74,0.74,0.74,0.76,0.75,0.78,0.81,0.79,1e-18,0.79,0.76,0.76,0.76,0.8,0.8,0.81,1.0,0.76,0.79,0.77,0.75,0.8,0.76,0.77,0.76,0.78,0.81
ENSPTET00000043703_ENSPTEG00000030602,0.71,0.72,0.71,0.72,0.71,0.75,0.75,0.75,1e-18,0.75,0.91,0.91,0.91,0.75,0.75,0.77,0.76,1.0,0.74,0.74,0.71,0.75,0.78,0.74,0.72,0.73,0.78
ENSPANT00000052837_ENSPANG00000030996,0.78,0.78,0.78,0.82,0.81,0.77,0.83,0.78,1e-18,0.77,0.74,0.74,0.74,0.79,0.79,0.8,0.79,0.74,1.0,0.86,0.8,0.86,0.78,0.81,0.83,0.84,0.81
ENSMLET00000050268_ENSMLEG00000037569,0.76,0.76,0.76,0.78,0.8,0.75,0.84,0.76,1e-18,0.76,0.74,0.74,0.75,0.77,0.77,0.78,0.77,0.74,0.86,1.0,0.79,0.87,0.75,0.79,0.84,0.84,0.79
ENSMNET00000033326_ENSMNEG00000029048,0.75,0.75,0.75,0.79,0.8,0.76,0.75,0.77,0.76,0.77,0.7,0.7,0.72,0.78,0.78,0.78,0.75,0.71,0.8,0.79,1.0,0.81,0.8,0.8,0.79,0.81,0.8
ENSMFAT00000014383_ENSMFAG00000046234,0.79,0.78,0.78,0.8,0.8,0.78,0.84,0.78,1e-18,0.78,0.75,0.75,0.75,0.79,0.79,0.81,0.8,0.75,0.86,0.87,0.81,1.0,0.78,0.81,0.84,0.86,0.82
ENSCATT00000045232_ENSCATG00000034265,0.71,0.71,0.71,0.75,0.74,0.74,0.74,0.74,0.77,0.75,0.77,0.77,0.79,0.76,0.76,0.76,0.76,0.78,0.78,0.75,0.8,0.78,1.0,0.78,0.75,0.77,0.77
ENSPANT00000045267_ENSPANG00000030987,0.81,0.81,0.8,0.85,0.84,0.84,0.77,0.79,0.82,0.84,0.73,0.73,0.74,0.8,0.8,0.8,0.77,0.74,0.81,0.79,0.8,0.81,0.78,1.0,0.79,0.81,0.87
ENSRBIT00000034826_ENSRBIG00000029456,0.75,0.76,0.76,0.77,0.78,0.74,0.81,0.74,1e-18,0.73,0.71,0.71,0.72,0.75,0.75,0.76,0.76,0.72,0.83,0.84,0.79,0.84,0.75,0.79,1.0,0.86,0.76
ENSPTET00000035967_ENSPTEG00000025715,0.77,0.76,0.77,0.8,0.79,0.77,0.84,0.78,1e-18,0.76,0.73,0.73,0.73,0.77,0.77,0.78,0.78,0.73,0.84,0.84,0.81,0.86,0.77,0.81,0.86,1.0,0.79
ENSRBIT00000061799_ENSRBIG00000042459,0.81,0.81,0.81,0.84,0.84,0.86,0.82,0.81,0.83,0.87,0.78,0.78,0.77,0.82,0.82,0.82,0.81,0.78,0.81,0.79,0.8,0.82,0.77,0.87,0.76,0.79,1.0
