,ENSPKIT00000004420_ENSPKIG00000007248,ENSPKIT00000002793_ENSPKIG00000006266,ENSSFOT00015012388_ENSSFOG00015007910,ENSSFOT00015008791_ENSSFOG00015005573,ENSDCDT00000024991_ENSDCDG00000014350,ENSDCDT00000025220_ENSDCDG00000014350,ENSDCDT00000036993_ENSDCDG00000020274,ENSCHAT00000026330_ENSCHAG00000011909,ENSAMXT00000015708_ENSAMXG00000015267,ENSAMXT00000042770_ENSAMXG00000015267
ENSPKIT00000004420_ENSPKIG00000007248,1.0,0.62,0.67,0.54,0.6,0.59,0.6,0.64,0.59,0.6
ENSPKIT00000002793_ENSPKIG00000006266,0.62,1.0,0.58,0.48,0.52,0.52,0.52,0.56,0.51,0.53
ENSSFOT00015012388_ENSSFOG00015007910,0.67,0.58,1.0,0.53,0.59,0.59,0.59,0.64,0.58,0.59
ENSSFOT00015008791_ENSSFOG00015005573,0.54,0.48,0.53,1.0,0.54,0.54,0.54,0.58,0.52,0.52
ENSDCDT00000024991_ENSDCDG00000014350,0.6,0.52,0.59,0.54,1.0,0.86,0.94,0.68,0.65,0.63
ENSDCDT00000025220_ENSDCDG00000014350,0.59,0.52,0.59,0.54,0.86,1.0,0.86,0.65,0.59,0.6
ENSDCDT00000036993_ENSDCDG00000020274,0.6,0.52,0.59,0.54,0.94,0.86,1.0,0.68,0.65,0.63
ENSCHAT00000026330_ENSCHAG00000011909,0.64,0.56,0.64,0.58,0.68,0.65,0.68,1.0,0.69,0.71
ENSAMXT00000015708_ENSAMXG00000015267,0.59,0.51,0.58,0.52,0.65,0.59,0.65,0.69,1.0,0.9
ENSAMXT00000042770_ENSAMXG00000015267,0.6,0.53,0.59,0.52,0.63,0.6,0.63,0.71,0.9,1.0
