,ENSPMAT00000001519_ENSPMAG00000001360,ENSEBUT00000002856_ENSEBUG00000001890,ENSEBUT00000025555_ENSEBUG00000015424,ENSEBUT00000025570_ENSEBUG00000015424,ENSCHAT00000009156_ENSCHAG00000004825,ENSCHAT00000009222_ENSCHAG00000004825,ENSDCDT00000009649_ENSDCDG00000004373,ENSDCDT00000009653_ENSDCDG00000004373,ENSDCDT00000009682_ENSDCDG00000004373,ENSTRUT00000016541_ENSTRUG00000006702,ENSTRUT00000016540_ENSTRUG00000006702,ENSLBET00000023132_ENSLBEG00000016880,ENSXMAT00000018250_ENSXMAG00000018179,ENSXMAT00000038357_ENSXMAG00000018179,ENSGAFT00000011031_ENSGAFG00000007390,ENSGAFT00000011037_ENSGAFG00000007390,ENSPFOT00000013815_ENSPFOG00000013726,ENSPLAT00000011690_ENSPLAG00000004694,ENSPLAT00000011697_ENSPLAG00000004694,ENSPMET00000012714_ENSPMEG00000003362,ENSPRET00000005658_ENSPREG00000003882,ENSFHET00000009476_ENSFHEG00000004997
ENSPMAT00000001519_ENSPMAG00000001360,1.0,0.57,0.56,0.57,0.58,0.6,0.6,0.55,0.6,0.59,0.55,0.57,0.6,0.53,0.6,0.54,0.6,0.6,0.54,0.58,0.6,0.59
ENSEBUT00000002856_ENSEBUG00000001890,0.57,1.0,0.58,0.59,0.58,0.59,0.59,0.59,0.6,0.57,0.58,0.59,0.58,0.54,0.58,0.54,0.58,0.58,0.55,0.59,0.58,0.59
ENSEBUT00000025555_ENSEBUG00000015424,0.56,0.58,1.0,0.95,0.57,0.58,0.6,0.55,0.6,0.57,0.54,0.59,0.59,0.52,0.59,0.52,0.59,0.59,0.52,0.57,0.6,0.59
ENSEBUT00000025570_ENSEBUG00000015424,0.57,0.59,0.95,1.0,0.59,0.6,0.62,0.57,0.62,0.59,0.55,0.61,0.61,0.52,0.61,0.53,0.61,0.61,0.52,0.59,0.62,0.61
ENSCHAT00000009156_ENSCHAG00000004825,0.58,0.58,0.57,0.59,1.0,0.93,0.77,0.68,0.75,0.76,0.69,0.74,0.76,0.63,0.76,0.64,0.77,0.77,0.65,0.73,0.77,0.78
ENSCHAT00000009222_ENSCHAG00000004825,0.6,0.59,0.58,0.6,0.93,1.0,0.72,0.7,0.77,0.72,0.73,0.71,0.72,0.66,0.72,0.66,0.73,0.73,0.67,0.76,0.73,0.74
ENSDCDT00000009649_ENSDCDG00000004373,0.6,0.59,0.6,0.62,0.77,0.72,1.0,0.92,0.93,0.74,0.67,0.74,0.75,0.63,0.75,0.63,0.75,0.75,0.63,0.7,0.75,0.75
ENSDCDT00000009653_ENSDCDG00000004373,0.55,0.59,0.55,0.57,0.68,0.7,0.92,1.0,0.91,0.65,0.66,0.65,0.66,0.65,0.66,0.66,0.66,0.66,0.65,0.68,0.66,0.65
ENSDCDT00000009682_ENSDCDG00000004373,0.6,0.6,0.6,0.62,0.75,0.77,0.93,0.91,1.0,0.71,0.69,0.7,0.72,0.65,0.72,0.65,0.72,0.72,0.65,0.73,0.72,0.71
ENSTRUT00000016541_ENSTRUG00000006702,0.59,0.57,0.57,0.59,0.76,0.72,0.74,0.65,0.71,1.0,0.93,0.82,0.82,0.72,0.83,0.72,0.83,0.83,0.73,0.79,0.83,0.86
