,ENSACIT00000011449_ENSACIG00000008701,ENSXCOT00000017248_ENSXCOG00000012846,ENSHCOT00000017866_ENSHCOG00000013986,ENSTRUT00000057475_ENSTRUG00000025402,ENSHHUT00000092753_ENSHHUG00000051946,ENSHHUT00000092757_ENSHHUG00000051946,ENSHHUT00000007081_ENSHHUG00000004242,ENSPNAT00000010967_ENSPNAG00000001106,ENSEEET00000008919_ENSEEEG00000004551,ENSPKIT00000030348_ENSPKIG00000022651,ENSNMET00000006763_ENSNMEG00000004200,ENSGAGT00000020210_ENSGAGG00000013158
ENSACIT00000011449_ENSACIG00000008701,1.0,0.67,0.67,0.67,0.6,0.59,0.44,0.5,0.45,0.5,0.55,0.47
ENSXCOT00000017248_ENSXCOG00000012846,0.67,1.0,0.63,0.6,0.63,0.58,0.45,0.48,0.48,0.53,0.52,0.52
ENSHCOT00000017866_ENSHCOG00000013986,0.67,0.63,1.0,0.58,0.51,0.57,0.4,0.49,0.44,0.51,0.51,0.49
ENSTRUT00000057475_ENSTRUG00000025402,0.67,0.6,0.58,1.0,0.6,0.59,0.53,0.55,0.45,0.51,0.57,0.47
ENSHHUT00000092753_ENSHHUG00000051946,0.6,0.63,0.51,0.6,1.0,0.95,0.45,0.51,0.44,0.45,0.44,0.47
ENSHHUT00000092757_ENSHHUG00000051946,0.59,0.58,0.57,0.59,0.95,1.0,0.38,0.46,0.4,0.44,0.47,0.48
ENSHHUT00000007081_ENSHHUG00000004242,0.44,0.45,0.4,0.53,0.45,0.38,1.0,0.59,0.57,0.64,0.49,0.5
ENSPNAT00000010967_ENSPNAG00000001106,0.5,0.48,0.49,0.55,0.51,0.46,0.59,1.0,0.71,0.62,0.56,0.53
ENSEEET00000008919_ENSEEEG00000004551,0.45,0.48,0.44,0.45,0.44,0.4,0.57,0.71,1.0,0.64,0.48,0.52
ENSPKIT00000030348_ENSPKIG00000022651,0.5,0.53,0.51,0.51,0.45,0.44,0.64,0.62,0.64,1.0,0.56,0.58
ENSNMET00000006763_ENSNMEG00000004200,0.55,0.52,0.51,0.57,0.44,0.47,0.49,0.56,0.48,0.56,1.0,0.55
ENSGAGT00000020210_ENSGAGG00000013158,0.47,0.52,0.49,0.47,0.47,0.48,0.5,0.53,0.52,0.58,0.55,1.0
