,ENSVURT00010032229_ENSVURG00010021649,ENSMEUT00000007203_ENSMEUG00000007188,ENSPCIT00000037524_ENSPCIG00000022691,ENSPCIT00000037525_ENSPCIG00000022691,ENSSHAT00000017385_ENSSHAG00000014658,ENSSHAT00000017386_ENSSHAG00000014658,ENSMODT00000014104_ENSMODG00000011062,ENSLAFT00000007371_ENSLAFG00000007374,ENSETET00000010873_ENSETEG00000010873,ENSMICT00000073074_ENSMICG00000049534,ENSPSMT00000035634_ENSPSMG00000021441,ENSPCOT00000015159_ENSPCOG00000013205,ENSOGAT00000015480_ENSOGAG00000015476,ENSOCUT00000015670_ENSOCUG00000015676,ENSOCUT00000020933_ENSOCUG00000021085,ENSOPRT00000004470_ENSOPRG00000004491,ENSPPAT00000008379_ENSPPAG00000007697,ENSPTRT00000027652_ENSPTRG00000014791,ENST00000334681_ENSG00000187094,ENST00000396169_ENSG00000187094,ENST00000434608_ENSG00000187094,ENSPPYT00000016261_ENSPPYG00000013983,ENSNLET00000007375_ENSNLEG00000005801,ENSCATT00000045632_ENSCATG00000034434,ENSMLET00000040661_ENSMLEG00000032801,ENSMLET00000040663_ENSMLEG00000032801,ENSMMUT00000001529_ENSMMUG00000001077,ENSMNET00000059138_ENSMNEG00000040525,ENSMFAT00000023577_ENSMFAG00000002130,ENSPANT00000017356_ENSPANG00000012767,ENSCSAT00000014892_ENSCSAG00000016797,ENSTGET00000021954_ENSTGEG00000014861
ENSVURT00010032229_ENSVURG00010021649,1.0,0.89,0.93,0.93,0.88,0.83,0.84,0.59,0.5,0.6,0.59,0.58,0.6,0.58,0.39,0.52,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.59,0.55,0.55,0.59,0.59,0.59,0.59,0.59,0.6
ENSMEUT00000007203_ENSMEUG00000007188,0.89,1.0,0.9,0.9,0.86,0.81,0.83,0.59,0.51,0.6,0.59,0.59,0.6,0.58,0.42,0.53,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.59,0.59,0.59,0.59,0.59,0.6
ENSPCIT00000037524_ENSPCIG00000022691,0.93,0.9,1.0,0.95,0.89,0.84,0.84,0.59,0.51,0.59,0.59,0.58,0.6,0.58,0.39,0.52,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.59,0.55,0.55,0.59,0.59,0.59,0.59,0.59,0.59
ENSPCIT00000037525_ENSPCIG00000022691,0.93,0.9,0.95,1.0,0.89,0.84,0.84,0.59,0.51,0.59,0.59,0.58,0.6,0.58,0.39,0.52,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.59,0.55,0.55,0.59,0.59,0.59,0.59,0.59,0.59
ENSSHAT00000017385_ENSSHAG00000014658,0.88,0.86,0.89,0.89,1.0,0.9,0.83,0.58,0.51,0.59,0.58,0.57,0.58,0.57,0.38,0.52,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.54,0.54,0.58,0.58,0.58,0.58,0.58,0.59
ENSSHAT00000017386_ENSSHAG00000014658,0.83,0.81,0.84,0.84,0.9,1.0,0.77,0.52,0.48,0.54,0.52,0.52,0.53,0.52,0.36,0.49,0.54,0.54,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
ENSMODT00000014104_ENSMODG00000011062,0.84,0.83,0.84,0.84,0.83,0.77,1.0,0.59,0.51,0.58,0.57,0.56,0.59,0.57,0.39,0.52,0.58,0.58,0.58,0.58,0.58,0.57,0.58,0.57,0.54,0.54,0.57,0.57,0.57,0.57,0.57,0.57
ENSLAFT00000007371_ENSLAFG00000007374,0.59,0.59,0.59,0.59,0.58,0.52,0.59,1.0,0.75,0.82,0.83,0.84,0.81,0.79,0.63,0.71,0.81,0.81,0.82,0.82,0.82,0.81,0.82,0.83,0.77,0.77,0.83,0.83,0.83,0.82,0.82,0.83
ENSETET00000010873_ENSETEG00000010873,0.5,0.51,0.51,0.51,0.51,0.48,0.51,0.75,1.0,0.72,0.72,0.73,0.71,0.7,0.57,0.72,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.73,0.7,0.7,0.73,0.73,0.73,0.73,0.73,0.73
ENSMICT00000073074_ENSMICG00000049534,0.6,0.6,0.59,0.59,0.59,0.54,0.58,0.82,0.72,1.0,0.9,0.91,0.86,0.82,0.66,0.74,0.85,0.85,0.85,0.85,0.85,0.84,0.86,0.85,0.78,0.78,0.85,0.85,0.85,0.85,0.84,0.85
ENSPSMT00000035634_ENSPSMG00000021441,0.59,0.59,0.59,0.59,0.58,0.52,0.57,0.83,0.72,0.9,1.0,0.91,0.87,0.82,0.66,0.74,0.85,0.85,0.85,0.85,0.85,0.84,0.86,0.85,0.78,0.78,0.85,0.85,0.85,0.85,0.84,0.84
ENSPCOT00000015159_ENSPCOG00000013205,0.58,0.59,0.58,0.58,0.57,0.52,0.56,0.84,0.73,0.91,0.91,1.0,0.88,0.84,0.69,0.75,0.85,0.85,0.86,0.86,0.86,0.85,0.87,0.86,0.79,0.79,0.86,0.86,0.86,0.86,0.85,0.86
ENSOGAT00000015480_ENSOGAG00000015476,0.6,0.6,0.6,0.6,0.58,0.53,0.59,0.81,0.71,0.86,0.87,0.88,1.0,0.82,0.66,0.75,0.84,0.84,0.84,0.84,0.84,0.83,0.84,0.84,0.78,0.78,0.84,0.84,0.84,0.84,0.84,0.83
ENSOCUT00000015670_ENSOCUG00000015676,0.58,0.58,0.58,0.58,0.57,0.52,0.57,0.79,0.7,0.82,0.82,0.84,0.82,1.0,0.82,0.74,0.83,0.83,0.84,0.84,0.84,0.82,0.84,0.83,0.77,0.77,0.83,0.83,0.83,0.83,0.82,0.82
ENSOCUT00000020933_ENSOCUG00000021085,0.39,0.42,0.39,0.39,0.38,0.36,0.39,0.63,0.57,0.66,0.66,0.69,0.66,0.82,1.0,0.61,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.64,0.64,0.69,0.69,0.69,0.69,0.67,0.68
ENSOPRT00000004470_ENSOPRG00000004491,0.52,0.53,0.52,0.52,0.52,0.49,0.52,0.71,0.72,0.74,0.74,0.75,0.75,0.74,0.61,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.75,0.72,0.72,0.75,0.75,0.75,0.75,0.74,0.75
ENSPPAT00000008379_ENSPPAG00000007697,0.59,0.6,0.59,0.59,0.59,0.54,0.58,0.81,0.72,0.85,0.85,0.85,0.84,0.83,0.7,0.74,1.0,0.95,0.95,0.95,0.95,0.92,0.93,0.91,0.86,0.86,0.91,0.91,0.91,0.91,0.9,0.9
ENSPTRT00000027652_ENSPTRG00000014791,0.59,0.6,0.59,0.59,0.59,0.54,0.58,0.81,0.72,0.85,0.85,0.85,0.84,0.83,0.7,0.74,0.95,1.0,0.95,0.95,0.95,0.92,0.93,0.91,0.86,0.86,0.91,0.91,0.91,0.91,0.9,0.9
ENST00000334681_ENSG00000187094,0.59,0.59,0.58,0.58,0.59,0.53,0.58,0.82,0.72,0.85,0.85,0.86,0.84,0.84,0.7,0.74,0.95,0.95,1.0,0.95,0.95,0.92,0.93,0.91,0.86,0.86,0.91,0.91,0.91,0.91,0.9,0.91
ENST00000396169_ENSG00000187094,0.59,0.59,0.58,0.58,0.59,0.53,0.58,0.82,0.72,0.85,0.85,0.86,0.84,0.84,0.7,0.74,0.95,0.95,0.95,1.0,0.95,0.92,0.93,0.91,0.86,0.86,0.91,0.91,0.91,0.91,0.9,0.91
ENST00000434608_ENSG00000187094,0.59,0.59,0.58,0.58,0.59,0.53,0.58,0.82,0.72,0.85,0.85,0.86,0.84,0.84,0.7,0.74,0.95,0.95,0.95,0.95,1.0,0.92,0.93,0.91,0.86,0.86,0.91,0.91,0.91,0.91,0.9,0.91
