,ENSAOWT00000003343_ENSAOWG00000002085,ENSAOWT00000003350_ENSAOWG00000002085,ENSAHAT00000025072_ENSAHAG00000015814,ENSAHAT00000025076_ENSAHAG00000015814,ENSARWT00000021062_ENSARWG00000012745,ENSARWT00000021064_ENSARWG00000012745,ENSDNVT00000015069_ENSDNVG00000008836,ENSDNVT00000015074_ENSDNVG00000008836,ENSGALT00000078411_ENSGALG00000038400,ENSNMET00000011716_ENSNMEG00000007124
ENSAOWT00000003343_ENSAOWG00000002085,1.0,0.96,1.0,0.96,0.91,1.0,0.95,0.97,0.81,0.84
ENSAOWT00000003350_ENSAOWG00000002085,0.96,1.0,0.96,1.0,0.94,0.95,0.9,0.93,0.77,0.8
ENSAHAT00000025072_ENSAHAG00000015814,1.0,0.96,1.0,0.96,0.91,1.0,0.95,0.97,0.81,0.84
ENSAHAT00000025076_ENSAHAG00000015814,0.96,1.0,0.96,1.0,0.94,0.95,0.9,0.93,0.77,0.8
ENSARWT00000021062_ENSARWG00000012745,0.91,0.94,0.91,0.94,1.0,0.91,0.88,0.88,0.72,0.75
ENSARWT00000021064_ENSARWG00000012745,1.0,0.95,1.0,0.95,0.91,1.0,0.94,0.97,0.8,0.84
ENSDNVT00000015069_ENSDNVG00000008836,0.95,0.9,0.95,0.9,0.88,0.94,1.0,0.97,0.78,0.81
ENSDNVT00000015074_ENSDNVG00000008836,0.97,0.93,0.97,0.93,0.88,0.97,0.97,1.0,0.81,0.84
ENSGALT00000078411_ENSGALG00000038400,0.81,0.77,0.81,0.77,0.72,0.8,0.78,0.81,1.0,0.89
ENSNMET00000011716_ENSNMEG00000007124,0.84,0.8,0.84,0.8,0.75,0.84,0.81,0.84,0.89,1.0
