,ENSHHUT00000009994_ENSHHUG00000005918,ENSHHUT00000009998_ENSHHUG00000005918,ENSCMIT00000027857_ENSCMIG00000011872,ENSCMIT00000027866_ENSCMIG00000011872,ENSCMIT00000027870_ENSCMIG00000011872,ENSCMIT00000027873_ENSCMIG00000011872,ENSEBUT00000013902_ENSEBUG00000008427,ENSEBUT00000013923_ENSEBUG00000008427,ENSEBUT00000013946_ENSEBUG00000008427,ENSPMAT00000010485_ENSPMAG00000009496,ENSLOCT00000011244_ENSLOCG00000009200,ENSLOCT00000011255_ENSLOCG00000009200,ENSECRT00000025268_ENSECRG00000016755,ENSECRT00000025320_ENSECRG00000016755,ENSAOCT00000007551_ENSAOCG00000008175,ENSSFOT00015014774_ENSSFOG00015009418,ENSSFOT00015014821_ENSSFOG00015009418,ENSSFOT00015014887_ENSSFOG00015009418,ENSSFOT00015014937_ENSSFOG00015009418,ENSSFOT00015014970_ENSSFOG00015009418,ENSSFOT00015015027_ENSSFOG00015009418,ENSSFOT00015015078_ENSSFOG00015009418,ENSPKIT00000025047_ENSPKIG00000019538,ENSPKIT00000025098_ENSPKIG00000019538,ENSPKIT00000025166_ENSPKIG00000019538,ENSPKIT00000025236_ENSPKIG00000019538,ENSPKIT00000025302_ENSPKIG00000019538,ENSPKIT00000025363_ENSPKIG00000019538,ENSPKIT00000025436_ENSPKIG00000019538,ENSPKIT00000025507_ENSPKIG00000019538,ENSPKIT00000025585_ENSPKIG00000019538,ENSPKIT00000025637_ENSPKIG00000019538,ENSPKIT00000015572_ENSPKIG00000013885,ENSPKIT00000015585_ENSPKIG00000013885,ENSSFOT00015024517_ENSSFOG00015015592,ENSSFOT00015024529_ENSSFOG00015015592,ENSCHAT00000004010_ENSCHAG00000002272,ENSCHAT00000004115_ENSCHAG00000002272,ENSCHAT00000004202_ENSCHAG00000002272,ENSCHAT00000004491_ENSCHAG00000002272,ENSCHAT00000005390_ENSCHAG00000002272,ENSCHAT00000005450_ENSCHAG00000002272,ENSCHAT00000005689_ENSCHAG00000002272,ENSCHAT00000005984_ENSCHAG00000002272,ENSDCDT00000053516_ENSDCDG00000026116,ENSDCDT00000053518_ENSDCDG00000026116,ENSDCDT00000053525_ENSDCDG00000026116,ENSDCDT00000053531_ENSDCDG00000026116,ENSDCDT00000053535_ENSDCDG00000026116,ENSDCDT00000053544_ENSDCDG00000026116,ENSDCDT00000053548_ENSDCDG00000026116,ENSDCDT00000053552_ENSDCDG00000026116,ENSDCDT00000053553_ENSDCDG00000026116,ENSDCDT00000053568_ENSDCDG00000026116
ENSHHUT00000009994_ENSHHUG00000005918,1.0,0.95,0.48,0.48,0.48,0.49,1e-18,1e-18,1e-18,0.37,0.52,0.52,0.46,0.46,0.61,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.5,0.5,0.44,0.45,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.61,0.61,0.61,0.61,0.61,0.61,0.63,0.61,0.61,0.61
ENSHHUT00000009998_ENSHHUG00000005918,0.95,1.0,0.48,0.48,0.48,0.49,1e-18,1e-18,1e-18,0.37,0.52,0.52,0.46,0.46,0.61,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.5,0.5,0.44,0.45,0.59,0.59,0.59,0.59,0.49,0.59,0.59,0.59,0.61,0.61,0.61,0.61,0.61,0.61,0.63,0.61,0.61,0.61
ENSCMIT00000027857_ENSCMIG00000011872,0.48,0.48,1.0,0.94,0.96,0.88,0.29,0.29,0.3,0.46,0.51,0.51,0.49,0.5,0.56,0.52,0.52,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.46,0.46,0.57,0.44,0.52,0.52,0.52,0.52,0.54,0.52,0.52,0.53,0.52,0.53,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.52
ENSCMIT00000027866_ENSCMIG00000011872,0.48,0.48,0.94,1.0,0.94,0.87,0.29,0.29,0.29,0.46,0.51,0.51,0.49,0.5,0.56,0.52,0.52,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.46,0.46,0.56,0.44,0.52,0.52,0.52,0.52,0.53,0.52,0.53,0.53,0.52,0.52,0.52,0.53,0.53,0.52,0.52,0.53,0.53,0.52
ENSCMIT00000027870_ENSCMIG00000011872,0.48,0.48,0.96,0.94,1.0,0.88,0.3,0.29,0.3,0.46,0.51,0.51,0.5,0.5,0.56,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.55,0.46,0.46,0.57,0.44,0.52,0.52,0.52,0.52,0.54,0.52,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.53
ENSCMIT00000027873_ENSCMIG00000011872,0.49,0.49,0.88,0.87,0.88,1.0,1e-18,1e-18,1e-18,0.51,0.58,0.57,0.56,0.56,0.61,0.6,0.6,0.6,0.61,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.47,0.47,0.62,0.45,0.59,0.59,0.59,0.59,0.6,0.59,0.59,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.6,0.58
ENSEBUT00000013902_ENSEBUG00000008427,1e-18,1e-18,0.29,0.29,0.3,1e-18,1.0,0.95,0.94,1e-18,0.31,0.32,0.32,0.32,1e-18,0.31,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,1e-18,1e-18,1e-18,1e-18,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.32,0.33,0.32,0.31,0.31
ENSEBUT00000013923_ENSEBUG00000008427,1e-18,1e-18,0.29,0.29,0.29,1e-18,0.95,1.0,0.95,1e-18,0.31,0.32,0.32,0.32,1e-18,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,1e-18,1e-18,1e-18,1e-18,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.31
ENSEBUT00000013946_ENSEBUG00000008427,1e-18,1e-18,0.3,0.29,0.3,1e-18,0.94,0.95,1.0,1e-18,0.31,0.32,0.32,0.32,1e-18,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,1e-18,1e-18,1e-18,1e-18,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.32,0.33,0.33,0.31,0.31
ENSPMAT00000010485_ENSPMAG00000009496,0.37,0.37,0.46,0.46,0.46,0.51,1e-18,1e-18,1e-18,1.0,0.39,0.39,0.4,0.4,0.43,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.45,0.39,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.43,0.42
