,ENSEBUT00000026737_ENSEBUG00000016115,ENSACLT00000012896_ENSACLG00000008568,ENSDART00000115182_ENSDARG00000016212,ENSDART00000170215_ENSDARG00000016212,ENSNSUT00000028495_ENSNSUG00000019235,ENSNSUT00000028496_ENSNSUG00000019235,ENSCPUT00000019272_ENSCPUG00000011253,ENSNPET00000001432_ENSNPEG00000001098,ENSCCNT00000033689_ENSCCNG00000025788,ENSDORT00000027843_ENSDORG00000028083,ENSNGAT00000004992_ENSNGAG00000003978,ENSRNOT00000072628_ENSRNOG00000047244
ENSEBUT00000026737_ENSEBUG00000016115,1.0,0.35,0.34,0.34,0.31,0.32,0.3,0.36,0.37,0.34,0.36,0.35
ENSACLT00000012896_ENSACLG00000008568,0.35,1.0,0.57,0.57,0.39,0.39,0.38,0.43,0.43,0.41,0.44,0.42
ENSDART00000115182_ENSDARG00000016212,0.34,0.57,1.0,0.97,0.4,0.39,0.37,0.41,0.41,0.39,0.4,0.4
ENSDART00000170215_ENSDARG00000016212,0.34,0.57,0.97,1.0,0.4,0.39,0.37,0.41,0.41,0.39,0.4,0.4
ENSNSUT00000028495_ENSNSUG00000019235,0.31,0.39,0.4,0.4,1.0,0.92,0.6,0.65,0.61,0.6,0.61,0.6
ENSNSUT00000028496_ENSNSUG00000019235,0.32,0.39,0.39,0.39,0.92,1.0,0.6,0.68,0.63,0.6,0.61,0.61
ENSCPUT00000019272_ENSCPUG00000011253,0.3,0.38,0.37,0.37,0.6,0.6,1.0,0.76,0.61,0.61,0.61,0.58
ENSNPET00000001432_ENSNPEG00000001098,0.36,0.43,0.41,0.41,0.65,0.68,0.76,1.0,0.68,0.66,0.66,0.65
ENSCCNT00000033689_ENSCCNG00000025788,0.37,0.43,0.41,0.41,0.61,0.63,0.61,0.68,1.0,0.82,0.83,0.78
ENSDORT00000027843_ENSDORG00000028083,0.34,0.41,0.39,0.39,0.6,0.6,0.61,0.66,0.82,1.0,0.83,0.77
ENSNGAT00000004992_ENSNGAG00000003978,0.36,0.44,0.4,0.4,0.61,0.61,0.61,0.66,0.83,0.83,1.0,0.78
ENSRNOT00000072628_ENSRNOG00000047244,0.35,0.42,0.4,0.4,0.6,0.61,0.58,0.65,0.78,0.77,0.78,1.0
