,FBtr0077604_FBgn0031516,FBtr0078158_FBgn0031220,FBtr0330646_FBgn0031220,FBtr0100310_FBgn0031220,FBtr0078156_FBgn0031220,FBtr0100309_FBgn0031220,FBtr0078157_FBgn0031220,FBtr0100307_FBgn0031220,FBtr0100308_FBgn0031220,FBtr0078159_FBgn0031220,FBtr0112898_FBgn0020762,FBtr0077426_FBgn0020762,FBtr0077427_FBgn0020762,FBtr0112899_FBgn0020762,ENSCSAVT00000006146_ENSCSAVG00000003626
FBtr0077604_FBgn0031516,1.0,0.37,0.4,0.39,0.37,0.39,0.37,0.37,0.37,0.37,0.43,0.43,0.43,0.43,0.37
FBtr0078158_FBgn0031220,0.37,1.0,0.82,0.82,0.92,0.83,0.92,0.92,0.92,0.92,0.4,0.4,0.4,0.4,0.38
FBtr0330646_FBgn0031220,0.4,0.82,1.0,0.87,0.82,0.85,0.82,0.82,0.82,0.82,0.37,0.41,0.41,0.41,0.38
FBtr0100310_FBgn0031220,0.39,0.82,0.87,1.0,0.82,0.87,0.82,0.82,0.82,0.82,0.37,0.41,0.41,0.41,0.38
FBtr0078156_FBgn0031220,0.37,0.92,0.82,0.82,1.0,0.83,0.92,0.92,0.92,0.92,0.4,0.4,0.4,0.4,0.38
FBtr0100309_FBgn0031220,0.39,0.83,0.85,0.87,0.83,1.0,0.83,0.83,0.83,0.83,0.37,0.41,0.41,0.41,0.4
FBtr0078157_FBgn0031220,0.37,0.92,0.82,0.82,0.92,0.83,1.0,0.92,0.92,0.92,0.4,0.4,0.4,0.4,0.38
FBtr0100307_FBgn0031220,0.37,0.92,0.82,0.82,0.92,0.83,0.92,1.0,0.92,0.92,0.4,0.4,0.4,0.4,0.38
FBtr0100308_FBgn0031220,0.37,0.92,0.82,0.82,0.92,0.83,0.92,0.92,1.0,0.92,0.4,0.4,0.4,0.4,0.38
FBtr0078159_FBgn0031220,0.37,0.92,0.82,0.82,0.92,0.83,0.92,0.92,0.92,1.0,0.4,0.4,0.4,0.4,0.38
FBtr0112898_FBgn0020762,0.43,0.4,0.37,0.37,0.4,0.37,0.4,0.4,0.4,0.4,1.0,0.88,0.88,0.88,0.41
FBtr0077426_FBgn0020762,0.43,0.4,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.88,1.0,0.94,0.94,0.44
FBtr0077427_FBgn0020762,0.43,0.4,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.88,0.94,1.0,0.94,0.44
FBtr0112899_FBgn0020762,0.43,0.4,0.41,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.88,0.94,0.94,1.0,0.44
ENSCSAVT00000006146_ENSCSAVG00000003626,0.37,0.38,0.38,0.38,0.38,0.4,0.38,0.38,0.38,0.38,0.41,0.44,0.44,0.44,1.0
