,ENSHHUT00000017566_ENSHHUG00000010573,ENSGAGT00000023554_ENSGAGG00000015233,ENSCABT00000032104_ENSCABG00000021503,ENSLCOT00000001760_ENSLCOG00000000284,ENSLCOT00000001761_ENSLCOG00000000284,ENSLCOT00000001764_ENSLCOG00000000284,ENSLCOT00000001765_ENSLCOG00000000284,ENSGALT00000067344_ENSGALG00000033770,ENSGALT00000105416_ENSGALG00000055022,ENSCJPT00005008176_ENSCJPG00005004819,ENSSCAT00000025799_ENSSCAG00000016604
ENSHHUT00000017566_ENSHHUG00000010573,1.0,1e-18,0.15,0.12,0.12,0.12,0.12,0.18,0.67,1e-18,0.16
ENSGAGT00000023554_ENSGAGG00000015233,1e-18,1.0,0.82,0.78,0.79,0.79,0.73,0.73,1e-18,0.75,0.77
ENSCABT00000032104_ENSCABG00000021503,0.15,0.82,1.0,0.7,0.7,0.7,0.7,0.82,0.29,0.52,0.73
ENSLCOT00000001760_ENSLCOG00000000284,0.12,0.78,0.7,1.0,0.96,0.95,0.94,0.71,0.54,0.65,0.75
ENSLCOT00000001761_ENSLCOG00000000284,0.12,0.79,0.7,0.96,1.0,0.95,0.93,0.71,0.54,0.65,0.75
ENSLCOT00000001764_ENSLCOG00000000284,0.12,0.79,0.7,0.95,0.95,1.0,0.92,0.71,0.54,0.66,0.75
ENSLCOT00000001765_ENSLCOG00000000284,0.12,0.73,0.7,0.94,0.93,0.92,1.0,0.71,0.54,0.55,0.75
ENSGALT00000067344_ENSGALG00000033770,0.18,0.73,0.82,0.71,0.71,0.71,0.71,1.0,0.31,0.55,0.77
ENSGALT00000105416_ENSGALG00000055022,0.67,1e-18,0.29,0.54,0.54,0.54,0.54,0.31,1.0,1e-18,0.34
ENSCJPT00005008176_ENSCJPG00005004819,1e-18,0.75,0.52,0.65,0.65,0.66,0.55,0.55,1e-18,1.0,0.51
ENSSCAT00000025799_ENSSCAG00000016604,0.16,0.77,0.73,0.75,0.75,0.75,0.75,0.77,0.34,0.51,1.0
