,ENSEBUT00000005670_ENSEBUG00000003586,ENSNVIT00000002442_ENSNVIG00000001484,ENSCPUT00000024088_ENSCPUG00000013909,ENSMUNT00000003627_ENSMUNG00000002653,ENSLSDT00000027153_ENSLSDG00000016952,ENSSCAT00000003464_ENSSCAG00000002541,ENSJHYT00000012140_ENSJHYG00000007879,ENSFALT00000006426_ENSFALG00000006133,ENSPMJT00000025080_ENSPMJG00000014392,ENSLCOT00000017876_ENSLCOG00000012026,ENSGALT00000092172_ENSGALG00000008514,ENSGALT00000013867_ENSGALG00000008514,ENSMGAT00000012530_ENSMGAG00000011145,ENSCJPT00005024483_ENSCJPG00005014326,ENSNMET00000033611_ENSNMEG00000019619,ENSAHAT00000002902_ENSAHAG00000002094,ENSARWT00000016945_ENSARWG00000010282,ENSNPET00000004789_ENSNPEG00000003561,ENSCPRT00005031392_ENSCPRG00005018617,ENSGAGT00000012281_ENSGAGG00000008313,ENSCPBT00000021844_ENSCPBG00000013483,ENSPVIT00000032215_ENSPVIG00000019525,ENSACAT00000003489_ENSACAG00000003483,ENSSMRT00000023287_ENSSMRG00000015475,ENSSMRT00000023288_ENSSMRG00000015475,ENSBTAT00000013680_ENSBTAG00000010361,ENSBTAT00000085148_ENSBTAG00000010361,ENSBMUT00000028088_ENSBMUG00000018313,ENSBBBT00000004964_ENSBBBG00000014697,ENSOART00000022115_ENSOARG00000020309,ENSCHIT00000022096_ENSCHIG00000015386,ENSSSCT00000062422_ENSSSCG00000004755,ENSSSCT00000005254_ENSSSCG00000004755,ENSTBET00000010850_ENSTBEG00000010805,ENSLAFT00000014764_ENSLAFG00000014766,ENSUAMT00000023577_ENSUAMG00000016604,ENSUAMT00000023578_ENSUAMG00000016604,ENSUMAT00000019959_ENSUMAG00000012387,ENSAMET00000018517_ENSAMEG00000016821,ENSMPUT00000008843_ENSMPUG00000008771,ENSNVIT00000025709_ENSNVIG00000017198,ENSNVIT00000025729_ENSNVIG00000017198,ENSCAFT00020008117_ENSCAFG00020005705,ENSCAFT00000014966_ENSCAFG00000009401,ENSVVUT00000049040_ENSVVUG00000026692,ENSPPRT00000017992_ENSPPRG00000010910,ENSPTIT00000027345_ENSPTIG00000019554,ENSFCAT00000014725_ENSFCAG00000014721,ENSECAT00000014007_ENSECAG00000013434,ENSEAST00005026215_ENSEASG00005016419,ENSMLUT00000004544_ENSMLUG00000004545,ENSCLAT00000016361_ENSCLAG00000011143,ENSODET00000023633_ENSODEG00000017129,ENSCPOT00000011489_ENSCPOG00000011383,ENSHGLT00000022839_ENSHGLG00000016140,ENSFDAT00000008941_ENSFDAG00000005722,ENSFDAT00000008951_ENSFDAG00000005722,ENSCCNT00000018792_ENSCCNG00000014818
ENSEBUT00000005670_ENSEBUG00000003586,1.0,0.45,0.4,0.5,0.39,0.46,0.46,0.41,0.39,0.46,0.38,0.35,0.34,0.35,0.36,0.09,0.35,0.45,0.51,0.37,0.4,0.42,0.41,0.39,0.37,0.38,0.32,0.38,0.37,0.38,0.3,0.49,0.46,0.27,0.35,0.5,0.5,0.46,0.47,0.39,0.38,0.33,0.5,0.38,0.38,0.47,0.39,0.47,0.5,0.49,0.35,0.36,0.4,0.36,0.38,0.31,0.34,0.37
ENSNVIT00000002442_ENSNVIG00000001484,0.45,1.0,0.35,0.37,0.35,0.37,0.38,0.35,0.35,0.37,0.34,0.35,0.3,0.37,0.35,0.08,0.35,0.39,0.39,0.36,0.36,0.34,0.34,0.32,0.32,0.36,0.34,0.36,0.36,0.37,0.32,0.38,0.37,0.3,0.35,0.39,0.41,0.4,0.39,0.37,0.36,0.35,0.4,0.36,0.36,0.4,0.37,0.41,0.4,0.4,0.37,0.35,0.39,0.34,0.34,0.33,0.34,0.36
ENSCPUT00000024088_ENSCPUG00000013909,0.4,0.35,1.0,0.57,0.62,0.63,0.56,0.61,0.73,0.55,0.72,0.7,0.56,0.66,0.73,0.15,0.57,0.58,0.55,0.6,0.55,0.56,0.5,0.52,0.51,0.53,0.45,0.48,0.53,0.53,0.4,0.52,0.5,0.32,0.5,0.51,0.44,0.48,0.49,0.53,0.5,0.43,0.51,0.41,0.41,0.49,0.53,0.49,0.51,0.51,0.51,0.53,0.47,0.53,0.53,0.49,0.48,0.5
ENSMUNT00000003627_ENSMUNG00000002653,0.5,0.37,0.57,1.0,0.59,0.75,0.75,0.67,0.59,0.75,0.55,0.52,0.51,0.52,0.51,0.07,0.56,0.6,0.67,0.48,0.57,0.59,0.52,0.5,0.49,0.47,0.44,0.47,0.47,0.47,0.4,0.58,0.55,0.37,0.44,0.58,0.57,0.54,0.54,0.47,0.47,0.43,0.57,0.47,0.47,0.54,0.44,0.54,0.57,0.57,0.44,0.45,0.5,0.45,0.47,0.42,0.43,0.48
ENSLSDT00000027153_ENSLSDG00000016952,0.39,0.35,0.62,0.59,1.0,0.67,0.59,0.65,0.73,0.59,0.67,0.65,0.53,0.56,0.54,0.23,0.71,0.57,0.51,0.53,0.57,0.56,0.47,0.51,0.51,0.51,0.46,0.51,0.51,0.51,0.41,0.52,0.51,0.39,0.49,0.52,0.47,0.5,0.5,0.51,0.47,0.43,0.52,0.46,0.46,0.5,0.48,0.5,0.52,0.51,0.5,0.51,0.48,0.5,0.52,0.46,0.47,0.48
ENSSCAT00000003464_ENSSCAG00000002541,0.46,0.37,0.63,0.75,0.67,1.0,0.74,0.76,0.67,0.73,0.62,0.59,0.5,0.58,0.52,0.12,0.59,0.58,0.63,0.47,0.56,0.65,0.52,0.5,0.49,0.52,0.45,0.52,0.52,0.51,0.4,0.55,0.53,0.37,0.48,0.56,0.55,0.53,0.52,0.52,0.47,0.43,0.55,0.47,0.46,0.52,0.48,0.52,0.54,0.55,0.48,0.51,0.49,0.5,0.52,0.45,0.47,0.52
ENSJHYT00000012140_ENSJHYG00000007879,0.46,0.38,0.56,0.75,0.59,0.74,1.0,0.68,0.6,0.83,0.53,0.51,0.56,0.51,0.59,0.06,0.56,0.63,0.64,0.53,0.61,0.58,0.52,0.5,0.49,0.47,0.43,0.47,0.46,0.46,0.4,0.55,0.53,0.37,0.44,0.56,0.55,0.53,0.52,0.47,0.47,0.43,0.55,0.52,0.52,0.53,0.44,0.52,0.55,0.55,0.43,0.46,0.49,0.45,0.47,0.41,0.43,0.48
ENSFALT00000006426_ENSFALG00000006133,0.41,0.35,0.61,0.67,0.65,0.76,0.68,1.0,0.65,0.68,0.6,0.57,0.49,0.55,0.5,0.1,0.57,0.57,0.63,0.47,0.55,0.62,0.5,0.47,0.46,0.51,0.45,0.51,0.5,0.5,0.4,0.53,0.51,0.37,0.47,0.53,0.49,0.5,0.5,0.53,0.48,0.42,0.52,0.45,0.45,0.5,0.48,0.5,0.52,0.52,0.48,0.5,0.47,0.49,0.51,0.45,0.47,0.5
ENSPMJT00000025080_ENSPMJG00000014392,0.39,0.35,0.73,0.59,0.73,0.67,0.6,0.65,1.0,0.59,0.8,0.78,0.57,0.65,0.64,0.22,0.61,0.58,0.52,0.6,0.6,0.57,0.48,0.54,0.55,0.59,0.47,0.52,0.58,0.58,0.41,0.52,0.51,0.33,0.56,0.52,0.46,0.5,0.5,0.56,0.51,0.43,0.52,0.47,0.47,0.5,0.52,0.5,0.52,0.52,0.54,0.59,0.48,0.57,0.57,0.48,0.49,0.53
ENSLCOT00000017876_ENSLCOG00000012026,0.46,0.37,0.55,0.75,0.59,0.73,0.83,0.68,0.59,1.0,0.53,0.51,0.57,0.51,0.59,0.06,0.56,0.63,0.64,0.53,0.61,0.56,0.52,0.49,0.48,0.46,0.43,0.46,0.46,0.46,0.4,0.55,0.53,0.37,0.44,0.55,0.55,0.52,0.52,0.46,0.46,0.42,0.55,0.52,0.51,0.52,0.44,0.52,0.55,0.54,0.43,0.46,0.49,0.45,0.46,0.41,0.42,0.47
