,ENSMICT00000007507_ENSMICG00000007503,ENSPCOT00000030336_ENSPCOG00000021801,ENSPSMT00000042932_ENSPSMG00000025625,ENSNLET00000001778_ENSNLEG00000001420,ENSNLET00000038974_ENSNLEG00000001420,ENSPPYT00000010029_ENSPPYG00000008589,ENSPTRT00000017597_ENSPTRG00000009598,ENSPTRT00000082974_ENSPTRG00000009598,ENSPPAT00000050707_ENSPPAG00000037000,ENSPPAT00000050711_ENSPPAG00000037000,ENSGGOT00000023341_ENSGGOG00000026659,ENSGGOT00000063162_ENSGGOG00000026659,ENST00000344935_ENSG00000187959,ENST00000397671_ENSG00000187959,ENSRROT00000050864_ENSRROG00000037051,ENSRBIT00000034009_ENSRBIG00000029048,ENSRBIT00000034015_ENSRBIG00000029048,ENSRBIT00000034017_ENSRBIG00000029048,ENSRBIT00000034018_ENSRBIG00000029048,ENSPTET00000002222_ENSPTEG00000001682
ENSMICT00000007507_ENSMICG00000007503,1.0,0.9,0.87,0.87,0.77,0.76,0.87,0.76,0.81,0.76,0.87,0.76,0.87,0.76,0.86,0.85,0.87,0.77,0.85,0.87
ENSPCOT00000030336_ENSPCOG00000021801,0.9,1.0,0.87,0.86,0.75,0.74,0.86,0.74,0.8,0.74,0.86,0.74,0.86,0.74,0.87,0.84,0.87,0.76,0.84,0.87
ENSPSMT00000042932_ENSPSMG00000025625,0.87,0.87,1.0,0.88,0.77,0.77,0.88,0.76,0.81,0.76,0.88,0.77,0.88,0.76,0.88,0.85,0.88,0.77,0.85,0.88
ENSNLET00000001778_ENSNLEG00000001420,0.87,0.86,0.88,1.0,0.84,0.83,0.97,0.82,0.9,0.82,0.97,0.83,0.97,0.82,0.95,0.91,0.95,0.82,0.91,0.96
ENSNLET00000038974_ENSNLEG00000001420,0.77,0.75,0.77,0.84,1.0,0.95,0.82,0.94,0.82,0.95,0.83,0.95,0.82,0.95,0.81,0.82,0.82,0.91,0.82,0.82
ENSPPYT00000010029_ENSPPYG00000008589,0.76,0.74,0.77,0.83,0.95,1.0,0.82,0.96,0.82,0.96,0.83,0.96,0.82,0.96,0.81,0.82,0.82,0.91,0.82,0.82
ENSPTRT00000017597_ENSPTRG00000009598,0.87,0.86,0.88,0.97,0.82,0.82,1.0,0.84,0.91,0.84,0.97,0.83,0.98,0.83,0.95,0.91,0.95,0.81,0.91,0.96
ENSPTRT00000082974_ENSPTRG00000009598,0.76,0.74,0.76,0.82,0.94,0.96,0.84,1.0,0.84,0.98,0.83,0.97,0.83,0.97,0.8,0.8,0.8,0.91,0.8,0.81
ENSPPAT00000050707_ENSPPAG00000037000,0.81,0.8,0.81,0.9,0.82,0.82,0.91,0.84,1.0,0.84,0.9,0.83,0.91,0.83,0.88,0.86,0.89,0.81,0.86,0.89
ENSPPAT00000050711_ENSPPAG00000037000,0.76,0.74,0.76,0.82,0.95,0.96,0.84,0.98,0.84,1.0,0.83,0.97,0.83,0.97,0.8,0.8,0.8,0.91,0.8,0.81
ENSGGOT00000023341_ENSGGOG00000026659,0.87,0.86,0.88,0.97,0.83,0.83,0.97,0.83,0.9,0.83,1.0,0.84,0.97,0.83,0.95,0.91,0.95,0.82,0.91,0.96
ENSGGOT00000063162_ENSGGOG00000026659,0.76,0.74,0.77,0.83,0.95,0.96,0.83,0.97,0.83,0.97,0.84,1.0,0.83,0.97,0.81,0.81,0.81,0.91,0.81,0.81
ENST00000344935_ENSG00000187959,0.87,0.86,0.88,0.97,0.82,0.82,0.98,0.83,0.91,0.83,0.97,0.83,1.0,0.84,0.95,0.91,0.95,0.81,0.91,0.96
ENST00000397671_ENSG00000187959,0.76,0.74,0.76,0.82,0.95,0.96,0.83,0.97,0.83,0.97,0.83,0.97,0.84,1.0,0.8,0.81,0.81,0.91,0.81,0.81
ENSRROT00000050864_ENSRROG00000037051,0.86,0.87,0.88,0.95,0.81,0.81,0.95,0.8,0.88,0.8,0.95,0.81,0.95,0.8,1.0,0.94,0.98,0.84,0.94,0.97
ENSRBIT00000034009_ENSRBIG00000029048,0.85,0.84,0.85,0.91,0.82,0.82,0.91,0.8,0.86,0.8,0.91,0.81,0.91,0.81,0.94,1.0,0.94,0.84,0.94,0.94
ENSRBIT00000034015_ENSRBIG00000029048,0.87,0.87,0.88,0.95,0.82,0.82,0.95,0.8,0.89,0.8,0.95,0.81,0.95,0.81,0.98,0.94,1.0,0.84,0.94,0.98
ENSRBIT00000034017_ENSRBIG00000029048,0.77,0.76,0.77,0.82,0.91,0.91,0.81,0.91,0.81,0.91,0.82,0.91,0.81,0.91,0.84,0.84,0.84,1.0,0.84,0.84
ENSRBIT00000034018_ENSRBIG00000029048,0.85,0.84,0.85,0.91,0.82,0.82,0.91,0.8,0.86,0.8,0.91,0.81,0.91,0.81,0.94,0.94,0.94,0.84,1.0,0.94
ENSPTET00000002222_ENSPTEG00000001682,0.87,0.87,0.88,0.96,0.82,0.82,0.96,0.81,0.89,0.81,0.96,0.81,0.96,0.81,0.97,0.94,0.98,0.84,0.94,1.0
