,ENSVURT00010027382_ENSVURG00010018441,ENSVURT00010001305_ENSVURG00010000981,ENSPCIT00000011176_ENSPCIG00000007318,ENSPCIT00000019615_ENSPCIG00000012313,ENSSHAT00000010491_ENSSHAG00000008977,ENSMODT00000014776_ENSMODG00000011594,ENSMODT00000060757_ENSMODG00000011594,ENSTBET00000010206_ENSTBEG00000010203,ENSEEUT00000015053_ENSEEUG00000015052,ENSPCAT00000015536_ENSPCAG00000015559
ENSVURT00010027382_ENSVURG00010018441,1.0,1.0,0.77,0.72,0.74,0.69,0.71,0.6,0.62,0.6
ENSVURT00010001305_ENSVURG00010000981,1.0,1.0,0.77,0.72,0.74,0.69,0.71,0.6,0.62,0.6
ENSPCIT00000011176_ENSPCIG00000007318,0.77,0.77,1.0,0.78,0.75,0.75,0.75,0.64,0.64,0.61
ENSPCIT00000019615_ENSPCIG00000012313,0.72,0.72,0.78,1.0,0.89,0.89,0.89,0.76,0.72,0.73
ENSSHAT00000010491_ENSSHAG00000008977,0.74,0.74,0.75,0.89,1.0,0.92,0.88,0.79,0.76,0.75
ENSMODT00000014776_ENSMODG00000011594,0.69,0.69,0.75,0.89,0.92,1.0,0.93,0.8,0.76,0.75
ENSMODT00000060757_ENSMODG00000011594,0.71,0.71,0.75,0.89,0.88,0.93,1.0,0.76,0.72,0.72
ENSTBET00000010206_ENSTBEG00000010203,0.6,0.6,0.64,0.76,0.79,0.8,0.76,1.0,0.83,0.81
ENSEEUT00000015053_ENSEEUG00000015052,0.62,0.62,0.64,0.72,0.76,0.76,0.72,0.83,1.0,0.78
ENSPCAT00000015536_ENSPCAG00000015559,0.6,0.6,0.61,0.73,0.75,0.75,0.72,0.81,0.78,1.0
