,FBtr0112465_FBgn0086900,FBtr0077022_FBgn0042118,FBtr0333582_FBgn0042118,FBtr0077021_FBgn0020765,FBtr0076994_FBgn0020644,FBtr0076992_FBgn0020643,FBtr0076995_FBgn0020645,FBtr0077058_FBgn0020638,FBtr0077061_FBgn0086611,FBtr0077059_FBgn0020637,FBtr0077056_FBgn0020640,FBtr0077057_FBgn0020639,FBtr0076991_FBgn0020642,FBtr0333581_FBgn0020641,FBtr0076990_FBgn0020641
FBtr0112465_FBgn0086900,1.0,0.9,0.9,0.46,0.58,0.58,0.5,0.6,0.6,0.61,0.58,0.58,0.64,0.48,0.48
FBtr0077022_FBgn0042118,0.9,1.0,0.9,0.46,0.58,0.58,0.5,0.6,0.6,0.61,0.58,0.58,0.64,0.48,0.48
FBtr0333582_FBgn0042118,0.9,0.9,1.0,0.46,0.58,0.58,0.5,0.6,0.6,0.61,0.58,0.58,0.64,0.48,0.48
FBtr0077021_FBgn0020765,0.46,0.46,0.46,1.0,0.46,0.46,0.39,0.41,0.42,0.41,0.45,0.45,0.45,0.47,0.47
FBtr0076994_FBgn0020644,0.58,0.58,0.58,0.46,1.0,0.9,0.51,0.55,0.54,0.54,0.55,0.59,0.58,0.46,0.46
FBtr0076992_FBgn0020643,0.58,0.58,0.58,0.46,0.9,1.0,0.51,0.55,0.54,0.54,0.55,0.59,0.58,0.46,0.46
FBtr0076995_FBgn0020645,0.5,0.5,0.5,0.39,0.51,0.51,1.0,0.48,0.48,0.48,0.46,0.52,0.53,0.41,0.41
FBtr0077058_FBgn0020638,0.6,0.6,0.6,0.41,0.55,0.55,0.48,1.0,0.89,0.89,0.65,0.66,0.58,0.48,0.48
FBtr0077061_FBgn0086611,0.6,0.6,0.6,0.42,0.54,0.54,0.48,0.89,1.0,0.89,0.65,0.65,0.59,0.48,0.48
FBtr0077059_FBgn0020637,0.61,0.61,0.61,0.41,0.54,0.54,0.48,0.89,0.89,1.0,0.65,0.66,0.59,0.47,0.47
FBtr0077056_FBgn0020640,0.58,0.58,0.58,0.45,0.55,0.55,0.46,0.65,0.65,0.65,1.0,0.63,0.58,0.48,0.48
FBtr0077057_FBgn0020639,0.58,0.58,0.58,0.45,0.59,0.59,0.52,0.66,0.65,0.66,0.63,1.0,0.61,0.47,0.47
FBtr0076991_FBgn0020642,0.64,0.64,0.64,0.45,0.58,0.58,0.53,0.58,0.59,0.59,0.58,0.61,1.0,0.54,0.54
FBtr0333581_FBgn0020641,0.48,0.48,0.48,0.47,0.46,0.46,0.41,0.48,0.48,0.47,0.48,0.47,0.54,1.0,1.0
FBtr0076990_FBgn0020641,0.48,0.48,0.48,0.47,0.46,0.46,0.41,0.48,0.48,0.47,0.48,0.47,0.54,1.0,1.0
