,ENSPTRT00000107405_ENSPTRG00000050684,ENSPPAT00000056220_ENSPPAG00000039531,ENSGGOT00000022479_ENSGGOG00000024027,ENSMMUT00000011788_ENSMMUG00000008431,ENSMMUT00000066226_ENSMMUG00000008431,ENSRBIT00000058968_ENSRBIG00000041113,ENSPSMT00000004379_ENSPSMG00000002903,ENSOPRT00000012210_ENSOPRG00000012212,ENSCCNT00000008570_ENSCCNG00000006905,ENSDORT00000008931_ENSDORG00000008930
ENSPTRT00000107405_ENSPTRG00000050684,1.0,1.0,0.78,0.8,0.8,0.8,0.78,1e-18,0.75,0.75
ENSPPAT00000056220_ENSPPAG00000039531,1.0,1.0,0.78,0.8,0.8,0.8,0.78,1e-18,0.75,0.75
ENSGGOT00000022479_ENSGGOG00000024027,0.78,0.78,1.0,0.79,0.79,0.79,0.77,1e-18,0.74,0.74
ENSMMUT00000011788_ENSMMUG00000008431,0.8,0.8,0.79,1.0,0.9,0.92,0.94,0.72,0.85,0.9
ENSMMUT00000066226_ENSMMUG00000008431,0.8,0.8,0.79,0.9,1.0,0.9,0.9,0.71,0.89,0.87
ENSRBIT00000058968_ENSRBIG00000041113,0.8,0.8,0.79,0.92,0.9,1.0,0.92,0.71,0.83,0.89
ENSPSMT00000004379_ENSPSMG00000002903,0.78,0.78,0.77,0.94,0.9,0.92,1.0,0.73,0.85,0.92
ENSOPRT00000012210_ENSOPRG00000012212,1e-18,1e-18,1e-18,0.72,0.71,0.71,0.73,1.0,0.64,0.73
ENSCCNT00000008570_ENSCCNG00000006905,0.75,0.75,0.74,0.85,0.89,0.83,0.85,0.64,1.0,0.85
ENSDORT00000008931_ENSDORG00000008930,0.75,0.75,0.74,0.9,0.87,0.89,0.92,0.73,0.85,1.0
