>0
FBtr0344198: ['no event', 366, 0]
FBtr0100501: ['no event', 366, 0]
FBtr0085830: ['exon skipping', 0, 0]
FBtr0085827: ['exon skipping', 0, 0]
FBtr0303228: ['exon skipping', 0, 0]
FBtr0303227: ['exon skipping', 0, 0]
FBtr0085828: ['exon skipping', 0, 0]
FBtr0085826: ['exon skipping', 0, 0]
FBtr0085825: ['exon skipping', 0, 0]
FBtr0085829: ['exon skipping', 0, 0]
>1
FBtr0344198: ['exon skipping', 0, 0]
FBtr0100501: ['exon skipping', 0, 0]
FBtr0085830: ['5event', 143, 0]
FBtr0085827: ['5event', 143, 0]
FBtr0303228: ['5event', 143, 0]
FBtr0303227: ['5event', 143, 0]
FBtr0085828: ['5event', 143, 0]
FBtr0085826: ['5event', 143, 0]
FBtr0085825: ['5event', 143, 0]
FBtr0085829: ['5event', 143, 0]
>2
FBtr0344198: ['5event', 2244, 1]
FBtr0100501: ['5event', 2244, 1]
FBtr0085830: ['exon skipping', 0, 0]
FBtr0085827: ['exon skipping', 0, 0]
FBtr0303228: ['exon skipping', 0, 0]
FBtr0303227: ['exon skipping', 0, 0]
FBtr0085828: ['exon skipping', 0, 0]
FBtr0085826: ['exon skipping', 0, 0]
FBtr0085825: ['exon skipping', 0, 0]
FBtr0085829: ['exon skipping', 0, 0]
>3
FBtr0344198: ['exon skipping', 0, 0]
FBtr0100501: ['exon skipping', 0, 0]
FBtr0085830: ['5event', 632, 0]
FBtr0085827: ['5event', 632, 0]
FBtr0303228: ['5event', 632, 0]
FBtr0303227: ['5event', 632, 0]
FBtr0085828: ['5event', 632, 0]
FBtr0085826: ['5event', 632, 0]
FBtr0085825: ['5event', 632, 0]
FBtr0085829: ['5event', 632, 0]
>4
FBtr0344198: ['exon skipping', 0, 0]
FBtr0100501: ['5event', 33, 2]
FBtr0085830: ['exon skipping', 0, 0]
FBtr0085827: ['exon skipping', 0, 0]
FBtr0303228: ['exon skipping', 0, 0]
FBtr0303227: ['exon skipping', 0, 0]
FBtr0085828: ['exon skipping', 0, 0]
FBtr0085826: ['exon skipping', 0, 0]
FBtr0085825: ['exon skipping', 0, 0]
FBtr0085829: ['exon skipping', 0, 0]
>5
FBtr0344198: ['exon skipping', 0, 0]
FBtr0100501: ['exon skipping', 0, 0]
FBtr0085830: ['5event', 87, 0]
FBtr0085827: ['5event', 87, 0]
FBtr0303228: ['5event', 87, 0]
FBtr0303227: ['5event', 87, 0]
FBtr0085828: ['5event', 87, 0]
FBtr0085826: ['5event', 87, 0]
FBtr0085825: ['5event', 87, 0]
FBtr0085829: ['5event', 87, 0]
>6
FBtr0344198: ['5event', 6, 2]
FBtr0100501: ['exon skipping', 0, 0]
FBtr0085830: ['exon skipping', 0, 0]
FBtr0085827: ['exon skipping', 0, 0]
FBtr0303228: ['exon skipping', 0, 0]
FBtr0303227: ['exon skipping', 0, 0]
FBtr0085828: ['exon skipping', 0, 0]
FBtr0085826: ['exon skipping', 0, 0]
FBtr0085825: ['exon skipping', 0, 0]
FBtr0085829: ['exon skipping', 0, 0]
>7
FBtr0344198: ['exon skipping', 0, 0]
FBtr0100501: ['exon skipping', 0, 0]
FBtr0085830: ['5event', 1063, 1]
FBtr0085827: ['exon skipping', 0, 0]
FBtr0303228: ['5event', 1063, 1]
FBtr0303227: ['exon skipping', 0, 0]
FBtr0085828: ['5event', 1063, 1]
FBtr0085826: ['5event', 1063, 1]
FBtr0085825: ['exon skipping', 0, 0]
FBtr0085829: ['exon skipping', 0, 0]
>8
FBtr0344198: ['exon skipping', 0, 0]
FBtr0100501: ['exon skipping', 0, 0]
FBtr0085830: ['exon skipping', 0, 0]
FBtr0085827: ['5event', 1573, 1]
FBtr0303228: ['exon skipping', 0, 0]
FBtr0303227: ['5event', 1573, 1]
FBtr0085828: ['exon skipping', 0, 0]
FBtr0085826: ['exon skipping', 0, 0]
FBtr0085825: ['5event', 1573, 1]
FBtr0085829: ['5event', 1573, 1]
