>0
ENSMUST00000225144: [['internal gap >= 30', 502, 587], 512, 0]
ENSMUST00000178828: [['internal gap >= 30', 502, 587], 512, 0]
ENSMUST00000190512: [['internal gap >= 30', 269, 584], 515, 0]
ENSMUST00000178510: [['internal gap >= 30', 269, 584], 515, 0]
ENSMUST00000187530: [['internal gap >= 30', 269, 584], 515, 0]
ENSMUST00000179502: [['internal gap >= 30', 269, 584], 515, 0]
ENSMUST00000225683: [['internal gap >= 30', 334, 590], 509, 0]
ENSMUST00000179071: [['internal gap >= 30', 334, 590], 509, 0]
ENSMUST00000181748: [['internal gap >= 30', 269, 584], 515, 0]
ENSMUST00000179905: [['internal gap >= 30', 269, 584], 515, 0]
ENSMSIT00000030641: [['internal gap >= 30', 269, 584], 515, 0]
ENSMSIT00000009466: [['internal gap >= 30', 502, 590], 509, 0]
ENSMUST00000223967: [['internal gap >= 30', 502, 590], 509, 0]
ENSMUST00000178349: [['internal gap >= 30', 502, 590], 509, 0]
ENSMUST00000225029: [['internal gap >= 30', 493, 596], 503, 0]
ENSMUST00000081558: [['internal gap >= 30', 493, 596], 503, 0]
ENSMSIT00000000018: [['internal gap >= 30', 493, 596], 503, 0]
ENSMUST00000080505: [['internal gap >= 30', 269, 584], 515, 0]
ENSMUST00000180768: [['internal gap >= 30', 269, 584], 515, 0]
MGP_SPRETEiJ_T0039238: ['3event', 501, 0]
ENSMSIT00000037107: [['internal gap >= 30', 318, 593], 506, 0]
ENSMUST00000195797: ['3event', 456, 0]
ENSMUST00000225881: ['3event', 456, 0]
ENSMUST00000177561: ['3event', 456, 0]
ENSMSIT00000037459: ['3event', 459, 0]
ENSRNOT00000077415: ['3event', 450, 0]
ENSMUST00000195234: ['3event', '5event', 492, 0]
ENSMUST00000179455: ['3event', '5event', 492, 0]
ENSMUST00000223770: ['5event', ['internal gap >= 30', 309, 605], 494, 0]
ENSMUST00000079524: ['3event', '5event', 489, 0]
MGP_SPRETEiJ_T0037253: ['3event', '5event', 489, 0]
ENSMSIT00000002823: ['3event', '5event', 492, 0]
MGP_CAROLIEiJ_T0035572: ['3event', '5event', 492, 0]
MGP_CAROLIEiJ_T0035573: ['3event', '5event', 492, 0]
MGP_CAROLIEiJ_T0035571: ['3event', '5event', 492, 0]
MGP_PahariEiJ_T0027219: ['3event', '5event', 501, 0]
MGP_PahariEiJ_T0027220: ['3event', '5event', 501, 0]
MGP_PahariEiJ_T0027221: ['3event', '5event', 501, 0]
>1
ENSMUST00000225144: ['exon skipping', 0, 0]
ENSMUST00000178828: ['exon skipping', 0, 0]
ENSMUST00000190512: ['exon skipping', 0, 0]
ENSMUST00000178510: ['exon skipping', 0, 0]
ENSMUST00000187530: ['exon skipping', 0, 0]
ENSMUST00000179502: ['exon skipping', 0, 0]
ENSMUST00000225683: ['exon skipping', 0, 0]
ENSMUST00000179071: ['exon skipping', 0, 0]
ENSMUST00000181748: ['exon skipping', 0, 0]
ENSMUST00000179905: ['exon skipping', 0, 0]
ENSMSIT00000030641: ['exon skipping', 0, 0]
ENSMSIT00000009466: ['exon skipping', 0, 0]
ENSMUST00000223967: ['exon skipping', 0, 0]
ENSMUST00000178349: ['exon skipping', 0, 0]
ENSMUST00000225029: ['exon skipping', 0, 0]
ENSMUST00000081558: ['exon skipping', 0, 0]
ENSMSIT00000000018: ['exon skipping', 0, 0]
