>0
ENSMFAT00000057981: [['internal gap >= 30', 22, 57], 1391, 0]
ENSMNET00000021881: [['internal gap >= 30', 22, 57], 1391, 0]
ENSMMUT00000022042: [['internal gap >= 30', 22, 57], 1391, 0]
ENSMLET00000028777: [['internal gap >= 30', 22, 57], 1391, 0]
ENSCATT00000026317: [['internal gap >= 30', 22, 57], 1391, 0]
ENSTGET00000032666: [['internal gap >= 30', 22, 57], 1391, 0]
ENSPANT00000018097: [['internal gap >= 30', 22, 57], 1391, 0]
ENSCSAT00000019567: [['internal gap >= 30', 22, 57], 1391, 0]
ENSPTET00000030667: [['internal gap >= 30', 22, 57], 1391, 0]
ENST00000371126: [['internal gap >= 30', 22, 57], 1391, 0]
ENSPTRT00000042258: [['internal gap >= 30', 22, 57], 1391, 0]
ENSPPAT00000028421: [['internal gap >= 30', 22, 57], 1391, 0]
ENSPPYT00000024142: [['internal gap >= 30', 22, 57], 1391, 0]
ENSNLET00000019341: [['internal gap >= 30', 22, 57], 1391, 0]
ENSCSAT00000016426: [['internal gap >= 30', 25, 54], 1394, 0]
ENSFCAT00000055676: [['internal gap >= 30', 67, 75], 1373, 0]
