>0
ENSCCNT00000020762: ['3event', 142, 0]
ENSCCNT00000020787: ['no event', 162, 0]
ENSDORT00000033915: ['no event', 162, 0]
ENSJJAT00000015249: ['3event', 142, 0]
ENSUPAT00010011395: ['3event', 142, 0]
ENSUPAT00010011427: ['no event', 162, 0]
ENSSTOT00000038696: ['3event', 142, 0]
ENSSTOT00000010118: ['no event', 162, 0]
>1
ENSCCNT00000020762: ['5event', 190, 1]
ENSCCNT00000020787: ['no event', 191, 1]
ENSDORT00000033915: ['no event', 191, 1]
ENSJJAT00000015249: ['5event', 190, 1]
ENSUPAT00010011395: ['5event', 190, 1]
ENSUPAT00010011427: ['no event', 191, 1]
ENSSTOT00000038696: ['5event', 190, 1]
ENSSTOT00000010118: ['no event', 191, 1]
>2
ENSCCNT00000020762: ['no event', 106, 0]
ENSCCNT00000020787: ['no event', 106, 0]
ENSDORT00000033915: ['no event', 106, 0]
ENSJJAT00000015249: ['no event', 106, 0]
ENSUPAT00010011395: ['no event', 106, 0]
ENSUPAT00010011427: ['no event', 106, 0]
ENSSTOT00000038696: ['no event', 106, 0]
ENSSTOT00000010118: ['no event', 106, 0]
>3
ENSCCNT00000020762: ['no event', 105, 2]
ENSCCNT00000020787: ['exon skipping', 0, 0]
ENSDORT00000033915: ['no event', 105, 2]
ENSJJAT00000015249: ['no event', 105, 2]
ENSUPAT00010011395: ['no event', 105, 2]
ENSUPAT00010011427: ['exon skipping', 0, 0]
ENSSTOT00000038696: ['no event', 105, 2]
ENSSTOT00000010118: ['exon skipping', 0, 0]
>4
ENSCCNT00000020762: ['no event', 55, 0]
ENSCCNT00000020787: ['5event', 52, 2]
ENSDORT00000033915: ['no event', 55, 0]
ENSJJAT00000015249: ['no event', 55, 0]
ENSUPAT00010011395: ['no event', 55, 0]
ENSUPAT00010011427: ['5event', 52, 2]
ENSSTOT00000038696: ['no event', 55, 0]
ENSSTOT00000010118: ['5event', 52, 2]
>5
ENSCCNT00000020762: ['no event', 90, 2]
ENSCCNT00000020787: ['no event', 90, 1]
ENSDORT00000033915: ['no event', 90, 2]
ENSJJAT00000015249: ['no event', 90, 2]
ENSUPAT00010011395: ['no event', 90, 2]
ENSUPAT00010011427: ['no event', 90, 1]
ENSSTOT00000038696: ['no event', 90, 2]
ENSSTOT00000010118: ['no event', 90, 1]
>6
ENSCCNT00000020762: ['no event', 143, 0]
ENSCCNT00000020787: ['3event', 114, 2]
ENSDORT00000033915: ['no event', 143, 0]
ENSJJAT00000015249: ['no event', 143, 0]
ENSUPAT00010011395: ['no event', 143, 0]
ENSUPAT00010011427: ['3event', 114, 2]
ENSSTOT00000038696: ['no event', 143, 0]
ENSSTOT00000010118: ['3event', 114, 2]
