,ENST00000335021,ENSCSAT00000015062,ENSCATT00000014734,ENST00000355602,ENSNLET00000059391,ENSPTRT00000036997,ENSGGOT00000003657,ENSMFAT00000015865,ENSMMUT00000102797,ENSPANT00000017760,ENSMNET00000036347,ENSNLET00000047370
ENST00000335021,1.0,0.9480122324159022,0.9418429003021148,1.0,0.9667924528301887,0.9781461944235117,0.9615384615384616,0.9418429003021148,0.9418429003021148,0.9418429003021148,0.9418429003021148,0.959214501510574
ENSCSAT00000015062,0.9480122324159022,1.0,0.9610091743119266,0.9480122324159022,0.9663865546218487,0.9534706331045004,0.9610687022900763,0.9610091743119266,0.9610091743119266,0.9610091743119266,0.9610091743119266,0.9587155963302753
ENSCATT00000014734,0.9418429003021148,0.9610091743119266,1.0,0.9418429003021148,0.96,0.947249434815373,0.9547511312217195,1.0,1.0,1.0,1.0,0.953857791225416
ENST00000355602,1.0,0.9480122324159022,0.9418429003021148,1.0,0.9667924528301887,0.9781461944235117,0.9615384615384616,0.9418429003021148,0.9418429003021148,0.9418429003021148,0.9418429003021148,0.959214501510574
ENSNLET00000059391,0.9667924528301887,0.9663865546218487,0.96,0.9667924528301887,1.0,0.972871137905049,0.9803921568627451,0.96,0.96,0.96,0.96,0.9916981132075472
ENSPTRT00000036997,0.9781461944235117,0.9534706331045004,0.947249434815373,0.9781461944235117,0.972871137905049,1.0,0.9683496608892238,0.947249434815373,0.947249434815373,0.947249434815373,0.947249434815373,0.9645817633760362
ENSGGOT00000003657,0.9615384615384616,0.9610687022900763,0.9547511312217195,0.9615384615384616,0.9803921568627451,0.9683496608892238,1.0,0.9547511312217195,0.9547511312217195,0.9547511312217195,0.9547511312217195,0.9720965309200603
ENSMFAT00000015865,0.9418429003021148,0.9610091743119266,1.0,0.9418429003021148,0.96,0.947249434815373,0.9547511312217195,1.0,1.0,1.0,1.0,0.953857791225416
ENSMMUT00000102797,0.9418429003021148,0.9610091743119266,1.0,0.9418429003021148,0.96,0.947249434815373,0.9547511312217195,1.0,1.0,1.0,1.0,0.953857791225416
ENSPANT00000017760,0.9418429003021148,0.9610091743119266,1.0,0.9418429003021148,0.96,0.947249434815373,0.9547511312217195,1.0,1.0,1.0,1.0,0.953857791225416
ENSMNET00000036347,0.9418429003021148,0.9610091743119266,1.0,0.9418429003021148,0.96,0.947249434815373,0.9547511312217195,1.0,1.0,1.0,1.0,0.953857791225416
ENSNLET00000047370,0.959214501510574,0.9587155963302753,0.953857791225416,0.959214501510574,0.9916981132075472,0.9645817633760362,0.9720965309200603,0.953857791225416,0.953857791225416,0.953857791225416,0.953857791225416,1.0
