,ENSCHAT00000045381,ENSCHAT00000044849,ENSCHAT00000045301,ENSCHAT00000045025,ENSDCDT00000045843,ENSDCDT00000045834,ENSDCDT00000045265,ENSDCDT00000045855,ENSCHAT00000044856,ENSCHAT00000045220,ENSCHAT00000044291,ENSDCDT00000045828
ENSCHAT00000045381,1.0,1.0,1.0,1.0,0.8029766123316796,0.8029766123316796,0.8053173241852487,0.8046261875258158,1.0,1.0,1.0,0.8029766123316796
ENSCHAT00000044849,1.0,1.0,1.0,1.0,0.7839987523393637,0.783157894736842,0.7848333333333334,0.7829494561740243,1.0,1.0,1.0,0.7839987523393637
ENSCHAT00000045301,1.0,1.0,1.0,1.0,0.7692985677561514,0.7685076380728555,0.783866435242582,0.7703811641997086,1.0,1.0,1.0,0.7692985677561514
ENSCHAT00000045025,1.0,1.0,1.0,1.0,0.7776832004952411,0.7772972972972974,0.7734551924943384,0.7786570555512027,1.0,1.0,1.0,0.7776832004952411
ENSDCDT00000045843,0.8029766123316796,0.7839987523393637,0.7692985677561514,0.7776832004952411,1.0,1.0,1.0,1.0,0.770535914492862,0.7656922067507472,0.7722844029309929,1.0
ENSDCDT00000045834,0.8029766123316796,0.783157894736842,0.7685076380728555,0.7772972972972974,1.0,1.0,1.0,1.0,0.7697309417040359,0.7649025879616167,0.7718945846054958,1.0
ENSDCDT00000045265,0.8053173241852487,0.7848333333333334,0.783866435242582,0.7734551924943384,1.0,1.0,1.0,1.0,0.7848333333333334,0.7796388593839366,0.7883649184662848,1.0
ENSDCDT00000045855,0.8046261875258158,0.7829494561740243,0.7703811641997086,0.7786570555512027,1.0,1.0,1.0,1.0,0.7692013170993185,0.7666083250894148,0.7723293888798833,1.0
ENSCHAT00000044856,1.0,1.0,1.0,1.0,0.770535914492862,0.7697309417040359,0.7848333333333334,0.7692013170993185,1.0,1.0,1.0,0.770535914492862
ENSCHAT00000045220,1.0,1.0,1.0,1.0,0.7656922067507472,0.7649025879616167,0.7796388593839366,0.7666083250894148,1.0,1.0,1.0,0.7656922067507472
ENSCHAT00000044291,1.0,1.0,1.0,1.0,0.7722844029309929,0.7718945846054958,0.7883649184662848,0.7723293888798833,1.0,1.0,1.0,0.7722844029309929
ENSDCDT00000045828,0.8029766123316796,0.7839987523393637,0.7692985677561514,0.7776832004952411,1.0,1.0,1.0,1.0,0.770535914492862,0.7656922067507472,0.7722844029309929,1.0
