,ENSVURT00010001305,ENSMODT00000014776,ENSVURT00010027382,ENSSHAT00000010491,ENSPCIT00000011176,ENSEEUT00000015053,ENSPCIT00000019615,ENSPCAT00000015536,ENSTBET00000010206,ENSMODT00000060757
ENSVURT00010001305,1.0,0.8640973630831643,0.9949238578680203,0.9249492900608519,0.9614074914869466,0.7789046653144016,0.9051724137931034,0.7505070993914807,0.7525354969574036,0.8686274509803922
ENSMODT00000014776,0.8640973630831643,1.0,0.8640973630831643,0.9304799604156359,0.9035532994923858,0.7768789144050104,0.9225691799949226,0.7846747846747847,0.7942130207034173,1.0
ENSVURT00010027382,0.9949238578680203,0.8640973630831643,1.0,0.9249492900608519,0.9614074914869466,0.7789046653144016,0.9051724137931034,0.7505070993914807,0.7525354969574036,0.8686274509803922
ENSSHAT00000010491,0.9249492900608519,0.9304799604156359,0.9249492900608519,1.0,0.9111675126903553,0.7829255596043727,0.9276466108149276,0.7896142433234421,0.7901142573273721,0.9295915810573792
ENSPCIT00000011176,0.9614074914869466,0.9035532994923858,0.9614074914869466,0.9111675126903553,1.0,0.7741116751269036,0.9358288770053476,0.7556818181818182,0.7749576988155669,0.9035532994923858
ENSEEUT00000015053,0.7789046653144016,0.7768789144050104,0.7789046653144016,0.7829255596043727,0.7741116751269036,1.0,0.7560845145760898,0.8657187993680885,0.8852201257861635,0.7801324503311259
ENSPCIT00000019615,0.9051724137931034,0.9225691799949226,0.9051724137931034,0.9276466108149276,0.9358288770053476,0.7560845145760898,1.0,0.7841396203306797,0.7740948495665477,0.9225691799949226
ENSPCAT00000015536,0.7505070993914807,0.7846747846747847,0.7505070993914807,0.7896142433234421,0.7556818181818182,0.8657187993680885,0.7841396203306797,1.0,0.8755223880597015,0.7885196374622356
ENSTBET00000010206,0.7525354969574036,0.7942130207034173,0.7525354969574036,0.7901142573273721,0.7749576988155669,0.8852201257861635,0.7740948495665477,0.8755223880597015,1.0,0.7963617988883275
ENSMODT00000060757,0.8686274509803922,1.0,0.8686274509803922,0.9295915810573792,0.9035532994923858,0.7801324503311259,0.9225691799949226,0.7885196374622356,0.7963617988883275,1.0
