	ENSSSCT00000083027	ENSEBUT00000006494	ENSCHIT00000024705	ENSTTRT00000009051	ENSEBUT00000006554	ENSEBUT00000006466	ENSVPAT00000010230	ENSCHIT00000024688	ENSSSCT00000029915	ENSEBUT00000006526	ENSOART00000007119
ENSSSCT00000083027	1.0	0.4513417394115745	0.905410542321338	0.9227224151749932	0.4470680124969959	0.4435066535239034	0.9177930133855696	0.8882010196649672	1.0	0.4355984822352536	0.9078124031968281
ENSEBUT00000006494	0.4513417394115745	1.0	0.4606691067873885	0.4520761362866626	1.0	1.0	0.4475400118553645	0.4575114283925105	0.4415519577776192	1.0	0.4566973511177908
ENSCHIT00000024705	0.905410542321338	0.4606691067873885	1.0	0.9170094201937109	0.4582736389684814	0.4543451652386781	0.9043961009618487	1.0	0.9087082528291472	0.4488118879682257	0.9922580645161292
ENSTTRT00000009051	0.9227224151749932	0.4520761362866626	0.9170094201937109	1.0	0.4456780830510601	0.4454603992273021	0.9410141428078648	0.9161444537760838	0.9244109468754572	0.4388457913434352	0.9180221631780184
ENSEBUT00000006554	0.4470680124969959	1.0	0.4582736389684814	0.4456780830510601	1.0	1.0	0.4459723750152793	0.4553883834849546	0.4376315789473684	1.0	0.4548052250991369
ENSEBUT00000006466	0.4435066535239034	1.0	0.4543451652386781	0.4454603992273021	1.0	1.0	0.4426959247648903	0.4514818355640535	0.4334595618068704	1.0	0.4508843212237094
ENSVPAT00000010230	0.9177930133855696	0.4475400118553645	0.9043961009618487	0.9410141428078648	0.4459723750152793	0.4426959247648903	1.0	0.9043155510820332	0.9190520379755872	0.4402760099149192	0.906108026249369
ENSCHIT00000024688	0.8882010196649672	0.4575114283925105	1.0	0.9161444537760838	0.4553883834849546	0.4514818355640535	0.9043155510820332	1.0	0.9085050681345236	0.4457630508700581	0.9924460431654676
ENSSSCT00000029915	1.0	0.4415519577776192	0.9087082528291472	0.9244109468754572	0.4376315789473684	0.4334595618068704	0.9190520379755872	0.9085050681345236	1.0	0.4233392077235461	0.9109270854372854
ENSEBUT00000006526	0.4355984822352536	1.0	0.4488118879682257	0.4388457913434352	1.0	1.0	0.4402760099149192	0.4457630508700581	0.4233392077235461	1.0	0.4450963397559837
ENSOART00000007119	0.9078124031968281	0.4566973511177908	0.9922580645161292	0.9180221631780184	0.4548052250991369	0.4508843212237094	0.906108026249369	0.9924460431654676	0.9109270854372854	0.4450963397559837	1.0
