	ENSCHAT00000067512	ENSCHAT00000067516	ENSCHAT00000067519	ENSCHAT00000067518	ENSCHAT00000067498	ENSDCDT00000065146	ENSDCDT00000065000	ENSCHAT00000067494	ENSDCDT00000065023	ENSDCDT00000065009	ENSAMXT00000005355	ENSDCDT00000065148	ENSDCDT00000064964	ENSDCDT00000065027	ENSDCDT00000065170	ENSDCDT00000064947	ENSCHAT00000067503	ENSCHAT00000067508	ENSCHAT00000067509	ENSDCDT00000064982
ENSCHAT00000067512	1.0	1.0	1.0	1.0	1.0	0.7052739008109449	0.7078466606768493	1.0	0.7084157779776435	0.7078466606768493	0.644751955368375	0.7072767982087881	0.7078466606768493	0.7123435810288893	0.7052610314276644	0.7078466606768493	1.0	1.0	1.0	0.7078466606768493
ENSCHAT00000067516	1.0	1.0	1.0	1.0	1.0	0.7097559472451621	0.713128038897893	1.0	0.7138580246913581	0.713128038897893	0.6599796699354221	0.7109404388714734	0.713128038897893	0.718773373223635	0.7112506341958397	0.713128038897893	1.0	1.0	1.0	0.713128038897893
ENSCHAT00000067519	1.0	1.0	1.0	1.0	1.0	0.7048473967684021	0.7095763864722073	1.0	0.7103690570002626	0.7095763864722073	0.6599044973627539	0.7048473967684021	0.7095763864722073	0.7153955034727937	0.7055010910985897	0.7095763864722073	1.0	1.0	1.0	0.7095763864722073
ENSCHAT00000067518	1.0	1.0	1.0	1.0	1.0	0.7093485980164075	0.714597711190705	1.0	0.7154995781607808	0.714597711190705	0.6599340123368239	0.7093485980164075	0.714597711190705	0.7201232218900063	0.7101767856589988	0.7144067078851529	1.0	1.0	1.0	0.7144067078851529
ENSCHAT00000067498	1.0	1.0	1.0	1.0	1.0	0.7124043283188176	0.714951528709918	1.0	0.7156780574247468	0.7145394326309221	0.6505047856299987	0.7144195257720922	0.714951528709918	0.7190622217825698	0.7127070300658638	0.71478905255501	1.0	1.0	1.0	0.7143826322930801
ENSDCDT00000065146	0.7052739008109449	0.7097559472451621	0.7048473967684021	0.7093485980164075	0.7124043283188176	1.0	1.0	0.7124043283188176	1.0	1.0	0.6510265718905397	1.0	1.0	1.0	1.0	1.0	0.7124043283188176	0.7068689655172414	0.7124043283188176	1.0
ENSDCDT00000065000	0.7078466606768493	0.713128038897893	0.7095763864722073	0.714597711190705	0.714951528709918	1.0	1.0	0.714951528709918	1.0	1.0	0.6447029147982063	1.0	1.0	1.0	1.0	1.0	0.7145394326309221	0.7101909284745106	0.7145394326309221	1.0
ENSCHAT00000067494	1.0	1.0	1.0	1.0	1.0	0.7124043283188176	0.714951528709918	1.0	0.7151340148569033	0.7140256709451576	0.6505047856299987	0.7144195257720922	0.7144412191582002	0.7184046131667468	0.7135459253202507	0.7142952009916771	1.0	1.0	1.0	0.7138857272934214
ENSDCDT00000065023	0.7084157779776435	0.7138580246913581	0.7103690570002626	0.7154995781607808	0.7156780574247468	1.0	1.0	0.7151340148569033	1.0	1.0	0.6482472802624762	1.0	1.0	1.0	1.0	1.0	0.7147276782502339	0.7103842335907803	0.7147276782502339	1.0
ENSDCDT00000065009	0.7078466606768493	0.713128038897893	0.7095763864722073	0.714597711190705	0.7145394326309221	1.0	1.0	0.7140256709451576	1.0	1.0	0.6447029147982063	1.0	1.0	1.0	1.0	1.0	0.7140256709451576	0.7092210628488231	0.7140256709451576	1.0
