,ENSCSAVT00000013927,ENSCSAVT00000013926,ENSCSAVT00000013925,ENSCSAVT00000013924,Y39D8C.1.1,ENSCSAVT00000013922,ENSCSAVT00000013921,FBtr0332306,FBtr0075195,FBtr0332307,FBtr0332489,FBtr0332488,ENSCSAVT00000013923,FBtr0306679
ENSCSAVT00000013927,1.0,0.9998017151638329,1.0,1.0,0.3911460111528394,1.0,1.0,0.36302715193529744,0.35416666666666674,0.36302715193529744,0.3854156990246168,0.3854156990246168,1.0,0.3854156990246168
ENSCSAVT00000013926,0.9998017151638329,1.0,0.9998065343038862,0.9998026056060008,0.39049468753570205,0.9997986965602275,0.999797770418868,0.36440776473323266,0.35416666666666674,0.36440776473323266,0.3846081029912911,0.3846081029912911,0.9997661570839789,0.3846081029912911
ENSCSAVT00000013925,1.0,0.9998065343038862,1.0,1.0,0.38597757299877866,1.0,1.0,0.35955823750426963,0.35416666666666674,0.35955823750426963,0.38387662757410657,0.3834211255891322,1.0,0.38387662757410657
ENSCSAVT00000013924,1.0,0.9998026056060008,1.0,1.0,0.3896652766820692,1.0,1.0,0.35955823750426963,0.35416666666666674,0.35955823750426963,0.38147779687076055,0.3810299574622138,1.0,0.38147779687076055
Y39D8C.1.1,0.3911460111528394,0.39049468753570205,0.38597757299877866,0.3896652766820692,1.0,0.3910382261231089,0.3896652766820692,0.36234021632251723,0.0,0.36234021632251723,0.3771373679154659,0.3761785645564749,0.400925694270703,0.3771373679154659
ENSCSAVT00000013922,1.0,0.9997986965602275,1.0,1.0,0.3910382261231089,1.0,1.0,0.36475220009263554,0.34708737864077666,0.36475220009263554,0.38207112585222036,0.38207112585222036,1.0,0.38207112585222036
ENSCSAVT00000013921,1.0,0.999797770418868,1.0,1.0,0.3896652766820692,1.0,1.0,0.35955823750426963,0.35416666666666674,0.35955823750426963,0.38147779687076055,0.3810299574622138,1.0,0.38147779687076055
FBtr0332306,0.36302715193529744,0.36440776473323266,0.35955823750426963,0.35955823750426963,0.36234021632251723,0.36475220009263554,0.35955823750426963,1.0,0.30343082114735664,1.0,0.38946645437232674,0.38946645437232674,0.35955823750426963,0.38946645437232674
FBtr0075195,0.35416666666666674,0.35416666666666674,0.35416666666666674,0.35416666666666674,0.0,0.34708737864077666,0.35416666666666674,0.30343082114735664,1.0,0.30343082114735664,0.48821577469582234,0.48821577469582234,0.35416666666666674,0.48821577469582234
FBtr0332307,0.36302715193529744,0.36440776473323266,0.35955823750426963,0.35955823750426963,0.36234021632251723,0.36475220009263554,0.35955823750426963,1.0,0.30343082114735664,1.0,0.38946645437232674,0.38946645437232674,0.35955823750426963,0.38946645437232674
FBtr0332489,0.3854156990246168,0.3846081029912911,0.38387662757410657,0.38147779687076055,0.3771373679154659,0.38207112585222036,0.38147779687076055,0.38946645437232674,0.48821577469582234,0.38946645437232674,1.0,1.0,0.38147779687076055,1.0
FBtr0332488,0.3854156990246168,0.3846081029912911,0.3834211255891322,0.3810299574622138,0.3761785645564749,0.38207112585222036,0.3810299574622138,0.38946645437232674,0.48821577469582234,0.38946645437232674,1.0,1.0,0.3810299574622138,1.0
ENSCSAVT00000013923,1.0,0.9997661570839789,1.0,1.0,0.400925694270703,1.0,1.0,0.35955823750426963,0.35416666666666674,0.35955823750426963,0.38147779687076055,0.3810299574622138,1.0,0.38147779687076055
FBtr0306679,0.3854156990246168,0.3846081029912911,0.38387662757410657,0.38147779687076055,0.3771373679154659,0.38207112585222036,0.38147779687076055,0.38946645437232674,0.48821577469582234,0.38946645437232674,1.0,1.0,0.38147779687076055,1.0
