,ENSGACT00000006465,ENSTRUT00000054122,ENSTNIT00000020292,ENSGWIT00000036868,ENSSMAT00000024035,ENSGWIT00000036909,ENSMMOT00000002084,ENSGWIT00000036873,ENSTRUT00000045557,ENSCGOT00000035777,ENSGWIT00000036951
ENSGACT00000006465,1.0,0.7201136594276436,0.6832983193277311,0.6879065538224802,0.7636519333377247,0.7090261282660333,0.7826373212942062,0.7004618271034782,0.7201136594276436,0.7827559260224016,0.7233883058470765
ENSTRUT00000054122,0.7201136594276436,1.0,0.7642252979623222,0.690449729569534,0.7283240647118301,0.6827006039689387,0.7716435499954674,0.690449729569534,1.0,0.7412550419890234,0.6985365069154069
ENSTNIT00000020292,0.6832983193277311,0.7642252979623222,1.0,0.6435759419611514,0.6589473684210526,0.6415725637808448,0.7298434606968524,0.6435759419611514,0.7642252979623222,0.6721755098096066,0.6560312331717825
ENSGWIT00000036868,0.6879065538224802,0.690449729569534,0.6435759419611514,1.0,0.716482878699942,1.0,0.7517682395116753,1.0,0.690449729569534,0.705254811504361,1.0
ENSSMAT00000024035,0.7636519333377247,0.7283240647118301,0.6589473684210526,0.716482878699942,1.0,0.7172108077680833,0.8053666938627504,0.716482878699942,0.7283240647118301,0.790434235368156,0.7333070555774537
ENSGWIT00000036909,0.7090261282660333,0.6827006039689387,0.6415725637808448,1.0,0.7172108077680833,1.0,0.7536478113132121,1.0,0.6827006039689387,0.7123710616798821,1.0
ENSMMOT00000002084,0.7826373212942062,0.7716435499954674,0.7298434606968524,0.7517682395116753,0.8053666938627504,0.7536478113132121,1.0,0.7517682395116753,0.7716435499954674,0.7968523878437048,0.7682871422080872
ENSGWIT00000036873,0.7004618271034782,0.690449729569534,0.6435759419611514,1.0,0.716482878699942,1.0,0.7517682395116753,1.0,0.690449729569534,0.705254811504361,1.0
ENSTRUT00000045557,0.7201136594276436,1.0,0.7642252979623222,0.690449729569534,0.7283240647118301,0.6827006039689387,0.7716435499954674,0.690449729569534,1.0,0.7412550419890234,0.6985365069154069
ENSCGOT00000035777,0.7827559260224016,0.7412550419890234,0.6721755098096066,0.705254811504361,0.790434235368156,0.7123710616798821,0.7968523878437048,0.705254811504361,0.7412550419890234,1.0,0.7216197238043224
ENSGWIT00000036951,0.7233883058470765,0.6985365069154069,0.6560312331717825,1.0,0.7333070555774537,1.0,0.7682871422080872,1.0,0.6985365069154069,0.7216197238043224,1.0
