	FBtr0335029	FBtr0078961	FBtr0078962	FBtr0335028	FBtr0310613	FBtr0335031	FBtr0335030	FBtr0335033	FBtr0335032	R148.5b.1	R148.5a.1	FBtr0300769
FBtr0335029	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
FBtr0078961	0.4071076011846002	1.0	1.0	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.3695582586427657	0.3695582586427657	0.4071076011846002
FBtr0078962	0.4071076011846002	1.0	1.0	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.4071076011846002	0.3695582586427657	0.3695582586427657	0.4071076011846002
FBtr0335028	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
FBtr0310613	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
FBtr0335031	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
FBtr0335030	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
FBtr0335033	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
FBtr0335032	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
R148.5b.1	0.29578990117774473	0.3695582586427657	0.3695582586427657	0.29578990117774473	0.29578990117774473	0.29578990117774473	0.29578990117774473	0.29578990117774473	0.29578990117774473	1.0	1.0	0.29578990117774473
R148.5a.1	0.29578990117774473	0.3695582586427657	0.3695582586427657	0.29578990117774473	0.29578990117774473	0.29578990117774473	0.29578990117774473	0.29578990117774473	0.29578990117774473	1.0	1.0	0.29578990117774473
FBtr0300769	1.0	0.4071076011846002	0.4071076011846002	1.0	1.0	1.0	1.0	1.0	1.0	0.29578990117774473	0.29578990117774473	1.0
