,FBtr0084975,Y113G7B.24b.2,Y113G7B.24b.3,Y113G7B.24c.1,ENSSMRT00000029008,Y113G7B.24b.1,ENSCABT00000020680,Y113G7B.24a.1,ENSGAGT00000040762,ENSSPUT00000011479,ENSPVIT00000033325
FBtr0084975,1.0,0.0,0.0,0.0,0.4246913580246914,0.0,0.3951191167925625,0.3143507972665148,0.40520748576078114,0.40671031096563004,0.42369556688897614
Y113G7B.24b.2,0.0,1.0,1.0,1.0,0.37446808510638296,1.0,0.4382978723404256,1.0,0.4382978723404256,0.36170212765957444,0.37872340425531914
Y113G7B.24b.3,0.0,1.0,1.0,1.0,0.37446808510638296,1.0,0.4382978723404256,1.0,0.4382978723404256,0.36170212765957444,0.37872340425531914
Y113G7B.24c.1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ENSSMRT00000029008,0.4246913580246914,0.37446808510638296,0.37446808510638296,0.0,1.0,0.37446808510638296,0.7624342903356247,0.24133663366336633,0.7716768027801911,0.7456698480028279,0.8
Y113G7B.24b.1,0.0,1.0,1.0,1.0,0.37446808510638296,1.0,0.4382978723404256,1.0,0.4382978723404256,0.36170212765957444,0.37872340425531914
ENSCABT00000020680,0.3951191167925625,0.4382978723404256,0.4382978723404256,0.0,0.7624342903356247,0.4382978723404256,1.0,0.22811197141155448,0.9817562149157979,0.7794177112818439,0.7959225280326198
Y113G7B.24a.1,0.3143507972665148,1.0,1.0,1.0,0.24133663366336633,1.0,0.22811197141155448,1.0,0.24350453172205433,0.2834793491864831,0.26007326007326004
ENSGAGT00000040762,0.40520748576078114,0.4382978723404256,0.4382978723404256,0.0,0.7716768027801911,0.4382978723404256,0.9817562149157979,0.24350453172205433,1.0,0.7911381407471764,0.7933146657332867
ENSSPUT00000011479,0.40671031096563004,0.36170212765957444,0.36170212765957444,0.0,0.7456698480028279,0.36170212765957444,0.7794177112818439,0.2834793491864831,0.7911381407471764,1.0,0.7509565217391304
ENSPVIT00000033325,0.42369556688897614,0.37872340425531914,0.37872340425531914,0.0,0.8,0.37872340425531914,0.7959225280326198,0.26007326007326004,0.7933146657332867,0.7509565217391304,1.0
