	ENSABRT00000035664	ENSCPGT00000028644	ENSACAT00000002839	ENSNSUT00000026534	ENSGALT00000007742	ENSCPUT00000007406	ENSCPUT00000007400	ENSCPUT00000007403	ENSSMRT00000013811	ENSLCOT00000015906	ENSMVIT00005026846	ENSNMET00000036244	ENSNMET00000036246	ENSNMET00000036243	ENSCJPT00005012432	ENSPVIT00000030535	ENSMUNT00000024161	ENSMGAT00000018348
ENSABRT00000035664	1.0	0.8519453797231575	0.6856893542757417	0.6971051749189673	0.8434053308823529	0.8267537350351242	0.8350785340314136	0.8294986906098017	0.6482547993019198	0.8326352530541012	0.8301047120418849	0.8362332779575063	0.8365619546247819	0.8362332779575063	0.7963350785340314	0.675043630017452	0.8012360446570973	0.8131256952169077
ENSCPGT00000028644	0.8519453797231575	1.0	0.6909709104646771	0.7186254980079682	0.8120107789041447	0.9556155507559396	0.9570268228182848	0.9570268228182848	0.6623536078579524	0.8776917264828107	0.8718360408009067	0.7950624344676389	0.7949205745267763	0.7950624344676389	0.7617235803291164	0.6768039289761995	0.8584843852369513	0.7778895595797004
ENSACAT00000002839	0.6856893542757417	0.6909709104646771	1.0	0.7393113011324243	0.7073170731707317	0.6823965534515579	0.6909943382873319	0.6808692351489847	0.7399554565701559	0.6866343184825761	0.6844801695963254	0.666934475986431	0.6669933184855233	0.666934475986431	0.6663366336633664	0.7568264698034333	0.6777970070243307	0.6642404076115213
ENSNSUT00000026534	0.6971051749189673	0.7186254980079682	0.7393113011324243	1.0	0.7133623222470326	0.705993265993266	0.7197073616826704	0.7121022300175395	0.7632376953580593	0.718235831809872	0.7192540899210617	0.6970147546608716	0.6970111795573808	0.6970147546608716	0.7020737327188941	0.756993208242201	0.6924428822495606	0.7223384958839124
ENSGALT00000007742	0.8434053308823529	0.8120107789041447	0.7073170731707317	0.7133623222470326	1.0	0.8200778642936596	0.8256018790369936	0.8207510646535037	0.6948273830564392	0.8183100246797509	0.8252587017873941	0.9384976525821596	0.9386632330563034	0.9384976525821596	0.9192883233180158	0.7208672086720868	0.8093510118632241	0.9444522373404404
ENSCPUT00000007406	0.8267537350351242	0.9556155507559396	0.6823965534515579	0.705993265993266	0.8200778642936596	1.0	1.0	1.0	0.6583508666466286	0.8742371185592797	0.8726963141025641	0.7941503896366765	0.794001817631021	0.7941503896366765	0.7751186509138644	0.668770664262098	0.8696661310480271	0.7821081664468161
ENSCPUT00000007400	0.8350785340314136	0.9570268228182848	0.6909943382873319	0.7197073616826704	0.8256018790369936	1.0	1.0	1.0	0.6685244161358811	0.878253198059109	0.8761593498807526	0.8051588718314887	0.8050062355246749	0.8051588718314887	0.7723142704436129	0.6793170559094126	0.8650673145055168	0.7901055682053405
ENSCPUT00000007403	0.8294986906098017	0.9570268228182848	0.6808692351489847	0.7121022300175395	0.8207510646535037	1.0	1.0	1.0	0.6608464604289239	0.8769522006625651	0.8738397423754499	0.7996362243921118	0.7994077753367084	0.7996362243921118	0.7658699808795411	0.6721389257923704	0.8581147810819708	0.7828237410071942
ENSSMRT00000013811	0.6482547993019198	0.6623536078579524	0.7399554565701559	0.7632376953580593	0.6948273830564392	0.6583508666466286	0.6685244161358811	0.6608464604289239	1.0	0.6694309660344067	0.6684038512498895	0.6395308727147292	0.6396419657457613	0.6395308727147292	0.6400625978090767	0.7185804500578138	0.6695510536495979	0.6463554122907351
ENSLCOT00000015906	0.8326352530541012	0.8776917264828107	0.6866343184825761	0.718235831809872	0.8183100246797509	0.8742371185592797	0.878253198059109	0.8769522006625651	0.6694309660344067	1.0	0.984561093956771	0.7969362308514428	0.7968	0.7969362308514428	0.7586666666666667	0.6668725187472431	0.8477799130170931	0.77666701020303
