,FBtr0112941,YDL161W_mRNA,YLR206W_mRNA,FBtr0331833,T04C10.2a.1,FBtr0076794,FBtr0076795,FBtr0076796,FBtr0076797,FBtr0331835,FBtr0331834,FBtr0331837,FBtr0331836,FBtr0331838,T04C10.2b.1,FBtr0076798
FBtr0112941,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
YDL161W_mRNA,0.3307174887892377,1.0,0.5842602559502452,0.3307174887892377,0.33231778767283804,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.3307174887892377,0.33231778767283804,0.3307174887892377
YLR206W_mRNA,0.35281243160428977,0.5842602559502452,1.0,0.35281243160428977,0.32254361799816345,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.35281243160428977,0.32254361799816345,0.35281243160428977
FBtr0331833,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
T04C10.2a.1,0.46589358799454295,0.33231778767283804,0.32254361799816345,0.46589358799454295,1.0,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,1.0,0.46589358799454295
FBtr0076794,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0076795,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0076796,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0076797,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0331835,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0331834,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0331837,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0331836,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
FBtr0331838,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
T04C10.2b.1,0.46589358799454295,0.33231778767283804,0.32254361799816345,0.46589358799454295,1.0,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,0.46589358799454295,1.0,0.46589358799454295
FBtr0076798,1.0,0.3307174887892377,0.35281243160428977,1.0,0.46589358799454295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46589358799454295,1.0
