	ENSMSIT00000007556	MGP_PahariEiJ_T0054151	MGP_CAROLIEiJ_T0085899	MGP_SPRETEiJ_T0089399	ENSMUST00000034382	ENSMUGT00000023539	ENSMUST00000212606	ENSMUST00000212874	ENSMSIT00000007567	ENSMUGT00000023533	ENSRNOT00000027209
ENSMSIT00000007556	1.0	0.9169402495075508	0.9647627632549372	0.993118702383878	0.9851991168533814	0.8954954954954955	0.929029078363726	0.9851991168533814	1.0	0.8375667899712289	0.8698939755075203
MGP_PahariEiJ_T0054151	0.9169402495075508	1.0	0.9126612439405144	0.9175418444371513	0.9125799573560768	0.8942942942942943	0.8994082840236687	0.9125799573560768	0.9567567567567568	0.8588332643773272	0.8981075944136848
MGP_CAROLIEiJ_T0085899	0.9647627632549372	0.9126612439405144	1.0	0.9642827885639388	0.9593056579055104	0.8854041013268998	0.9085516559565002	0.9593056579055104	0.9693693693693692	0.8351720731104889	0.8657232186934343
MGP_SPRETEiJ_T0089399	0.993118702383878	0.9175418444371513	0.9642827885639388	1.0	0.9859985261606484	0.8954954954954955	0.929029078363726	0.9859985261606484	1.0	0.8359779659623449	0.8697724098266371
ENSMUST00000034382	0.9851991168533814	0.9125799573560768	0.9593056579055104	0.9859985261606484	1.0	0.8982540638169777	0.9377777777777778	1.0	0.9891891891891892	0.8327720739219713	0.8641701568530837
ENSMUGT00000023539	0.8954954954954955	0.8942942942942943	0.8854041013268998	0.8954954954954955	0.8982540638169777	1.0	0.8982540638169777	0.8982540638169777	0.8936842105263157	1.0	0.8803827751196173
ENSMUST00000212606	0.929029078363726	0.8994082840236687	0.9085516559565002	0.929029078363726	0.9377777777777778	0.8982540638169777	1.0	0.9377777777777778	0.9891891891891892	0.8547986076578816	0.8847858197932054
ENSMUST00000212874	0.9851991168533814	0.9125799573560768	0.9593056579055104	0.9859985261606484	1.0	0.8982540638169777	0.9377777777777778	1.0	0.9891891891891892	0.8327720739219713	0.8641701568530837
ENSMSIT00000007567	1.0	0.9567567567567568	0.9693693693693692	1.0	0.9891891891891892	0.8936842105263157	0.9891891891891892	0.9891891891891892	1.0	0.8954954954954955	0.9276315789473684
ENSMUGT00000023533	0.8375667899712289	0.8588332643773272	0.8351720731104889	0.8359779659623449	0.8327720739219713	1.0	0.8547986076578816	0.8327720739219713	0.8954954954954955	1.0	0.854717923115327
ENSRNOT00000027209	0.8698939755075203	0.8981075944136848	0.8657232186934343	0.8697724098266371	0.8641701568530837	0.8803827751196173	0.8847858197932054	0.8641701568530837	0.9276315789473684	0.854717923115327	1.0
