	ENSLBET00000038330	ENSHHUT00000015663	ENSELUT00000004730	ENSPMET00000010110	ENSACLT00000000073	ENSPNYT00000019831	ENSPLAT00000006375	ENSHHUT00000026309	ENSMZET00005017745	ENSCGOT00000026893	ENSPNYT00000032841
ENSLBET00000038330	1.0	0.25805369127516786	0.3875083948959033	0.4465973534971645	0.5145797598627787	0.4886825304701104	0.3718473074301295	0.26636274829045914	0.4782025486250838	0.6318504190844616	0.5259647451167222
ENSHHUT00000015663	0.25805369127516786	1.0	0.3178294573643411	0.2705997074597757	0.32192279679533864	0.31720656289440474	0.2586485612673779	0.927927927927928	0.3180914512922466	0.277136941733215	0.3320947515095216
ENSELUT00000004730	0.3875083948959033	0.3178294573643411	1.0	0.3579317269076305	0.3868904876099121	0.3611725663716814	0.3452502553626149	0.30418604651162795	0.35057471264367823	0.3733248245054244	0.3718411552346571
ENSPMET00000010110	0.4465973534971645	0.2705997074597757	0.3579317269076305	1.0	0.39266503667481656	0.40335195530726253	0.9829018075232048	0.2634382566585957	0.4521212121212122	0.4521566683192861	0.4517894736842105
ENSACLT00000000073	0.5145797598627787	0.32192279679533864	0.3868904876099121	0.39266503667481656	1.0	0.6476230191826522	0.4546805349182763	0.32197244379985496	0.9668826493880488	0.5507783543365455	0.9560835133189344
ENSPNYT00000019831	0.4886825304701104	0.31720656289440474	0.3611725663716814	0.40335195530726253	0.6476230191826522	1.0	0.4792110874200426	0.31811105345096	0.9641815910037485	0.5440084835630965	0.914855072463768
ENSPLAT00000006375	0.3718473074301295	0.2586485612673779	0.3452502553626149	0.9829018075232048	0.4546805349182763	0.4792110874200426	1.0	0.2414763841101032	0.4624242424242424	0.4247226624405704	0.4665668662674651
ENSHHUT00000026309	0.26636274829045914	0.927927927927928	0.30418604651162795	0.2634382566585957	0.32197244379985496	0.31811105345096	0.2414763841101032	1.0	0.3137951450562463	0.2769979948438843	0.3105314960629921
ENSMZET00005017745	0.4782025486250838	0.3180914512922466	0.35057471264367823	0.4521212121212122	0.9668826493880488	0.9641815910037485	0.4624242424242424	0.3137951450562463	1.0	0.5433070866141733	0.9686946249261664
ENSCGOT00000026893	0.6318504190844616	0.277136941733215	0.3733248245054244	0.4521566683192861	0.5507783543365455	0.5440084835630965	0.4247226624405704	0.2769979948438843	0.5433070866141733	1.0	0.535483870967742
ENSPNYT00000032841	0.5259647451167222	0.3320947515095216	0.3718411552346571	0.4517894736842105	0.9560835133189344	0.914855072463768	0.4665668662674651	0.3105314960629921	0.9686946249261664	0.535483870967742	1.0
