parus_major ENSPMJG00000002468
lonchura_striata_domestica ENSLSDG00000006098
manacus_vitellinus ENSMVIG00005014381
coturnix_japonica ENSCJPG00005019339
meleagris_gallopavo ENSMGAG00000002290
gallus_gallus ENSGALG00000040434
gopherus_agassizii ENSGAGG00000024352
pogona_vitticeps ENSPVIG00000020331
anolis_carolinensis ENSACAG00000028613
notechis_scutatus ENSNSUG00000006850
salvator_merianae ENSSMRG00000021772
piliocolobus_tephrosceles ENSPTEG00000002141
caenorhabditis_elegans_strain_n2 WBGene00004277
drosophila_melanogaster FBgn0015794
