acanthochromis_polyacanthus ENSAPOG00000016677
maylandia_zebra ENSMZEG00005023048
poecilia_mexicana ENSPMEG00000009857
xiphophorus_maculatus ENSXMAG00000024658
cyprinodon_variegatus ENSCVAG00000007761
fundulus_heteroclitus ENSFHEG00000014656
oryzias_latipes_asm223467v1 ENSORLG00000030490
oryzias_latipes_asm223469v1 ENSORLG00015012324
oryzias_latipes_asm223471v1 ENSORLG00020015806
oryzias_melastigma ENSOMEG00000015932
mola_mola ENSMMOG00000014609
takifugu_rubripes ENSTRUG00000003918
labrus_bergylta ENSLBEG00000002962
mastacembelus_armatus ENSMAMG00000018814
monopterus_albus ENSMALG00000021184
anabas_testudineus ENSATEG00000006921
anabas_testudineus ENSATEG00000006877
seriola_lalandi_dorsalis ENSSLDG00000000948
scophthalmus_maximus ENSSMAG00000006236
gadus_morhua ENSGMOG00000004898
esox_lucius ENSELUG00000010158
danio_rerio ENSDARG00000114801
danio_rerio ENSDARG00000075807
danio_rerio ENSDARG00000116308
danio_rerio ENSDARG00000104132
danio_rerio ENSDARG00000110275
ictalurus_punctatus ENSIPUG00000017156
paramormyrops_kingsleyae ENSPKIG00000019557
scleropages_formosus ENSSFOG00015007178
