stegastes_partitus ENSSPAG00000001724
xiphophorus_couchianus ENSXCOG00000009763
paramormyrops_kingsleyae ENSPKIG00000009329
ictidomys_tridecemlineatus ENSSTOG00000020702
cavia_aperea ENSCAPG00000015761
ochotona_princeps ENSOPRG00000017063
tupaia_belangeri ENSTBEG00000002600
sorex_araneus ENSSARG00000012141
echinops_telfairi ENSETEG00000011719
notamacropus_eugenii ENSMEUG00000001463
dromaius_novaehollandiae ENSDNVG00000009990
nothoprocta_perdicaria ENSNPEG00000014079
taeniopygia_guttata ENSTGUG00000013797
melopsittacus_undulatus ENSMUNG00000005657
gallus_gallus ENSGALG00000031863
petromyzon_marinus ENSPMAG00000003412
eptatretus_burgeri ENSEBUG00000006551
